NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Unnamed: 10,Unnamed: 11,Historical_Bronze,Historical_Gold,Historical_No_Medal,Historical_Silver
CAN,Rowing,0,0,2,9,9,0.890863015,0,0.588943237,,,65,59,376,99
CAN,Rugby Sevens,0,0,0,14,14,0.39994947,0,0.249929452,,,12,0,26,14
CAN,Sailing,0,0,6,0,0,0.006737274,0,0.09771468,,,15,0,202,10
CAN,Shooting,0,0,4,0,0,0.001125348,0,0.101575982,,,7,4,205,13
CAN,Skateboarding,0,0,4,0,0,0.0,0,0.009330598,,,0,0,8,0
CAN,Surfing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CAN,Swimming,3,3,68,2,8,1.310121477,0,0.344767315,,,75,12,1013,34
CAN,Table Tennis,0,0,6,0,0,0.005611926,0,0.008208186,,,0,0,55,0
CAN,Taekwondo,1,0,1,0,1,0.0,0,0.087572295,,,2,0,11,1
CAN,Tennis,2,0,8,0,2,0.003373572,0,0.025871701,,,2,2,69,0
CAN,Trampoline Gymnastics,1,0,0,0,1,0.0,0,0.123939508,,,1,0,2,0
CAN,Triathlon,0,0,3,0,0,0.005624268,0,0.031187668,,,0,1,35,1
CAN,Volleyball,0,0,13,0,0,0.00562674,0,0.015424307,,,0,0,109,0
CAN,Water Polo,0,0,13,0,0,0.0,0,0.01397435,,,0,0,100,0
CAN,Weightlifting,0,0,1,1,1,0.081707305,0,0.048034227,,,1,1,61,3
CAN,Wrestling,0,0,6,0,0,0.0,0,0.070957159,,,7,3,167,7
CAY,Athletics,0,0,1,0,0,0.002248224,0,0.282597568,,,0,0,20,0
CAY,Sailing,0,0,1,0,0,0.0,0,0.0,,,0,0,17,0
CAY,Swimming,0,0,3,0,0,0.004486578,0,0.337580896,,,0,0,21,0
CGO,Athletics,0,0,1,0,0,0.0,0,0.785595579,,,0,0,61,0
CGO,Swimming,0,0,2,0,0,0.001125348,0,0.219571765,,,0,0,15,0
CGO,Table Tennis,0,0,1,0,0,0.0,0,0.347258716,,,0,0,9,0
CHA,Archery,0,0,1,0,0,0.0,0,0.071241146,,,0,0,2,0
CHA,Athletics,0,0,1,0,0,0.001125348,0,0.984487635,,,0,0,39,0
CHA,Judo,0,0,1,0,0,0.0,0,0.145982066,,,0,0,5,0
CHI,Archery,0,0,1,0,0,0.0,0,0.002137903,,,0,0,5,0
CHI,Athletics,0,0,9,0,0,0.0,0,0.128546853,,,0,0,177,2
CHI,Beach Volleyball,0,0,2,0,0,0.0,0,0.00765231,,,0,0,6,0
CHI,Canoe Sprint,0,0,4,0,0,0.001125348,0,0.008984644,,,0,0,7,0
CHI,Cycling BMX Freestyle,0,0,1,0,0,0.0,0,0.04420945,,,0,0,2,0
CHI,Cycling BMX Racing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CHI,Cycling Mountain Bike,0,0,1,0,0,0.0,0,0.013091157,,,0,0,2,0
CHI,Cycling Road,0,0,1,0,0,0.0,0,0.003656174,,,0,0,2,0
CHI,Equestrian,0,0,1,0,0,0.0,0,0.003284335,,,0,0,3,0
CHI,Fencing,0,0,1,0,0,0.0,0,0.01867348,,,0,0,47,0
CHI,Golf,0,0,2,0,0,0.0,0,0.009756436,,,0,0,5,0
CHI,Judo,0,0,2,0,0,0.0,0,0.003556013,,,0,0,9,0
CHI,Modern Pentathlon,0,0,1,0,0,0.0,0,0.016070483,,,0,0,25,0
CHI,Rowing,0,0,4,0,0,0.0,0,0.014657138,,,0,0,37,0
CHI,Sailing,0,0,2,0,0,0.0,0,0.01219135,,,0,0,30,0
CHI,Shooting,0,1,1,0,1,0.0,0,0.166223438,,,0,1,54,1
CHI,Swimming,0,0,3,0,0,0.001125348,0,0.0132458,,,0,0,34,0
CHI,Table Tennis,0,0,3,0,0,0.0,0,0.018934772,,,0,0,35,0
CHI,Taekwondo,0,0,2,0,0,0.0,0,0.0,,,0,0,5,0
CHI,Tennis,0,0,5,0,0,0.0,0,0.496399218,,,1,3,22,1
CHI,Triathlon,0,0,2,0,0,0.0,0,0.010764134,,,0,0,9,0
CHI,Wrestling,0,0,1,1,1,0.0,0,0.286903421,,,0,0,3,1
CHN,3x3 Basketball,0,0,8,0,0,0.319924312,0,0.176430505,,,4,0,12,0
CHN,Archery,0,0,11,3,3,0.00899784,0,0.147909531,,,4,1,104,17
CHN,Artistic Gymnastics,2,2,61,9,13,0.814194463,0,0.145038326,,,7,5,111,12
CHN,Artistic Swimming,0,11,0,0,11,0.846507688,0,0.369813048,,,0,11,0,10
CHN,Athletics,2,1,55,1,4,0.42130162,0,0.265475433,,,17,11,539,8
CHN,Badminton,0,4,7,5,9,0.844740283,0,0.436174582,,,23,35,76,25
CHN,Basketball,0,0,12,0,0,0.0,0,0.163504675,,,12,0,224,11
CHN,Beach Volleyball,0,0,2,0,0,0.0,0,0.076795687,,,2,0,22,2
CHN,Boxing,0,3,3,2,5,0.172281664,0,0.147606493,,,6,6,45,7
CHN,Breaking,1,0,2,0,1,0.0,0,0.0,,,1,0,2,0
CHN,Canoe Slalom,0,0,5,0,0,0.0,0,0.016991094,,,0,0,8,0
CHN,Canoe Sprint,0,4,18,0,4,0.421147466,0,0.109938456,,,0,6,38,3
CHN,Cycling BMX Freestyle,0,1,1,0,1,0.0,0,0.0,,,0,1,1,0
CHN,Cycling Mountain Bike,0,0,2,0,0,0.0,0,0.014886772,,,0,0,4,0
CHN,Cycling Road,0,0,3,0,0,0.0,0,0.005214147,,,0,0,5,0
CHN,Cycling Track,0,0,17,0,0,0.242935675,0,0.077328619,,,0,3,24,0
CHN,Diving,1,12,1,2,15,1.149363454,0,0.591972681,,,12,78,25,29
CHN,Equestrian,0,0,2,0,0,0.007877436,0,0.012439529,,,0,0,17,0
CHN,Fencing,0,0,24,0,0,0.089593971,0,0.180355682,,,5,8,244,18
CHN,Golf,1,0,3,0,1,0.0,0,0.114826667,,,2,0,10,0
CHN,Hockey,0,0,0,17,17,0.0,0,0.228225924,,,0,0,99,33
CHN,Judo,1,0,5,0,1,0.0,0,0.17200261,,,12,8,71,3
CHN,Marathon Swimming,0,0,1,0,0,0.0,0,0.011892993,,,0,0,2,0
CHN,Modern Pentathlon,0,0,3,0,0,0.0,0,0.025394557,,,0,0,25,1
CHN,Rhythmic Gymnastics,0,5,1,0,5,0.0,0,0.120744504,,,0,5,35,6
CHN,Rowing,0,0,14,0,0,1.202119686,0,0.263024787,,,25,8,168,11
CHN,Rugby Sevens,0,0,14,0,0,0.0,0,0.018629113,,,0,0,27,0
CHN,Sailing,0,0,13,0,0,0.160563035,0,0.062053434,,,2,3,77,3
CHN,Shooting,4,6,21,2,12,0.926855899,0,0.402878257,,,29,34,219,18
CHN,Skateboarding,0,0,4,0,0,0.0,0,0.019325977,,,0,0,6,0
CHN,Sport Climbing,0,0,5,2,2,0.0,0,0.122161575,,,0,0,7,2
CHN,Surfing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CHN,Swimming,22,6,49,8,36,1.003235252,0,0.507139454,,,46,27,537,47
CHN,Table Tennis,0,10,1,1,11,0.857321482,0,0.556989311,,,9,67,20,28
CHN,Taekwondo,1,0,4,1,2,0.079981078,0,0.20729388,,,4,7,15,2
CHN,Tennis,0,1,9,2,3,0.001125348,0,0.060211554,,,2,3,62,2
CHN,Trampoline Gymnastics,1,0,2,1,2,0.252863621,0,0.232599943,,,1,1,3,3
CHN,Triathlon,0,0,1,0,0,0.0,0,0.009448307,,,0,0,13,0
CHN,Volleyball,0,0,13,0,0,0.0,0,0.382716016,,,23,34,85,9
CHN,Water Polo,0,0,13,0,0,0.0,0,0.040961631,,,0,0,102,0
CHN,Weightlifting,0,5,1,0,5,0.650214531,0,0.436236772,,,8,46,37,16
CHN,Wrestling,4,0,7,1,5,0.33224382,0,0.142145894,,,11,2,85,6
CIV,Athletics,0,0,12,0,0,0.001125348,0,0.388859907,,,0,0,115,1
CIV,Fencing,0,0,2,0,0,0.0,0,0.0,,,0,0,3,0
CIV,Judo,0,0,1,0,0,0.0,0,0.017567786,,,0,0,13,0
CIV,Taekwondo,1,0,2,0,1,0.152198871,0,0.621976347,,,3,1,11,0
CMR,Athletics,0,0,2,0,0,0.0,0,0.073770579,,,0,2,98,0
CMR,Judo,0,0,1,0,0,0.0,0,0.019945282,,,0,0,25,0
CMR,Swimming,0,0,2,0,0,0.0,0,0.003482315,,,0,0,9,0
CMR,Table Tennis,0,0,1,0,0,0.001125348,0,0.00498497,,,0,0,4,0
COD,Athletics,0,0,1,0,0,0.0,0,0.780504115,,,0,0,36,0
COD,Boxing,0,0,2,0,0,0.0,0,0.579441946,,,0,0,20,0
COD,Judo,0,0,1,0,0,0.0,0,0.339339925,,,0,0,11,0
COD,Swimming,0,0,2,0,0,0.0,0,0.0,,,0,0,3,0
COK,Athletics,0,0,1,0,0,0.001125348,0,0.213896227,,,0,0,16,0
COK,Swimming,0,0,1,0,0,0.001125348,0,0.11838483,,,0,0,9,0
COL,Archery,0,0,9,0,0,0.002250696,0,0.017772384,,,0,0,30,0
COL,Artistic Gymnastics,0,0,8,1,1,0.0,0,0.0,,,0,0,8,1
COL,Athletics,0,0,19,0,0,0.1734156,0,0.263250696,,,1,1,249,3
COL,Boxing,0,0,5,0,0,0.0,0,0.232655383,,,4,0,53,1
COL,Canoe Sprint,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
COL,Cycling BMX Freestyle,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
COL,Cycling BMX Racing,0,0,5,0,0,0.16612191,0,0.233629352,,,1,0,6,1
COL,Cycling Mountain Bike,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
COL,Cycling Road,0,0,3,0,0,0.001125348,0,0.019894841,,,0,0,9,0
COL,Cycling Track,0,0,9,0,0,0.001125348,0,0.014263632,,,0,0,11,0
COL,Diving,0,0,3,0,0,0.0,0,0.017027539,,,0,0,30,0
COL,Equestrian,0,0,1,0,0,0.0,0,0.002567723,,,0,0,2,0
COL,Fencing,0,0,1,0,0,0.0,0,0.030081863,,,0,0,64,0
COL,Football,0,0,19,0,0,0.0,0,0.065088754,,,0,0,139,0
COL,Golf,0,0,3,0,0,0.0,0,0.013442948,,,0,0,6,0
COL,Judo,0,0,1,0,0,0.0,0,0.151423528,,,1,0,12,1
COL,Sailing,0,0,1,0,0,0.0,0,0.0,,,0,0,7,0
COL,Skateboarding,0,0,1,0,0,0.0,0,0.012795624,,,0,0,2,0
COL,Swimming,0,0,2,0,0,0.002250696,0,0.058555602,,,0,0,129,0
COL,Tennis,0,0,1,0,0,0.0,0,0.010976713,,,0,0,20,0
COL,Trampoline Gymnastics,0,0,1,0,0,0.0,0,0.033064424,,,0,0,2,0
COL,Triathlon,0,0,1,0,0,0.0,0,0.0,,,0,0,4,0
COL,Weightlifting,0,0,2,2,2,0.086140832,0,0.545707983,,,2,2,63,5
COL,Wrestling,1,0,3,0,1,0.0,0,0.210446018,,,3,0,27,0
COM,Athletics,0,0,1,0,0,0.0,0,0.319635203,,,0,0,17,0
COM,Canoe Slalom,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
COM,Swimming,0,0,2,0,0,0.0,0,0.0,,,0,0,6,0
CPV,Athletics,0,0,1,0,0,0.001125348,0,0.058414005,,,0,0,13,0
CPV,Boxing,1,0,1,0,1,0.0,0,0.873164622,,,1,0,4,0
CPV,Fencing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CPV,Judo,0,0,1,0,0,0.0,0,0.020629336,,,0,0,3,0
CPV,Swimming,0,0,2,0,0,0.0,0,0.015295655,,,0,0,4,0
CRC,Athletics,0,0,1,0,0,0.0,0,0.035646856,,,0,0,45,0
CRC,Cycling Road,0,0,1,0,0,0.0,0,0.012634421,,,0,0,3,0
CRC,Judo,0,0,1,0,0,0.0,0,0.015881408,,,0,0,18,0
CRC,Surfing,0,0,1,0,0,0.0,0,0.088875919,,,0,0,4,0
CRC,Swimming,0,0,2,0,0,0.002248224,0,0.915202218,,,2,1,60,1
CRO,Artistic Gymnastics,0,0,5,0,0,0.08726618,0,0.118698506,,,0,0,7,1
CRO,Athletics,1,0,8,0,1,0.080591187,0,0.099423645,,,2,3,74,1
CRO,Boxing,0,0,1,0,0,0.0,0,0.079089812,,,1,0,10,0
CRO,Canoe Slalom,0,0,2,0,0,0.0,0,0.029996154,,,0,0,3,0
CRO,Canoe Sprint,0,0,1,0,0,0.001125348,0,0.013784639,,,0,0,4,0
CRO,Cycling BMX Freestyle,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CRO,Handball,0,0,14,0,0,0.0,0,0.0,,,15,31,57,0
CRO,Judo,0,1,2,0,1,0.0,0,0.087764773,,,0,1,8,0
CRO,Rowing,0,2,3,0,2,0.351643146,0,0.361751951,,,10,6,31,7
CRO,Sailing,0,0,6,0,0,0.086140832,0,0.078338493,,,0,2,50,2
CRO,Shooting,1,0,4,0,1,0.005621796,0,0.082667015,,,2,2,57,0
CRO,Swimming,0,0,5,0,0,0.003373572,0,0.079147596,,,0,0,115,1
CRO,Table Tennis,0,0,6,0,0,0.002250696,0,0.056654167,,,0,0,47,0
CRO,Taekwondo,1,0,2,0,1,0.160563035,0,0.252064185,,,5,1,11,0
CRO,Tennis,0,0,5,1,1,0.333516867,0,0.182088016,,,5,2,41,3
CRO,Water Polo,0,0,0,13,13,0.08614942,0,0.574313455,,,0,13,52,38
CUB,Archery,0,0,1,0,0,0.0,0,0.0,,,0,0,9,0
CUB,Athletics,0,0,21,0,0,0.249479032,0,0.339941006,,,27,10,423,24
CUB,Beach Volleyball,0,0,2,0,0,0.0,0,0.028442794,,,0,0,18,0
CUB,Boxing,1,1,3,0,2,0.402308906,0,0.518119538,,,19,42,58,19
CUB,Canoe Sprint,1,0,4,0,1,0.16342384,0,0.146991175,,,1,2,10,0
CUB,Cycling Road,0,0,1,0,0,0.0,0,0.004447896,,,0,0,2,0
CUB,Diving,0,0,3,0,0,0.0,0,0.0,,,0,0,36,0
CUB,Judo,0,0,4,0,0,0.086140832,0,0.29969018,,,16,6,67,15
CUB,Modern Pentathlon,0,0,1,0,0,0.0,0,0.003767028,,,0,0,6,0
CUB,Rowing,0,0,2,0,0,0.0,0,0.037852649,,,0,0,134,0
CUB,Shooting,0,0,6,0,0,0.090639752,0,0.054634798,,,3,1,104,1
CUB,Swimming,0,0,2,0,0,0.002250696,0,0.032065914,,,1,0,57,1
CUB,Table Tennis,0,0,3,0,0,0.001125348,0,0.012882559,,,0,0,24,0
CUB,Taekwondo,1,0,1,0,1,0.079981078,0,0.267613279,,,4,1,9,2
CUB,Weightlifting,0,0,1,0,0,0.0,0,0.056930787,,,2,2,67,1
CUB,Wrestling,3,1,5,1,5,0.241144992,0,0.203545233,,,11,12,115,7
CYP,Artistic Gymnastics,0,0,8,0,0,0.006715091,0,0.051997886,,,0,0,15,0
CYP,Athletics,0,0,4,0,0,0.006742205,0,0.090078388,,,0,0,74,0
CYP,Cycling Road,0,0,1,0,0,0.0,0,0.0,,,0,0,2,0
CYP,Fencing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CYP,Judo,0,0,1,0,0,0.0,0,0.0,,,0,0,13,0
CYP,Rhythmic Gymnastics,0,0,1,0,0,0.0,0,0.0,,,0,0,4,0
CYP,Sailing,0,0,3,1,1,0.086203533,0,0.945777942,,,0,0,31,2
CYP,Shooting,0,0,1,0,0,0.0,0,0.038530566,,,0,0,28,0
CYP,Swimming,0,0,2,0,0,0.002250696,0,0.04713256,,,0,0,37,0
CZE,Archery,0,0,4,0,0,0.0,0,0.004692488,,,0,0,7,0
CZE,Artistic Gymnastics,0,0,6,0,0,0.011201669,0,0.014293449,,,0,0,18,0
CZE,Athletics,1,0,30,0,1,0.168402098,0,0.38279387,,,8,5,229,2
CZE,Badminton,0,0,4,0,0,0.0,0,0.0,,,0,0,10,0
CZE,Beach Volleyball,0,0,4,0,0,0.0,0,0.044036703,,,0,0,26,0
CZE,Canoe Slalom,0,0,8,0,0,0.166722789,0,0.274258158,,,0,1,10,1
CZE,Canoe Sprint,0,2,5,0,2,0.162221668,0,0.372522968,,,2,2,10,0
CZE,Cycling BMX Freestyle,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CZE,Cycling Mountain Bike,0,0,2,0,0,0.0,0,0.033583002,,,0,0,4,0
CZE,Cycling Road,0,0,4,0,0,0.001125348,0,0.022719339,,,0,0,9,0
CZE,Cycling Track,0,0,4,0,0,0.001125348,0,0.008759583,,,0,0,6,0
CZE,Equestrian,0,0,2,0,0,0.004501392,0,0.018764934,,,0,0,12,0
CZE,Fencing,4,0,4,0,4,0.079989894,0,0.438275554,,,5,0,8,0
CZE,Golf,0,0,2,0,0,0.0,0,0.012664468,,,0,0,5,0
CZE,Judo,0,0,3,0,0,0.080581957,0,0.221813877,,,0,2,19,0
CZE,Marathon Swimming,0,0,1,0,0,0.0,0,0.027227895,,,0,0,2,0
CZE,Modern Pentathlon,0,0,4,0,0,0.001125348,0,0.169002551,,,1,1,16,0
CZE,Rowing,0,0,6,0,0,0.002248224,0,0.321590303,,,1,1,64,6
CZE,Sailing,0,0,3,0,0,0.0,0,0.113349494,,,0,0,22,1
CZE,Shooting,0,0,16,0,0,0.171221709,0,0.315071926,,,4,3,112,4
CZE,Sport Climbing,0,0,1,0,0,0.0,0,0.022478443,,,0,0,2,0
CZE,Swimming,0,0,9,0,0,0.012354131,0,0.07575749,,,0,0,127,0
CZE,Table Tennis,0,0,1,0,0,0.0,0,0.020204247,,,0,0,26,0
CZE,Taekwondo,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
CZE,Tennis,0,2,12,0,2,0.248447912,0,0.428221756,,,6,4,80,5
CZE,Triathlon,0,0,1,0,0,0.0,0,0.083704786,,,1,0,19,0
CZE,Weightlifting,0,0,1,0,0,0.0,0,0.00559436,,,0,0,9,0
DEN,Archery,0,0,1,0,0,0.005616857,0,0.009102934,,,0,0,29,0
DEN,Athletics,0,0,4,0,0,0.002250696,0,0.074787274,,,3,0,270,4
DEN,Badminton,0,1,8,0,1,0.12020334,0,0.08943908,,,6,3,108,5
DEN,Boxing,0,0,1,0,0,0.0,0,0.0,,,6,1,73,5
DEN,Canoe Sprint,1,0,7,0,1,0.155574915,0,0.128539235,,,3,0,14,0
DEN,Cycling BMX Racing,0,0,2,0,0,0.0,0,0.0,,,0,0,3,0
DEN,Cycling Mountain Bike,0,0,3,0,0,0.0,0,0.023675816,,,0,0,6,0
DEN,Cycling Road,0,0,10,0,0,0.002250696,0,0.021166619,,,0,0,18,0
DEN,"Cycling Road, Cycling Track",0,0,3,0,0,0.0,0,0.0,,,0,0,3,0
DEN,Cycling Track,1,0,14,0,1,0.509085967,0,0.185398572,,,1,2,18,8
DEN,Equestrian,0,0,5,4,4,0.004501392,0,0.130770256,,,0,0,15,4
DEN,Golf,0,0,4,0,0,0.0,0,0.014202929,,,0,0,12,0
DEN,Handball,15,16,2,0,31,1.284369802,0,0.531174077,,,15,75,102,15
DEN,Judo,0,0,1,0,0,0.0,0,0.000782746,,,0,0,4,0
DEN,Rowing,0,0,16,0,0,0.159962156,0,0.337526544,,,42,26,226,13
DEN,Sailing,0,0,8,1,1,0.161196142,0,0.289883607,,,18,25,156,25
DEN,Shooting,0,0,5,0,0,0.089546368,0,0.133415864,,,10,7,270,11
DEN,Skateboarding,0,0,1,0,0,0.0,0,0.006527707,,,0,0,2,0
DEN,Swimming,0,0,16,0,0,0.192750695,0,0.127127502,,,10,3,363,9
DEN,Table Tennis,0,0,5,0,0,0.001125348,0,0.093742558,,,2,0,14,0
DEN,Taekwondo,1,0,0,0,1,0.0,0,0.0,,,1,0,4,0
DEN,Tennis,0,0,2,0,0,0.0,0,0.0,,,0,0,55,1
DEN,Triathlon,0,0,2,0,0,0.0,0,0.0,,,0,0,9,0
DEN,Wrestling,1,0,0,0,1,0.0,0,0.094658803,,,8,2,88,4
DJI,Athletics,0,0,4,0,0,0.001125348,0,0.994220094,,,1,0,34,0
DJI,Judo,0,0,1,0,0,0.0,0,0.02992927,,,0,0,5,0
DJI,Swimming,0,0,2,0,0,0.0,0,0.020685696,,,0,0,5,0
DMA,Athletics,0,1,1,0,1,0.001125348,0,1.0,,,0,1,18,0
DMA,Swimming,0,0,2,0,0,0.0,0,0.0,,,0,0,5,0
DOM,Artistic Gymnastics,0,0,3,0,0,0.0,0,0.0,,,0,0,3,0
DOM,Athletics,0,1,11,0,1,0.509394676,0,0.502131071,,,0,3,84,7
DOM,Boxing,2,0,1,0,2,0.0,0,0.215863967,,,3,1,57,0
DOM,Diving,0,0,3,0,0,0.0,0,0.007662886,,,0,0,9,0
DOM,Equestrian,0,0,1,0,0,0.0,0,0.006658906,,,0,0,3,0
DOM,Football,0,0,19,0,0,0.0,0,0.0,,,0,0,19,0
DOM,Judo,0,0,2,0,0,0.0,0,0.023342509,,,0,0,30,0
DOM,Shooting,0,0,1,0,0,0.0,0,0.00660612,,,0,0,10,0
DOM,Swimming,0,0,2,0,0,0.002250696,0,0.007928991,,,0,0,12,0
DOM,Taekwondo,0,0,2,0,0,0.0,0,0.226395682,,,1,0,9,1
DOM,Volleyball,0,0,12,0,0,0.001125348,0,0.039201793,,,0,0,48,0
DOM,Weightlifting,0,0,3,0,0,0.16612191,0,0.111028527,,,1,0,27,1
DOM,Wrestling,0,0,1,0,0,0.0,0,0.0,,,0,0,8,0
ECU,Athletics,0,1,17,2,3,0.003373572,0,0.371731128,,,0,2,116,3
ECU,Boxing,0,0,3,0,0,0.001125348,0,0.028571992,,,0,0,31,0
ECU,Cycling BMX Racing,0,0,1,0,0,0.0,0,0.063014972,,,0,0,3,0
ECU,Cycling Road,0,0,1,0,0,0.080581957,0,0.377639217,,,0,1,2,0
ECU,Equestrian,0,0,3,0,0,0.0,0,0.012273823,,,0,0,4,0
ECU,Judo,0,0,1,0,0,0.0,0,0.0205299,,,0,0,21,0
ECU,Marathon Swimming,0,0,1,0,0,0.0,0,0.080010802,,,0,0,3,0
ECU,Modern Pentathlon,0,0,2,0,0,0.0,0,0.004383704,,,0,0,3,0
ECU,Shooting,0,0,4,0,0,0.002250696,0,0.020676601,,,0,0,24,0
ECU,Swimming,0,0,2,0,0,0.002250696,0,0.043962169,,,0,0,52,0
ECU,Table Tennis,0,0,1,0,0,0.0,0,0.003390863,,,0,0,3,0
ECU,Triathlon,0,0,1,0,0,0.0,0,0.012460178,,,0,0,4,0
ECU,Weightlifting,2,0,1,0,2,0.166722789,0,0.617523008,,,2,1,19,1
ECU,Wrestling,0,0,3,1,1,0.0,0,0.242230777,,,0,0,14,1
EGY,Archery,0,0,4,0,0,0.002250696,0,0.006064966,,,0,0,19,0
EGY,Artistic Gymnastics,0,0,14,0,0,0.015688247,0,0.011610087,,,0,0,31,0
EGY,Artistic Swimming,0,0,18,0,0,0.002250696,0,0.073917067,,,0,0,28,0
EGY,Athletics,0,0,6,0,0,0.001125348,0,0.016588517,,,0,0,73,0
EGY,Beach Volleyball,0,0,2,0,0,0.0,0,0.0,,,0,0,4,0
EGY,Boxing,0,0,3,0,0,0.0,0,0.167536467,,,2,0,83,1
EGY,Canoe Sprint,0,0,1,0,0,0.001125348,0,0.00345971,,,0,0,4,0
EGY,Cycling Track,0,0,2,0,0,0.0,0,0.002076275,,,0,0,3,0
EGY,Diving,0,0,4,0,0,0.002250696,0,0.19773535,,,1,0,35,1
EGY,Fencing,1,0,35,0,1,0.098680681,0,0.122921035,,,1,0,238,1
EGY,Football,0,0,19,0,0,0.0,0,0.043754715,,,0,0,183,0
EGY,Handball,0,0,15,0,0,0.003376044,0,0.032354036,,,0,0,118,0
EGY,Judo,0,0,2,0,0,0.003373572,0,0.180731167,,,1,0,41,1
EGY,Modern Pentathlon,0,1,3,0,1,0.086140832,0,0.222029521,,,0,1,36,1
EGY,Rhythmic Gymnastics,0,0,6,0,0,0.0,0,0.011873016,,,0,0,14,0
EGY,Rowing,0,0,3,0,0,0.0,0,0.012584802,,,0,0,54,0
EGY,Sailing,0,0,2,0,0,0.0,0,0.001420025,,,0,0,7,0
EGY,Shooting,0,0,17,0,0,0.012371412,0,0.027829426,,,0,0,120,0
EGY,Swimming,0,0,3,0,0,0.010098511,0,0.025682899,,,0,0,113,0
EGY,Table Tennis,0,0,12,0,0,0.019059359,0,0.021280441,,,0,0,59,0
EGY,Taekwondo,0,0,3,0,0,0.159962156,0,0.322085226,,,4,0,18,0
EGY,Tennis,0,0,1,0,0,0.0,0,0.000494988,,,0,0,3,0
EGY,Trampoline Gymnastics,0,0,1,0,0,0.0,0,0.032805965,,,0,0,3,0
EGY,Volleyball,0,0,13,0,0,0.0,0,0.0,,,0,0,73,0
EGY,Weightlifting,0,0,4,1,1,0.0,0,0.0,,,4,5,79,3
EGY,Wrestling,0,0,11,0,0,0.081106426,0,0.33599951,,,3,2,119,2
EOR,Athletics,0,0,8,0,0,0.0,0,0.034248467,,,0,0,15,0
EOR,Badminton,0,0,1,0,0,0.0,0,0.004100437,,,0,0,2,0
EOR,Boxing,1,0,1,0,1,0.0,0,0.897504211,,,1,0,3,0
EOR,Breaking,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
EOR,Canoe Slalom,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
EOR,Canoe Sprint,0,0,3,0,0,0.0,0,0.018814124,,,0,0,4,0
EOR,Cycling Road,0,0,2,0,0,0.0,0,0.027552365,,,0,0,4,0
EOR,Judo,0,0,12,0,0,0.006752088,0,0.057139188,,,0,0,24,0
EOR,Shooting,0,0,2,0,0,0.0,0,0.005042411,,,0,0,3,0
EOR,Swimming,0,0,2,0,0,0.0,0,0.007532422,,,0,0,4,0
EOR,Taekwondo,0,0,5,0,0,0.0,0,0.034516147,,,0,0,8,0
EOR,Weightlifting,0,0,2,0,0,0.0,0,0.005373384,,,0,0,3,0
EOR,Wrestling,0,0,2,0,0,0.0,0,0.005097566,,,0,0,3,0
ERI,Athletics,0,0,8,0,0,0.003376044,0,0.773571994,,,1,0,57,0
ERI,Cycling Road,0,0,2,0,0,0.001125348,0,0.247061657,,,0,0,6,0
ERI,Swimming,0,0,2,0,0,0.0,0,0.004452825,,,0,0,3,0
ESA,Archery,0,0,1,0,0,0.0,0,0.0,,,0,0,3,0
ESA,Badminton,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
ESA,Judo,0,0,1,0,0,0.0,0,0.0,,,0,0,11,0
ESA,Sailing,0,0,1,0,0,0.0,0,0.054803567,,,0,0,6,0
ESA,Shooting,0,0,2,0,0,0.0,0,0.0,,,0,0,26,0
ESA,Surfing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
ESA,Swimming,0,0,2,0,0,0.002250696,0,0.65203797,,,0,0,89,0
ESP,3x3 Basketball,0,0,0,4,4,0.0,0,0.0,,,0,0,0,4
ESP,Archery,0,0,4,0,0,0.002250696,0,0.042486585,,,0,3,41,0
ESP,Artistic Gymnastics,0,0,61,0,0,0.139860344,0,0.023883687,,,0,0,118,1
ESP,Artistic Swimming,9,0,2,0,9,0.002250696,0,0.261466609,,,9,0,12,0
ESP,Athletics,1,3,61,1,5,0.087841228,0,0.138391268,,,8,6,740,6
ESP,Badminton,0,0,2,0,0,0.0,0,0.033493918,,,0,1,14,0
ESP,Basketball,0,0,24,0,0,0.0,0,0.228158884,,,12,0,179,48
ESP,Beach Volleyball,0,0,6,0,0,0.0,0,0.028122403,,,0,0,26,2
ESP,Boxing,1,0,4,1,2,0.0,0,0.040749712,,,3,0,76,3
ESP,Canoe Slalom,1,0,7,0,1,0.086140832,0,0.068806436,,,1,0,10,1
