NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Bronze,Total_Gold,Total_No_Medal,Total_Silver,Gold_Ratio,Silver_Ratio,Bronze_Ratio,No_Medal_Ratio
BRA,Boxing,1,0,9,0,1,0.246703867,0,0.071952902,1,1,1,493,278,5536,277,0,0,0.002028398,0.001625723
BRA,Canoe Slalom,0,0,6,0,0,0.001125348,0,0.01263114,0,0,0,10,10,226,10,0,0,0,0.026548673
BRA,Canoe Sprint,0,0,6,1,1,0.081716535,0,0.128140739,1,0,0,44,42,628,42,0,0.023809524,0,0.00955414
BRA,Cycling BMX Freestyle,0,0,1,0,0,0,0,0,,,,4,4,30,4,0,0,0,0.033333333
BRA,Cycling BMX Racing,0,0,1,0,0,0,0,0.00932085,0,0,0,4,4,103,4,0,0,0,0.009708738
BRA,Cycling Mountain Bike,0,0,2,0,0,0,0,0.012414606,0,0,0,4,3,133,4,0,0,0,0.015037594
BRA,Cycling Road,0,0,2,0,0,0,0,0,,,,6,7,473,7,0,0,0,0.00422833
BRA,Diving,0,0,1,0,0,0.002248224,0,0.010683167,0,0,0,167,166,2694,166,0,0,0,0.000371195
BRA,Equestrian,0,0,17,0,0,0.009002784,0,0.015685258,0,0,0,29,30,747,29,0,0,0,0.022757697
BRA,Fencing,0,0,3,0,0,0.005616857,0,0.017890878,0,0,0,626,654,9635,643,0,0,0,0.000311365
BRA,Football,0,0,0,22,22,1.945084718,0,0.713704545,22,2,0,626,601,6079,600,0,0.036666667,0,0
BRA,Handball,0,0,17,0,0,0.004501392,0,0.0370472,0,0,0,414,412,3172,421,0,0,0,0.005359395
BRA,Judo,11,1,10,1,13,0.251235297,0,0.213144133,0,0,5,374,190,4122,190,0.005263158,0.005263158,0.029411765,0.002426007
BRA,Marathon Swimming,0,0,2,0,0,0.080581957,0,0.300830189,1,0,0,2,4,81,2,0,0,0,0.024691358
BRA,"Marathon Swimming, Swimming",0,0,5,0,0,0,0,0,,,,0,0,52,0,0,0,0,0.096153846
BRA,Modern Pentathlon,0,0,1,0,0,0,0,0.028629052,0,0,0,66,66,1623,66,0,0,0,0.000616143
BRA,Rhythmic Gymnastics,0,0,6,0,0,0,0,0.016840128,0,0,0,56,56,680,56,0,0,0,0.008823529
BRA,Rowing,0,0,2,0,0,0,0,0.025207143,0,0,0,1086,1074,8392,1073,0,0,0,0.000238322
BRA,Rugby Sevens,0,0,14,0,0,0.003376044,0,0.021894514,0,0,0,76,76,698,78,0,0,0,0.020057307
BRA,Sailing,0,0,12,0,0,0.678841921,0,0.197488794,6,2,2,396,479,5947,444,0,0,0,0.002017824
BRA,Shooting,0,0,4,0,0,0,0,0.057603728,0,0,0,443,446,11244,447,0,0,0,0.000355745
BRA,Skateboarding,2,0,10,0,2,0.258422496,0,0.151486506,0,3,0,8,8,144,8,0,0,0.25,0.069444444
BRA,Surfing,1,0,4,1,2,0.080581957,0,0.182052623,1,0,0,4,4,76,4,0,0.25,0.25,0.052631579
BRA,Swimming,0,0,39,0,0,0.204897989,0,0.138196475,0,0,2,1096,1241,22946,1133,0,0,0,0.001699643
BRA,Table Tennis,0,0,12,0,0,0.022423084,0,0.017804106,0,0,0,80,74,2252,74,0,0,0,0.005328597
BRA,Taekwondo,1,0,3,0,1,0,0,0.122755328,0,0,0,96,56,662,56,0,0,0.010416667,0.004531722
BRA,Tennis,0,0,10,0,0,0.165573035,0,0.033264897,0,0,2,144,122,3058,122,0,0,0,0.003270111
BRA,Trampoline Gymnastics,0,0,2,0,0,0,0,0,,,,4,4,52,4,0,0,0,0.038461538
BRA,Triathlon,0,0,4,0,0,0,0,0.012628819,0,0,0,19,19,765,19,0,0,0,0.005228758
BRA,Volleyball,13,0,13,0,13,1.151258071,0,0.646451105,3,13,0,375,372,2884,372,0,0,0.034666667,0.004507628
BRA,Weightlifting,0,0,2,0,0,0,0,0.005619753,0,0,0,240,241,3538,237,0,0,0,0.000565291
BRA,Wrestling,0,0,1,0,0,0.001125348,0,0.003001089,0,0,0,540,449,6294,451,0,0,0,0.000158881
BRN,Athletics,0,1,7,1,2,0.089516876,0,0.570937427,0,1,0,1452,1500,38865,1477,0.000666667,0.000677048,0,0.000180111
BRN,Judo,0,0,1,0,0,0,0,0,,,,374,190,4122,190,0,0,0,0.000242601
BRN,Swimming,0,0,2,0,0,0,0,0.022612003,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BRN,Weightlifting,1,0,1,0,1,0,0,0,,,,240,241,3538,237,0,0,0.004166667,0.000282646
BRN,Wrestling,0,1,0,0,1,0,0,0,,,,540,449,6294,451,0.002227171,0,0,0
BRU,Athletics,0,0,1,0,0,0,0,0.646233634,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
BRU,Swimming,0,0,2,0,0,0,0,0.341284914,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BUL,Artistic Gymnastics,0,0,12,0,0,0.006715091,0,0.010386017,0,0,0,44,42,2169,42,0,0,0,0.005532503
BUL,Athletics,0,0,5,0,0,0.101827893,0,0.139240207,0,1,0,1452,1500,38865,1477,0,0,0,0.00012865
BUL,Badminton,0,0,3,0,0,0.003376044,0,0.027228389,0,0,0,76,70,1600,70,0,0,0,0.001875
BUL,Boxing,1,0,4,0,1,0.080581957,0,0.144499135,1,0,0,493,278,5536,277,0,0,0.002028398,0.000722543
BUL,Canoe Sprint,0,0,1,0,0,0,0,0.002002945,0,0,0,44,42,628,42,0,0,0,0.001592357
BUL,Fencing,0,0,1,0,0,0,0,0,,,,626,654,9635,643,0,0,0,0.000103788
BUL,Judo,0,0,2,0,0,0.002250696,0,0.043853242,0,0,0,374,190,4122,190,0,0,0,0.000485201
BUL,Modern Pentathlon,0,0,1,0,0,0,0,0,,,,66,66,1623,66,0,0,0,0.000616143
BUL,Rhythmic Gymnastics,0,0,6,1,1,0.402909785,0,0.218754946,5,0,0,56,56,680,56,0,0.017857143,0,0.008823529
BUL,Rowing,0,0,2,0,0,0,0,0,,,,1086,1074,8392,1073,0,0,0,0.000238322
BUL,Shooting,0,0,5,0,0,0.087274768,0,0.118293788,0,1,0,443,446,11244,447,0,0,0,0.000444682
BUL,Swimming,0,0,6,0,0,0.00562674,0,0.041230243,0,0,0,1096,1241,22946,1133,0,0,0,0.000261483
BUL,Taekwondo,1,0,0,0,1,0,0,0,,,,96,56,662,56,0,0,0.010416667,0
BUL,Tennis,0,0,1,0,0,0,0,0,,,,144,122,3058,122,0,0,0,0.000327011
BUL,Weightlifting,1,1,1,0,2,0,0,0.301073826,0,0,0,240,241,3538,237,0.004149378,0,0.004166667,0.000282646
BUL,Wrestling,0,2,4,0,2,0.159962156,0,0.384458483,0,0,2,540,449,6294,451,0.004454343,0,0,0.000635526
BUR,Athletics,0,0,2,0,0,0.083349711,0,0.939294826,0,0,1,1452,1500,38865,1477,0,0,0,5.15E-05
BUR,Cycling Road,0,0,1,0,0,0,0,0.071443849,0,0,0,6,7,473,7,0,0,0,0.002114165
BUR,Judo,0,0,1,0,0,0,0,0.038739671,0,0,0,374,190,4122,190,0,0,0,0.000242601
BUR,Swimming,0,0,2,0,0,0,0,0.037321822,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BUR,Taekwondo,0,0,2,0,0,0,0,0.061506791,0,0,0,96,56,662,56,0,0,0,0.003021148
CAF,Athletics,0,0,1,0,0,0,0,0.519854924,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
CAF,Judo,0,0,1,0,0,0,0,0,,,,374,190,4122,190,0,0,0,0.000242601
CAF,Swimming,0,0,2,0,0,0,0,0.111541999,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
CAM,Athletics,0,0,1,0,0,0,0,0.547888536,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
CAM,Swimming,0,0,2,0,0,0,0,0.754753263,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
CAN,3x3 Basketball,0,0,4,0,0,0,0,0,,,,16,16,80,16,0,0,0,0.05
CAN,Archery,0,0,4,0,0,0.006727411,0,0.007796127,0,0,0,118,155,2433,140,0,0,0,0.001644061
CAN,Artistic Gymnastics,0,0,76,0,0,0.029123343,0,0.0169896,0,0,0,44,42,2169,42,0,0,0,0.035039189
CAN,Artistic Swimming,0,0,11,0,0,0.002250696,0,0.017053083,0,0,0,21,21,194,21,0,0,0,0.056701031
CAN,Athletics,1,8,55,1,10,1.216488403,0,0.362166367,2,2,12,1452,1500,38865,1477,0.005333333,0.000677048,0.000688705,0.001415155
CAN,Badminton,0,0,4,0,0,0,0,0.01242049,0,0,0,76,70,1600,70,0,0,0,0.0025
CAN,Basketball,0,0,24,0,0,0.006747144,0,0.065436684,0,0,0,403,413,3888,407,0,0,0,0.00617284
CAN,Beach Volleyball,0,0,4,2,2,0.002250696,0,0.058915606,0,0,0,32,32,660,32,0,0.0625,0,0.006060606
CAN,Boxing,1,0,1,0,1,0.001125348,0,0.078059596,0,0,0,493,278,5536,277,0,0,0.002028398,0.000180636
CAN,Breaking,0,1,0,0,1,0,0,0,,,,2,2,27,2,0.5,0,0,0
CAN,Canoe Slalom,0,0,6,0,0,0,0,0.007472345,0,0,0,10,10,226,10,0,0,0,0.026548673
CAN,Canoe Sprint,2,1,16,0,3,0.214247789,0,0.049858603,0,1,2,44,42,628,42,0.023809524,0,0.045454545,0.025477707
CAN,Cycling BMX Freestyle,0,0,1,0,0,0,0,0,,,,4,4,30,4,0,0,0,0.033333333
CAN,Cycling BMX Racing,0,0,1,0,0,0,0,0.004467364,0,0,0,4,4,103,4,0,0,0,0.009708738
CAN,Cycling Mountain Bike,0,0,2,0,0,0,0,0.006421213,0,0,0,4,3,133,4,0,0,0,0.015037594
CAN,Cycling Road,0,0,6,0,0,0.001125348,0,0.005762932,0,0,0,6,7,473,7,0,0,0,0.012684989
CAN,Cycling Track,0,0,40,0,0,0.163957125,0,0.021119158,1,0,1,56,56,710,56,0,0,0,0.056338028
CAN,Diving,2,0,7,0,2,0.4303142,0,0.087583163,0,2,4,167,166,2694,166,0,0,0.011976048,0.002598367
CAN,Equestrian,0,0,23,0,0,0.004501392,0,0.008957146,0,0,0,29,30,747,29,0,0,0,0.030789826
CAN,Fencing,1,0,23,0,1,0.006749616,0,0.040064351,0,0,0,626,654,9635,643,0,0,0.001597444,0.00238713
CAN,Football,0,0,19,0,0,2.394973262,0,0.302299617,22,0,14,626,601,6079,600,0,0,0,0.003125514
CAN,Golf,0,0,4,0,0,0.002250696,0,0.029599169,0,0,0,20,19,429,19,0,0,0,0.009324009
CAN,Judo,0,1,13,0,1,0.241108232,0,0.040130921,0,0,3,374,190,4122,190,0.005263158,0,0,0.003153809
CAN,Marathon Swimming,0,0,1,0,0,0,0,0.006176277,0,0,0,2,4,81,2,0,0,0,0.012345679
CAN,Rowing,0,0,2,9,9,0.890863015,0,0.588943237,9,1,2,1086,1074,8392,1073,0,0.008387698,0,0.000238322
CAN,Rugby Sevens,0,0,0,14,14,0.39994947,0,0.249929452,0,0,5,76,76,698,78,0,0.179487179,0,0
CAN,Sailing,0,0,6,0,0,0.006737274,0,0.09771468,0,0,0,396,479,5947,444,0,0,0,0.001008912
CAN,Shooting,0,0,4,0,0,0.001125348,0,0.101575982,0,0,0,443,446,11244,447,0,0,0,0.000355745
CAN,Skateboarding,0,0,4,0,0,0,0,0.009330598,0,0,0,8,8,144,8,0,0,0,0.027777778
CAN,Surfing,0,0,1,0,0,0,0,0,,,,4,4,76,4,0,0,0,0.013157895
CAN,Swimming,3,3,68,2,8,1.310121477,0,0.344767315,1,7,12,1096,1241,22946,1133,0.002417405,0.001765225,0.002737226,0.002963479
CAN,Table Tennis,0,0,6,0,0,0.005611926,0,0.008208186,0,0,0,80,74,2252,74,0,0,0,0.002664298
CAN,Taekwondo,1,0,1,0,1,0,0,0.087572295,0,0,0,96,56,662,56,0,0,0.010416667,0.001510574
CAN,Tennis,2,0,8,0,2,0.003373572,0,0.025871701,0,0,0,144,122,3058,122,0,0,0.013888889,0.002616089
CAN,Trampoline Gymnastics,1,0,0,0,1,0,0,0.123939508,0,0,0,4,4,52,4,0,0,0.25,0
CAN,Triathlon,0,0,3,0,0,0.005624268,0,0.031187668,0,0,0,19,19,765,19,0,0,0,0.003921569
CAN,Volleyball,0,0,13,0,0,0.00562674,0,0.015424307,0,0,0,375,372,2884,372,0,0,0,0.004507628
CAN,Water Polo,0,0,13,0,0,0,0,0.01397435,0,0,0,412,402,3205,399,0,0,0,0.004056162
CAN,Weightlifting,0,0,1,1,1,0.081707305,0,0.048034227,1,0,0,240,241,3538,237,0,0.004219409,0,0.000282646
CAN,Wrestling,0,0,6,0,0,0,0,0.070957159,0,0,0,540,449,6294,451,0,0,0,0.000953289
CAY,Athletics,0,0,1,0,0,0.002248224,0,0.282597568,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
CAY,Sailing,0,0,1,0,0,0,0,0,,,,396,479,5947,444,0,0,0,0.000168152
CAY,Swimming,0,0,3,0,0,0.004486578,0,0.337580896,0,0,0,1096,1241,22946,1133,0,0,0,0.000130742
CGO,Athletics,0,0,1,0,0,0,0,0.785595579,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
CGO,Swimming,0,0,2,0,0,0.001125348,0,0.219571765,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
CGO,Table Tennis,0,0,1,0,0,0,0,0.347258716,0,0,0,80,74,2252,74,0,0,0,0.00044405
CHA,Archery,0,0,1,0,0,0,0,0.071241146,0,0,0,118,155,2433,140,0,0,0,0.000411015
CHA,Athletics,0,0,1,0,0,0.001125348,0,0.984487635,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
CHA,Judo,0,0,1,0,0,0,0,0.145982066,0,0,0,374,190,4122,190,0,0,0,0.000242601
CHI,Archery,0,0,1,0,0,0,0,0.002137903,0,0,0,118,155,2433,140,0,0,0,0.000411015
CHI,Athletics,0,0,9,0,0,0,0,0.128546853,0,0,0,1452,1500,38865,1477,0,0,0,0.000231571
CHI,Beach Volleyball,0,0,2,0,0,0,0,0.00765231,0,0,0,32,32,660,32,0,0,0,0.003030303
CHI,Canoe Sprint,0,0,4,0,0,0.001125348,0,0.008984644,0,0,0,44,42,628,42,0,0,0,0.006369427
CHI,Cycling BMX Freestyle,0,0,1,0,0,0,0,0.04420945,0,0,0,4,4,30,4,0,0,0,0.033333333
CHI,Cycling BMX Racing,0,0,1,0,0,0,0,0,,,,4,4,103,4,0,0,0,0.009708738
CHI,Cycling Mountain Bike,0,0,1,0,0,0,0,0.013091157,0,0,0,4,3,133,4,0,0,0,0.007518797
CHI,Cycling Road,0,0,1,0,0,0,0,0.003656174,0,0,0,6,7,473,7,0,0,0,0.002114165
CHI,Equestrian,0,0,1,0,0,0,0,0.003284335,0,0,0,29,30,747,29,0,0,0,0.001338688
CHI,Fencing,0,0,1,0,0,0,0,0.01867348,0,0,0,626,654,9635,643,0,0,0,0.000103788
CHI,Golf,0,0,2,0,0,0,0,0.009756436,0,0,0,20,19,429,19,0,0,0,0.004662005
CHI,Judo,0,0,2,0,0,0,0,0.003556013,0,0,0,374,190,4122,190,0,0,0,0.000485201
CHI,Modern Pentathlon,0,0,1,0,0,0,0,0.016070483,0,0,0,66,66,1623,66,0,0,0,0.000616143
CHI,Rowing,0,0,4,0,0,0,0,0.014657138,0,0,0,1086,1074,8392,1073,0,0,0,0.000476644
CHI,Sailing,0,0,2,0,0,0,0,0.01219135,0,0,0,396,479,5947,444,0,0,0,0.000336304
CHI,Shooting,0,1,1,0,1,0,0,0.166223438,0,0,0,443,446,11244,447,0.002242152,0,0,8.89E-05
CHI,Swimming,0,0,3,0,0,0.001125348,0,0.0132458,0,0,0,1096,1241,22946,1133,0,0,0,0.000130742
CHI,Table Tennis,0,0,3,0,0,0,0,0.018934772,0,0,0,80,74,2252,74,0,0,0,0.001332149
CHI,Taekwondo,0,0,2,0,0,0,0,0,,,,96,56,662,56,0,0,0,0.003021148
CHI,Tennis,0,0,5,0,0,0,0,0.496399218,0,0,0,144,122,3058,122,0,0,0,0.001635056
CHI,Triathlon,0,0,2,0,0,0,0,0.010764134,0,0,0,19,19,765,19,0,0,0,0.002614379
CHI,Wrestling,0,0,1,1,1,0,0,0.286903421,0,0,0,540,449,6294,451,0,0.002217295,0,0.000158881
CHN,3x3 Basketball,0,0,8,0,0,0.319924312,0,0.176430505,0,0,4,16,16,80,16,0,0,0,0.1
CHN,Archery,0,0,11,3,3,0.00899784,0,0.147909531,0,0,0,118,155,2433,140,0,0.021428571,0,0.004521167
CHN,Artistic Gymnastics,2,2,61,9,13,0.814194463,0,0.145038326,3,3,5,44,42,2169,42,0.047619048,0.214285714,0.045454545,0.028123559
CHN,Artistic Swimming,0,11,0,0,11,0.846507688,0,0.369813048,0,10,0,21,21,194,21,0.523809524,0,0,0
CHN,Athletics,2,1,55,1,4,0.42130162,0,0.265475433,2,2,1,1452,1500,38865,1477,0.000666667,0.000677048,0.00137741,0.001415155
CHN,Badminton,0,4,7,5,9,0.844740283,0,0.436174582,3,7,0,76,70,1600,70,0.057142857,0.071428571,0,0.004375
CHN,Basketball,0,0,12,0,0,0,0,0.163504675,0,0,0,403,413,3888,407,0,0,0,0.00308642
CHN,Beach Volleyball,0,0,2,0,0,0,0,0.076795687,0,0,0,32,32,660,32,0,0,0,0.003030303
CHN,Boxing,0,3,3,2,5,0.172281664,0,0.147606493,0,2,0,493,278,5536,277,0.010791367,0.007220217,0,0.000541908
CHN,Breaking,1,0,2,0,1,0,0,0,,,,2,2,27,2,0,0,0.5,0.074074074
CHN,Canoe Slalom,0,0,5,0,0,0,0,0.016991094,0,0,0,10,10,226,10,0,0,0,0.022123894
CHN,Canoe Sprint,0,4,18,0,4,0.421147466,0,0.109938456,2,3,0,44,42,628,42,0.095238095,0,0,0.02866242
CHN,Cycling BMX Freestyle,0,1,1,0,1,0,0,0,,,,4,4,30,4,0.25,0,0,0.033333333
CHN,Cycling Mountain Bike,0,0,2,0,0,0,0,0.014886772,0,0,0,4,3,133,4,0,0,0,0.015037594
CHN,Cycling Road,0,0,3,0,0,0,0,0.005214147,0,0,0,6,7,473,7,0,0,0,0.006342495
CHN,Cycling Track,0,0,17,0,0,0.242935675,0,0.077328619,3,0,0,56,56,710,56,0,0,0,0.023943662
CHN,Diving,1,12,1,2,15,1.149363454,0,0.591972681,10,6,0,167,166,2694,166,0.072289157,0.012048193,0.005988024,0.000371195
CHN,Equestrian,0,0,2,0,0,0.007877436,0,0.012439529,0,0,0,29,30,747,29,0,0,0,0.002677376
CHN,Fencing,0,0,24,0,0,0.089593971,0,0.180355682,1,0,0,626,654,9635,643,0,0,0,0.002490919
CHN,Golf,1,0,3,0,1,0,0,0.114826667,0,0,0,20,19,429,19,0,0,0.05,0.006993007
CHN,Hockey,0,0,0,17,17,0,0,0.228225924,0,0,0,580,589,4526,569,0,0.029876977,0,0
CHN,Judo,1,0,5,0,1,0,0,0.17200261,0,0,0,374,190,4122,190,0,0,0.002673797,0.001213003
CHN,Marathon Swimming,0,0,1,0,0,0,0,0.011892993,0,0,0,2,4,81,2,0,0,0,0.012345679
CHN,Modern Pentathlon,0,0,3,0,0,0,0,0.025394557,0,0,0,66,66,1623,66,0,0,0,0.001848429
CHN,Rhythmic Gymnastics,0,5,1,0,5,0,0,0.120744504,0,0,0,56,56,680,56,0.089285714,0,0,0.001470588
CHN,Rowing,0,0,14,0,0,1.202119686,0,0.263024787,4,0,11,1086,1074,8392,1073,0,0,0,0.001668255
CHN,Rugby Sevens,0,0,14,0,0,0,0,0.018629113,0,0,0,76,76,698,78,0,0,0,0.020057307
CHN,Sailing,0,0,13,0,0,0.160563035,0,0.062053434,1,0,1,396,479,5947,444,0,0,0,0.002185976
CHN,Shooting,4,6,21,2,12,0.926855899,0,0.402878257,6,1,6,443,446,11244,447,0.013452915,0.004474273,0.009029345,0.001867663
CHN,Skateboarding,0,0,4,0,0,0,0,0.019325977,0,0,0,8,8,144,8,0,0,0,0.027777778
CHN,Sport Climbing,0,0,5,2,2,0,0,0.122161575,0,0,0,6,6,90,6,0,0.333333333,0,0.055555556
CHN,Surfing,0,0,1,0,0,0,0,0,,,,4,4,76,4,0,0,0,0.013157895
CHN,Swimming,22,6,49,8,36,1.003235252,0,0.507139454,8,5,1,1096,1241,22946,1133,0.004834811,0.0070609,0.020072993,0.002135448
CHN,Table Tennis,0,10,1,1,11,0.857321482,0,0.556989311,8,4,0,80,74,2252,74,0.135135135,0.013513514,0,0.00044405
CHN,Taekwondo,1,0,4,1,2,0.079981078,0,0.20729388,0,0,1,96,56,662,56,0,0.017857143,0.010416667,0.006042296
CHN,Tennis,0,1,9,2,3,0.001125348,0,0.060211554,0,0,0,144,122,3058,122,0.008196721,0.016393443,0,0.0029431
CHN,Trampoline Gymnastics,1,0,2,1,2,0.252863621,0,0.232599943,1,2,0,4,4,52,4,0,0.25,0.25,0.038461538
CHN,Triathlon,0,0,1,0,0,0,0,0.009448307,0,0,0,19,19,765,19,0,0,0,0.00130719
CHN,Volleyball,0,0,13,0,0,0,0,0.382716016,0,0,0,375,372,2884,372,0,0,0,0.004507628
CHN,Water Polo,0,0,13,0,0,0,0,0.040961631,0,0,0,412,402,3205,399,0,0,0,0.004056162
CHN,Weightlifting,0,5,1,0,5,0.650214531,0,0.436236772,7,1,0,240,241,3538,237,0.020746888,0,0,0.000282646
CHN,Wrestling,4,0,7,1,5,0.33224382,0,0.142145894,0,2,2,540,449,6294,451,0,0.002217295,0.007407407,0.00111217
CIV,Athletics,0,0,12,0,0,0.001125348,0,0.388859907,0,0,0,1452,1500,38865,1477,0,0,0,0.000308761
CIV,Fencing,0,0,2,0,0,0,0,0,,,,626,654,9635,643,0,0,0,0.000207577
CIV,Judo,0,0,1,0,0,0,0,0.017567786,0,0,0,374,190,4122,190,0,0,0,0.000242601
CIV,Taekwondo,1,0,2,0,1,0.152198871,0,0.621976347,0,0,2,96,56,662,56,0,0,0.010416667,0.003021148
CMR,Athletics,0,0,2,0,0,0,0,0.073770579,0,0,0,1452,1500,38865,1477,0,0,0,5.15E-05
CMR,Judo,0,0,1,0,0,0,0,0.019945282,0,0,0,374,190,4122,190,0,0,0,0.000242601
CMR,Swimming,0,0,2,0,0,0,0,0.003482315,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
CMR,Table Tennis,0,0,1,0,0,0.001125348,0,0.00498497,0,0,0,80,74,2252,74,0,0,0,0.00044405
COD,Athletics,0,0,1,0,0,0,0,0.780504115,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
COD,Boxing,0,0,2,0,0,0,0,0.579441946,0,0,0,493,278,5536,277,0,0,0,0.000361272
COD,Judo,0,0,1,0,0,0,0,0.339339925,0,0,0,374,190,4122,190,0,0,0,0.000242601
COD,Swimming,0,0,2,0,0,0,0,0,,,,1096,1241,22946,1133,0,0,0,8.72E-05
COK,Athletics,0,0,1,0,0,0.001125348,0,0.213896227,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
COK,Swimming,0,0,1,0,0,0.001125348,0,0.11838483,0,0,0,1096,1241,22946,1133,0,0,0,4.36E-05
COL,Archery,0,0,9,0,0,0.002250696,0,0.017772384,0,0,0,118,155,2433,140,0,0,0,0.003699137
COL,Artistic Gymnastics,0,0,8,1,1,0,0,0,,,,44,42,2169,42,0,0.023809524,0,0.003688336
COL,Athletics,0,0,19,0,0,0.1734156,0,0.263250696,0,2,0,1452,1500,38865,1477,0,0,0,0.000488872
COL,Boxing,0,0,5,0,0,0,0,0.232655383,0,0,0,493,278,5536,277,0,0,0,0.000903179
COL,Canoe Sprint,0,0,1,0,0,0,0,0,,,,44,42,628,42,0,0,0,0.001592357
COL,Cycling BMX Freestyle,0,0,1,0,0,0,0,0,,,,4,4,30,4,0,0,0,0.033333333
COL,Cycling BMX Racing,0,0,5,0,0,0.16612191,0,0.233629352,0,1,1,4,4,103,4,0,0,0,0.048543689
COL,Cycling Mountain Bike,0,0,1,0,0,0,0,0,,,,4,3,133,4,0,0,0,0.007518797
COL,Cycling Road,0,0,3,0,0,0.001125348,0,0.019894841,0,0,0,6,7,473,7,0,0,0,0.006342495
COL,Cycling Track,0,0,9,0,0,0.001125348,0,0.014263632,0,0,0,56,56,710,56,0,0,0,0.012676056
COL,Diving,0,0,3,0,0,0,0,0.017027539,0,0,0,167,166,2694,166,0,0,0,0.001113586
COL,Equestrian,0,0,1,0,0,0,0,0.002567723,0,0,0,29,30,747,29,0,0,0,0.001338688
COL,Fencing,0,0,1,0,0,0,0,0.030081863,0,0,0,626,654,9635,643,0,0,0,0.000103788
COL,Football,0,0,19,0,0,0,0,0.065088754,0,0,0,626,601,6079,600,0,0,0,0.003125514
COL,Golf,0,0,3,0,0,0,0,0.013442948,0,0,0,20,19,429,19,0,0,0,0.006993007
COL,Judo,0,0,1,0,0,0,0,0.151423528,0,0,0,374,190,4122,190,0,0,0,0.000242601
COL,Sailing,0,0,1,0,0,0,0,0,,,,396,479,5947,444,0,0,0,0.000168152
COL,Skateboarding,0,0,1,0,0,0,0,0.012795624,0,0,0,8,8,144,8,0,0,0,0.006944444
COL,Swimming,0,0,2,0,0,0.002250696,0,0.058555602,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
COL,Tennis,0,0,1,0,0,0,0,0.010976713,0,0,0,144,122,3058,122,0,0,0,0.000327011
COL,Trampoline Gymnastics,0,0,1,0,0,0,0,0.033064424,0,0,0,4,4,52,4,0,0,0,0.019230769
COL,Triathlon,0,0,1,0,0,0,0,0,,,,19,19,765,19,0,0,0,0.00130719
COL,Weightlifting,0,0,2,2,2,0.086140832,0,0.545707983,0,1,0,240,241,3538,237,0,0.008438819,0,0.000565291
COL,Wrestling,1,0,3,0,1,0,0,0.210446018,0,0,0,540,449,6294,451,0,0,0.001851852,0.000476644
COM,Athletics,0,0,1,0,0,0,0,0.319635203,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
COM,Canoe Slalom,0,0,2,0,0,0,0,0,,,,10,10,226,10,0,0,0,0.008849558
COM,Swimming,0,0,2,0,0,0,0,0,,,,1096,1241,22946,1133,0,0,0,8.72E-05
CPV,Athletics,0,0,1,0,0,0.001125348,0,0.058414005,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
CPV,Boxing,1,0,1,0,1,0,0,0.873164622,0,0,0,493,278,5536,277,0,0,0.002028398,0.000180636
CPV,Fencing,0,0,1,0,0,0,0,0,,,,626,654,9635,643,0,0,0,0.000103788
CPV,Judo,0,0,1,0,0,0,0,0.020629336,0,0,0,374,190,4122,190,0,0,0,0.000242601
CPV,Swimming,0,0,2,0,0,0,0,0.015295655,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
CRC,Athletics,0,0,1,0,0,0,0,0.035646856,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
CRC,Cycling Road,0,0,1,0,0,0,0,0.012634421,0,0,0,6,7,473,7,0,0,0,0.002114165
CRC,Judo,0,0,1,0,0,0,0,0.015881408,0,0,0,374,190,4122,190,0,0,0,0.000242601
CRC,Surfing,0,0,1,0,0,0,0,0.088875919,0,0,0,4,4,76,4,0,0,0,0.013157895
CRC,Swimming,0,0,2,0,0,0.002248224,0,0.915202218,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
CRO,Artistic Gymnastics,0,0,5,0,0,0.08726618,0,0.118698506,0,1,0,44,42,2169,42,0,0,0,0.00230521
CRO,Athletics,1,0,8,0,1,0.080591187,0,0.099423645,1,0,0,1452,1500,38865,1477,0,0,0.000688705,0.000205841
