Name,NOC,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals
Daniel Lang,SUI,0,0,0,0
Daniel Lara,ESP,0,0,0,0
Daniel Lavielle,FRA,0,0,0,0
Daniel Lawton,FRA,0,0,0,0
Daniel Lee,GBR,0,0,0,0
Daniel Lee,SRI,0,0,0,0
Daniel Legras,FRA,0,0,0,0
Daniel Lehu,FRA,0,0,0,0
Daniel Leonhard,GER,0,0,0,0
Daniel Lewis,AUS,0,0,0,0
Daniel Ligeti,HUN,0,0,0,0
Daniel Lincoln,USA,0,0,0,0
Daniel Lluch,ESP,0,0,0,0
Daniel Londas,FRA,0,0,0,0
Daniel Lopez,ESP,0,0,0,0
Daniel Lopez,USA,0,0,0,0
Daniel Lowe,USA,0,0,0,0
Daniel Lowey,GBR,1,0,1,0
Daniel Lucenti,ARG,0,0,0,0
Daniel Lynn,PUR,0,0,0,0
Daniel Lyons,USA,0,0,0,0
Daniel Machek,TCH,0,0,0,0
Daniel Mackenzie,KEN,0,0,0,0
Daniel Macovei,ROU,0,0,0,0
Daniel Majerle,USA,1,0,0,1
Daniel Males,AUS,0,0,0,0
Daniel Manning,USA,1,0,0,1
Daniel Manz,GER,0,0,0,0
Daniel Marsden,AUS,0,0,0,0
Daniel Martin,IRL,0,0,0,0
Daniel Martin,ROU,0,0,0,0
Daniel Mateiko,KEN,0,0,0,0
Daniel Mateo,ESP,0,0,0,0
Daniel Matsau,RSA,0,0,0,0
Daniel Mcconnell,AUS,0,0,0,0
Daniel Mcdaid,IRL,0,0,0,0
Daniel Mcdonald,CAN,1,0,1,0
Daniel Mcmahon,USA,0,0,0,0
Daniel Mcmillan,GBR,0,0,0,0
Daniel Meagher,CAN,0,0,0,0
Daniel Meech,NZL,0,0,0,0
Daniel Melin,ESP,0,0,0,0
Daniel Middleman,USA,0,0,0,0
Daniel Miklasevich,USA,0,0,0,0
Daniel Mkandawire,MAW,0,0,0,0
Daniel Mlek,CZE,0,0,0,0
Daniel Mndez,MEX,0,0,0,0
Daniel Montero,ESP,1,1,0,0
Daniel Mony,IND,0,0,0,0
Daniel Mora,VEN,0,0,0,0
Daniel Morelon,FRA,5,3,1,1
Daniel Moreno,BRA,0,0,0,0
Daniel Morrison,ISV,0,0,0,0
Daniel Morseu,AUS,0,0,0,0
Daniel Moussiaux,BEL,0,0,0,0
Daniel Mrquez,MEX,0,0,0,0
Daniel Mstcan,ROU,0,0,0,0
Daniel Mulumba,UGA,0,0,0,0
Daniel Mwangi,KEN,0,0,0,0
Daniel Nadeau,CAN,0,0,0,0
Daniel Namir,ISR,0,0,0,0
Daniel Narcisse,FRA,3,2,1,0
Daniel Navarrete,ARG,0,0,0,0
Daniel Nejad,IRI,0,0,0,0
Daniel Nelissen,NED,0,0,0,0
Daniel Nestor,CAN,1,1,0,0
Daniel Newman,ITA,0,0,0,0
Daniel Niculescu,ROU,0,0,0,0
Daniel Nion,FRA,0,0,0,0
Daniel Nipkow,SUI,1,0,1,0
Daniel Noonan,AUS,1,0,0,1
Daniel Norman,CAN,0,0,0,0
Daniel Norton,GBR,1,0,1,0
Daniel Novikov,EST,0,0,0,0
Daniel Nyborg,DEN,0,0,0,0
Daniel O'brien,IRL,0,0,0,0
Daniel O'brien,USA,1,1,0,0
Daniel O'connor,USA,0,0,0,0
Daniel O'grady,IRL,0,0,0,0
Daniel O'keeffe,GUM,0,0,0,0
Daniel Octavio,VEN,0,0,0,0
Daniel Odindo,UGA,0,0,0,0
Daniel Olivares,PHI,0,0,0,0
Daniel Ormsbee,USA,0,0,0,0
Daniel Orzechowski,BRA,0,0,0,0
Daniel Osorio,COL,0,0,0,0
Daniel Osorio,MEX,0,0,0,0
Daniel Pandle,FRA,0,0,0,0
Daniel Parsons,CAN,1,0,0,1
Daniel Patterson,USA,0,0,0,0
Daniel Pavlov,BUL,0,0,0,0
Daniel Pavn,ESP,0,0,0,0
Daniel Payne,CAN,0,0,0,0
Daniel Pea,PUR,1,0,0,1
Daniel Perreault,CAN,0,0,0,0
Daniel Petrov,BUL,2,1,1,0
Daniel Pettersson,SWE,0,0,0,0
Daniel Pettit,GBR,0,0,0,0
Daniel Philibert,FRA,0,0,0,0
Daniel Phillips,AUS,0,0,0,0
Daniel Pierre,FRA,0,0,0,0
Daniel Pinedo,ESP,0,0,0,0
Daniel Pinheiro,BRA,0,0,0,0
Daniel Pintado,ECU,2,1,1,0
Daniel Pinto,POR,0,0,0,0
Daniel Pliski,POL,0,0,0,0
Daniel Ponce,ESP,0,0,0,0
Daniel Power,CAN,0,0,0,0
Daniel Prats,ESP,0,0,0,0
Daniel Prez,VEN,0,0,0,0
Daniel Prigaud,FRA,0,0,0,0
Daniel Puckel,USA,0,0,0,0
Daniel Purvis,GBR,1,0,0,1
Daniel Raba,HUN,0,0,0,0
Daniel Radu,ROU,0,0,0,0
Daniel Ramseier,SUI,1,0,1,0
Daniel Rapoza,MEX,0,0,0,0
Daniel Rbillard,FRA,1,1,0,0
Daniel Reddin,IRL,0,0,0,0
Daniel Repacholi,AUS,0,0,0,0
Daniel Restrepo,COL,0,0,0,0
Daniel Revenu,FRA,6,1,0,5
Daniel Riedo,SUI,0,0,0,0
Daniel Rivas,PAR,0,0,0,0
Daniel Robert,ESP,0,0,0,0
Daniel Roberts,USA,1,0,1,0
Daniel Robin,FRA,2,0,2,0
Daniel Robinson,GBR,0,0,0,0
Daniel Rocha,MEX,1,1,0,0
Daniel Rodrguez,URU,0,0,0,0
Daniel Roelandt,BEL,0,0,0,0
Daniel Rogelin,BRA,0,0,0,0
Daniel Ronan,AUS,0,0,0,0
Daniel Rose,GBR,0,0,0,0
Daniel Rowden,GBR,0,0,0,0
Daniel Rudisha,KEN,1,0,1,0
Daniel Rusitovic,AUS,0,0,0,0
Daniel Sancery,BRA,0,0,0,0
Daniel Sande,ARG,0,0,0,0
Daniel Sangouma,FRA,1,0,0,1
Daniel Sans,ESP,2,1,1,0
Daniel Santos,BRA,0,0,0,0
Daniel Santos,POR,0,0,0,0
Daniel Sarmiento,ESP,1,0,0,1
Daniel Sawyer,USA,1,1,0,0
Daniel Schnurrenberger,USA,0,0,0,0
Daniel Schorn,AUT,0,0,0,0
Daniel Schroff,SUI,0,0,0,0
Daniel Scuri,ARG,0,0,0,0
Daniel Sedji,CIV,0,0,0,0
Daniel Segers,BEL,0,0,0,0
Daniel Senet,FRA,1,0,1,0
Daniel Shaughnessy,CAN,0,0,0,0
Daniel Sherry,CAN,0,0,0,0
Daniel Shirley,NZL,0,0,0,0
Daniel Sibandze,SWZ,0,0,0,0
Daniel Sili,BRA,0,0,0,0
Daniel Skaaning,DEN,0,0,0,0
Daniel Slater,NZL,0,0,0,0
Daniel Smith,AUS,0,0,0,0
Daniel Snchez,MEX,0,0,0,0
Daniel Snchez,PUR,0,0,0,0
Daniel Soltysiak,POL,0,0,0,0
Daniel Spengler,SUI,0,0,0,0
Daniel Sproule,AUS,2,0,0,2
Daniel Sr.,USA,0,0,0,0
Daniel Stahl,SWE,1,1,0,0
Daniel Stajano,URU,0,0,0,0
Daniel Staniszewski,POL,0,0,0,0
Daniel Steiger,SUI,0,0,0,0
Daniel Stephan,GER,1,0,1,0
Daniel Sthl,SWE,0,0,0,0
Daniel Stoian,ROU,0,0,0,0
Daniel Strigel,GER,1,0,0,1
Daniel Sturridge,GBR,0,0,0,0
Daniel Sullivan,USA,0,0,0,0
Daniel Sundn-cullberg,SWE,1,0,0,1
Daniel Szetela,USA,0,0,0,0
Daniel Taabu,KEN,0,0,0,0
Daniel Taillon,CAN,0,0,0,0
Daniel Talbot,GBR,0,0,0,0
Daniel Tanamachi,MEX,0,0,0,0
Daniel Tesfaye,ETH,0,0,0,0
Daniel Theis,GER,0,0,0,0
Daniel Thiaw,SEN,0,0,0,0
Daniel Thomas,TAN,0,0,0,0
Daniel Tiatto,AUS,0,0,0,0
Daniel Torres,COL,0,0,0,0
Daniel Touche,FRA,0,0,0,0
Daniel Tranter,AUS,0,0,0,0
Daniel Trenton,AUS,1,0,1,0
Daniel Trojanowski,POL,0,0,0,0
Daniel Tschan,SUI,0,0,0,0
Daniel Tsiokas,GRE,0,0,0,0
Daniel Unger,GER,0,0,0,0
Daniel Vacek,CZE,0,0,0,0
Daniel Veatch,USA,0,0,0,0
Daniel Velez,PUR,0,0,0,0
Daniel Verdaguer,ESP,0,0,0,0
Daniel Veron,ARG,0,0,0,0
Daniel Villagrn,MEX,1,0,1,0
Daniel Vilmar,ARG,0,0,0,0
Daniel Vlasquez,FRA,1,0,0,1
Daniel Vo,GER,0,0,0,0
Daniel Voiculescu,ROU,0,0,0,0
Daniel Wallace,GBR,1,0,1,0
Daniel Walsh,USA,1,0,0,1
Daniel Waszkiewicz,POL,0,0,0,0
Daniel Watkins,AUS,0,0,0,0
Daniel Watters,USA,0,0,0,0
Daniel Wena,POL,0,0,0,0
Daniel Wiederkehr,SUI,0,0,0,0
Daniel Wiffen,IRL,0,0,0,0
Daniel Willcox,NZL,0,0,0,0
Daniel Willems,BEL,0,0,0,0
Daniel Willett,GBR,0,0,0,0
Daniel Williams,GBR,0,0,0,0
Daniel Williamson,NZL,1,1,0,0
Daniel Winkler,FRG,0,0,0,0
Daniel Winkler,SUI,0,0,0,0
Daniel Wout,NED,0,0,0,0
Daniel Wunderlin,SUI,0,0,0,0
Daniel Xavier,BRA,0,0,0,0
Daniel Xuereb,FRA,1,1,0,0
Daniel Yordanov,BUL,0,0,0,0
Daniel Zaragoza,MEX,0,0,0,0
Daniel Zegeye,ETH,0,0,0,0
Daniela (-bahr),SUI,0,0,0,0
Daniela (-breckov),CZE,0,0,0,0
Daniela (-breckov),TCH,0,0,0,0
Daniela (-frinolli),ITA,0,0,0,0
Daniela (-lewicka),POL,1,0,0,1
Daniela (-tenger),SUI,1,0,1,0
Daniela (spasova-),BUL,0,0,0,0
Daniela (tarkowska-),POL,0,0,0,0
Daniela (teneva-),BUL,0,0,0,0
Daniela Alvarez,ESP,0,0,0,0
Daniela Arias,COL,0,0,0,0
Daniela Bedov,CZE,0,0,0,0
Daniela Brendel,GER,1,0,1,0
Daniela Bulaich,ARG,0,0,0,0
Daniela Campos,POR,0,0,0,0
Daniela Campuzano,MEX,0,0,0,0
Daniela Caracas,COL,0,0,0,0
Daniela Cardoso,POR,0,0,0,0
Daniela Carraro,BRA,0,0,0,0
Daniela Castellani,ITA,0,0,0,0
Daniela Castrignan,ITA,0,0,0,0
Daniela Chirinos,VEN,0,0,0,0
Daniela Chmet,ITA,0,0,0,0
Daniela Cociu,MDA,0,0,0,0
Daniela Costian,AUS,1,0,0,1
Daniela Darquea,ECU,0,0,0,0
Daniela Din,SMR,0,0,0,0
Daniela Dodean,ROU,0,0,0,0
Daniela Druncea,ROU,1,0,0,1
Daniela Dumitrescu,ROU,0,0,0,0
Daniela Ferrian,ITA,0,0,0,0
Daniela Fonseca,CUB,0,0,0,0
Daniela Galassi,SMR,0,0,0,0
Daniela Gattelli,ITA,0,0,0,0
Daniela Gaxiola,MEX,0,0,0,0
Daniela Gergelcheva,BUL,0,0,0,0
Daniela Graglia,ITA,0,0,0,0
Daniela Gtz,GER,1,0,0,1
Daniela Hantuchov,SVK,0,0,0,0
Daniela Hunger,GDR,3,2,0,1
Daniela Hunger,GER,3,0,1,2
Daniela Incio,POR,0,0,0,0
Daniela Kerkelova,BUL,0,0,0,0
Daniela Krukower,ARG,0,0,0,0
Daniela Kuleska,MKD,0,0,0,0
Daniela Leite,BRA,0,0,0,0
Daniela Lima,BRA,2,0,2,0
Daniela Maccelli,ITA,0,0,0,0
Daniela Macias,PER,0,0,0,0
Daniela Masseroni,ITA,1,0,1,0
Daniela Menegon,SWZ,0,0,0,0
Daniela Mogurean,ITA,2,0,0,2
Daniela Montoya,COL,0,0,0,0
Daniela Moroz,USA,0,0,0,0
Daniela Neunast,GDR,1,1,0,0
Daniela Neunast,GER,1,0,0,1
Daniela Oronova,BUL,0,0,0,0
Daniela Pardo,CHI,0,0,0,0
Daniela Pekov,SVK,0,0,0,0
Daniela Pen,MEX,0,0,0,0
Daniela Piedade,BRA,0,0,0,0
Daniela Polzin,BRA,0,0,0,0
Daniela Porcelli,ITA,0,0,0,0
Daniela Potapova,GER,0,0,0,0
Daniela Quiroz,COL,0,0,0,0
Daniela Reimer,GER,1,0,1,0
Daniela Ryf,SUI,0,0,0,0
Daniela Samulski,GER,0,0,0,0
Daniela Schreiber,GER,0,0,0,0
Daniela Schultze,GER,0,0,0,0
Daniela Serpilli,ITA,0,0,0,0
Daniela Sruoga,ARG,1,0,1,0
Daniela Stanciu,ROU,0,0,0,0
Daniela Stavreva,BUL,0,0,0,0
Daniela Terol,ESP,0,0,0,0
Daniela Torres,MEX,0,0,0,0
Daniela Trandkov-novkov,TCH,0,0,0,0
Daniela Yordanova,BUL,0,0,0,0
Daniela Zamora,CHI,0,0,0,0
Daniele (-stevens),AUS,0,0,0,0
Daniele Bonera,ITA,1,0,0,1
Daniele Bracciali,ITA,0,0,0,0
Daniele Caimmi,ITA,0,0,0,0
Daniele Casadei,SMR,0,0,0,0
Daniele Cesaretti,SMR,0,0,0,0
Daniele Cioni,ITA,0,0,0,0
Daniele Crosta,ITA,1,0,0,1
Daniele Danesin,ITA,0,0,0,0
Daniele Dessena,ITA,0,0,0,0
Daniele Fontecchio,ITA,0,0,0,0
Daniele Frignani,ITA,0,0,0,0
Daniele Garozzo,ITA,2,1,1,0
Daniele Giovanardi,ITA,0,0,0,0
Daniele Greco,ITA,0,0,0,0
Daniele Hyplito,BRA,0,0,0,0
Daniele Lavia,ITA,0,0,0,0
Daniele Luca,ITA,0,0,0,0
Daniele Lupo,ITA,1,0,1,0
Daniele Masala,ITA,3,2,1,0
Daniele Massaro,ITA,0,0,0,0
Daniele Meucci,ITA,0,0,0,0
Daniele Molmenti,ITA,1,1,0,0
Daniele Nardello,ITA,0,0,0,0
Daniele Pace,ITA,0,0,0,0
Daniele Pontoni,ITA,0,0,0,0
Daniele Rossi,ITA,1,0,0,1
Daniele Scarpa,ITA,2,1,1,0
Daniele Sottile,ITA,1,0,1,0
Daniele Spigno,ITA,0,0,0,0
Daniele Tirabassi,VEN,0,0,0,0
Daniele Zappaterra,ITA,0,0,0,0
Daniella Berg,ARU,0,0,0,0
Daniella Borda,PER,0,0,0,0
Daniella Kromm,GER,0,0,0,0
Daniella Ramirez,USA,1,0,1,0
Daniella Rosas,PER,0,0,0,0
Danielle (-mnard),FRA,0,0,0,0
Danielle (-rowe),GBR,1,1,0,0
Danielle (gusterson-),AUS,1,1,0,0
Danielle Alakija,FIJ,0,0,0,0
Danielle Beaubrun,LCA,0,0,0,0
Danielle Boyd,CAN,0,0,0,0
Danielle Chenard,CAN,0,0,0,0
Danielle Collins,USA,0,0,0,0
Danielle Dube,CAN,0,0,0,0
Danielle Henderson,USA,1,1,0,0
Danielle Hill,IRL,0,0,0,0
Danielle Kamber,SUI,0,0,0,0
Danielle Kang,USA,0,0,0,0
Danielle Kettlewell,AUS,0,0,0,0
Danielle Lappage,CAN,0,0,0,0
Danielle Lawrie,CAN,1,0,0,1
Danielle Leray,AUS,0,0,0,0
Danielle Lins,BRA,1,1,0,0
Danielle O'toole,MEX,0,0,0,0
Danielle Page,SRB,1,0,0,1
Danielle Prince,AUS,0,0,0,0
Danielle Roche,AUS,1,1,0,0
Danielle Scott-arruda,USA,2,0,2,0
Danielle Small,AUS,0,0,0,0
Danielle Stewart,AUS,1,0,0,1
Danielle Titus,BAR,0,0,0,0
Danielle Tyler,USA,1,1,0,0
Danielle Villars,SUI,0,0,0,0
Danielle Waterman,GBR,0,0,0,0
Danielle Williams,JAM,0,0,0,0
Danielle Woodward,AUS,1,0,1,0
Danielle Zangrando,BRA,0,0,0,0
Danielli Barbosa,BRA,0,0,0,0
Daniely Brea,VEN,0,0,0,0
Danielys Buitriag,VEN,0,0,0,0
Daniil Burkenya,RUS,1,0,0,1
Daniil Medvedev,AIN,0,0,0,0
Daniil Medvedev,ROC,0,0,0,0
Daniil Pakhomov,RUS,0,0,0,0
Daniils Bobrovs,LAT,0,0,0,0
Danijel Ari,QAT,0,0,0,0
Danijel Bajlo,CRO,0,0,0,0
Danijel Furtula,MNE,0,0,0,0
Danijel Korica,YUG,0,0,0,0
Danijel Premerl,YUG,0,0,0,0
Danijel Premu,CRO,0,0,0,0
Danijel Premu,ITA,1,0,1,0
Danijel Vrhovek,YUG,0,0,0,0
Danijela Jackovich,AUS,1,0,1,0
Danijela Simi,YUG,0,0,0,0
Danika Holbrook-harris,USA,0,0,0,0
Danil Artyukh,KAZ,0,0,0,0
Danil Bouckaert,BEL,2,2,0,0
Danil Bugakov,UZB,0,0,0,0
Danil Buijze,NED,0,0,0,0
Danil Clarembaux,BEL,0,0,0,0
Danil Groot,NED,0,0,0,0
Danil Haustov,EST,0,0,0,0
Danil Helmolt,NED,0,0,0,0
Danil Kagchelland,NED,1,1,0,0
Danil Khalimov,KAZ,0,0,0,0
Danil Mensch,NED,1,0,1,0
Danil Mussabayev,KAZ,0,0,0,0
Danila Izotov,RUS,2,0,1,1
Danila Kuznetsov,RUS,0,0,0,0
Danila Turchin,UZB,0,0,0,0
Danile Dorlans,FRA,0,0,0,0
Danile Kaber,LUX,0,0,0,0
Danile Laumann,CAN,1,0,0,1
Danile Sicot-coulon,FRA,0,0,0,0
Danille Bruijn,NED,1,1,0,0
Danille Rossem,NED,0,0,0,0
Danille Vriezema,NED,0,0,0,0
Danilo (-cereali),YUG,0,0,0,0
Danilo Armenteros,CUB,0,0,0,0
Danilo Barthel,GER,0,0,0,0
Danilo Coito,URU,0,0,0,0
Danilo Fioravanti,ITA,0,0,0,0
Danilo Florencio,PHI,0,0,0,0
Danilo Funes,HON,0,0,0,0
Danilo Gallinari,ITA,0,0,0,0
Danilo Goffi,ITA,0,0,0,0
Danilo Guarnieri,COL,0,0,0,0
Danilo Heredia,VEN,0,0,0,0
Danilo Hondo,GER,0,0,0,0
Danilo Ikodinovi,SCG,2,0,1,1
Danilo Innocenti,ITA,0,0,0,0
Danilo Jr.,PHI,0,0,0,0
Danilo Luca,ITA,0,0,0,0
Danilo Rosafio,KEN,0,0,0,0
Danilo Silva,BRA,1,0,1,0
Danilo Tognon,ITA,0,0,0,0
Danilo Zavoli,SMR,0,0,0,0
Danilson Ricciuli,GBS,0,0,0,0
Danio Bardi,ITA,1,1,0,0
Danio Merli,ITA,0,0,0,0
Danira (-bili),YUG,1,0,1,0
Danis Latypov,BRN,0,0,0,0
Danish Mujtaba,IND,0,0,0,0
Daniyal Gadzhiyev,KAZ,1,0,0,1
Daniyal Shahbakhsh,IRI,0,0,0,0
Daniyar Kaisanov,KAZ,0,0,0,0
Daniyar Kobonov,KGZ,0,0,0,0
Daniyar Munaytbasov,KAZ,0,0,0,0
Daniyar Shamshayev,KAZ,0,0,0,0
Daniyar Yeleusinov,KAZ,1,1,0,0
Daniyar Yuldashev,KAZ,0,0,0,0
Danja Msch,GER,0,0,0,0
Danka Bartekov,SVK,1,0,0,1
Danka Bartekova,SVK,0,0,0,0
Danka Kovini,MNE,0,0,0,0
Danka Kovinic,MNE,0,0,0,0
Danko Cvjetianin,CRO,1,0,1,0
Danko Cvjetianin,YUG,1,0,1,0
Danko Herceg,CRO,0,0,0,0
Danko Mandi,YUG,0,0,0,0
Dann Dany,FRA,1,0,1,0
Dannette (-stone),USA,2,1,1,0
Dannette Leininger,USA,0,0,0,0
Danniel (-dodd),JAM,0,0,0,0
Danniel Thomas-dodd,JAM,0,0,0,0
Dannielle Liesch,AUS,0,0,0,0
Danny Agramonte,CUB,1,1,0,0
Danny Barrett,USA,0,0,0,0
Danny Chacn,CUB,1,1,0,0
Danny Chia,MAS,0,0,0,0
Danny D'souza,SEY,0,0,0,0
Danny Demyanenko,CAN,0,0,0,0
Danny Ebbers,NED,0,0,0,0
Danny Gable,USA,1,1,0,0
Danny Leon,ESP,0,0,0,0
Danny Mcfarlane,JAM,2,0,2,0
Danny Rodrigues,FRA,0,0,0,0
Danny Rombley,NED,0,0,0,0
Danny Stam,NED,0,0,0,0
Danny Valencia,ISR,0,0,0,0
Dano Panti,IOA,0,0,0,0
Danstru Andersen,DEN,0,0,0,0
Dante Agostini,ITA,0,0,0,0
Dante Aloisi,ITA,0,0,0,0
Dante Amaral,BRA,3,1,2,0
Dante Bertoli,ITA,0,0,0,0
Dante Boninfante,ITA,1,0,0,1
Dante Carbini,ITA,0,0,0,0
Dante Carniel,ITA,0,0,0,0
Dante Ceccatelli,ITA,0,0,0,0
Dante Craig,USA,0,0,0,0
Dante D'ambrosi,ITA,0,0,0,0
Dante Exum,AUS,1,0,0,1
Dante Figoli,ITA,0,0,0,0
Dante Ghindani,ITA,0,0,0,0
Dante Lenardon,ARG,0,0,0,0
Dante Rossi,ITA,1,1,0,0
Dante Secchi,ITA,1,0,1,0
Dante Soto,URU,0,0,0,0
Dante Washington,USA,0,0,0,0
Danusia Francis,JAM,0,0,0,0
Danuta (-dembna),POL,0,0,0,0
Danuta (-goch),POL,0,0,0,0
Danuta (-gwardecka),POL,0,0,0,0
Danuta (-kossek),POL,0,0,0,0
Danuta (-milej),POL,0,0,0,0
Danuta (-panasiuk),POL,0,0,0,0
Danuta (-stoek),POL,0,0,0,0
Danuta (-wroska),POL,1,0,0,1
Danuta Bartoszek,CAN,0,0,0,0
Danuta Fidusiewicz-prusinowska,POL,0,0,0,0
Danuta Kordaczuk-wagner,POL,1,0,0,1
Danuta Kozak,HUN,2,1,0,1
Danuta Kozk,HUN,6,5,1,0
Danuta Piecyk,POL,0,0,0,0
Danuta Urbanik,POL,0,0,0,0
Danute Bankaitis-davis,USA,0,0,0,0
Danyi Zhang,CHN,0,0,0,0
Danylo Danylenko,UKR,0,0,0,0
Danylo Konovalov,UKR,0,0,0,0
Danylo Sapunov,KAZ,0,0,0,0
Danylo Sapunov,UKR,0,0,0,0
Danylo Sikan,UKR,0,0,0,0
Danyon Loader,NZL,3,2,1,0
Danzandarjaagiin Sereeter,MGL,1,0,0,1
Daouda Karabou,FRA,2,2,0,0
Daouda Sow,FRA,1,0,1,0
Daouda Tolo,KSA,0,0,0,0
Daour Guye,SEN,0,0,0,0
Daoyi Long,CHN,1,1,0,0
Dapeng Wang,CHN,0,0,0,0
Daphne (-bousquet),NED,0,0,0,0
Daphne (-slater),GBR,1,0,0,1
Daphne Chan,HKG,0,0,0,0
Daphne Hernndez,CRC,0,0,0,0
Daphne Robb-hasenjger,RSA,1,0,1,0
Daphne Touw,NED,1,0,0,1
Daphne Wilkinson,GBR,0,0,0,0
Daphrose Nyiramutuzo,RWA,0,0,0,0
Dara (-steri),YUG,0,0,0,0
Dara -minas),USA,12,4,4,4
Dara Alizadeh,BER,0,0,0,0
Dara Hassanien,EGY,0,0,0,0
Dara Semonowa,TKM,0,0,0,0
Daragh Walsh,IRL,0,0,0,0
Darcel Berkhout,CAN,0,0,0,0
Darcel Elendt,GER,0,0,0,0
Darcel Yandzi,FRA,0,0,0,0
Darcina-Rose Manuel,NZL,0,0,0,0
Darcy Guimares,BRA,0,0,0,0
Darcy Hadfield,NZL,1,0,0,1
Darcy Marquardt,CAN,1,0,1,0
Daria (-lyrenmann),SUI,0,0,0,0
Daria (onysko-),POL,0,0,0,0
Daria Atamanov,ISR,0,0,0,0
Daria Belyakina,RUS,0,0,0,0
Daria Bijak,GER,0,0,0,0
Daria Bilodid,UKR,1,0,0,1
Daria Davydova,ROC,0,0,0,0
Daria Dmitrieva,ROC,1,0,1,0
Daria Fantoni,ITA,0,0,0,0
Daria Gavrilova,AUS,0,0,0,0
Daria Golovaty,ISR,0,0,0,0
Daria Joura,AUS,0,0,0,0
Daria Kulagina,BLR,0,0,0,0
Daria Lushina,ROC,0,0,0,0
Daria Mezhetskaia,ROC,0,0,0,0
Daria Noritsina,ROC,0,0,0,0
Daria Pikulik,POL,1,0,1,0
Daria Pilipenko,ROC,0,0,0,0
Daria Pogorzelec,POL,0,0,0,0
Daria Saville,AUS,0,0,0,0
Daria Semianova,ROC,0,0,0,0
Daria Shestakova,ROC,0,0,0,0
Daria Shmeleva,ROC,1,0,0,1
Daria Zabawska,POL,0,0,0,0
Darian King,BAR,0,0,0,0
Darian Townsend,RSA,1,1,0,0
Darien Boswell,NZL,0,0,0,0
Darienn Dels,CUB,0,0,0,0
Darif Tanjaoui,MAR,0,0,0,0
Dariga Shakimova,KAZ,1,0,0,1
Darija Alauf,IOA,0,0,0,0
Darija Jurak,CRO,0,0,0,0
Darina (-halkov),TCH,0,0,0,0
Darina Mifkova,ITA,0,0,0,0
Darina Nedashkivska,UKR,0,0,0,0
Darina Sharipova,UKR,0,0,0,0
Dario Alvarez,DOM,1,0,0,1
Dario Ari,CRO,0,0,0,0
Dario Badinelli,ITA,0,0,0,0
Dario Barbosa,BRA,1,0,0,1
Dario Berrio,COL,0,0,0,0
Dario Brizuela,ESP,0,0,0,0
Dario Brose,USA,0,0,0,0
Dario Canas,POR,0,0,0,0
Dario Dentale,ITA,1,0,0,1
Dario Fazio,VEN,0,0,0,0
Dario Gasco,ARG,0,0,0,0
Dario Giani,ITA,0,0,0,0
Dario Gonzalez,COL,0,0,0,0
Dario Gonzlez,MEX,0,0,0,0
Dario Grava,FRA,0,0,0,0
Dario Ivanovski,MKD,0,0,0,0
Dario Lari,ITA,0,0,0,0
Dario Mangiarotti,ITA,3,1,2,0
Dario Marcolin,ITA,0,0,0,0
Dario Moscariello,ARG,0,0,0,0
Dario Palazzani,ITA,0,0,0,0
Dario Salata,ITA,0,0,0,0
Dario Torrente,RSA,0,0,0,0
Dario Valle,ITA,0,0,0,0
Dario Varga,YUG,0,0,0,0
Dario Vidoevi,YUG,0,0,0,0
Darioush Mohammadi,IRI,0,0,0,0
Darioush Mostafavi,IRI,0,0,0,0
Darisleydis Rodrguez,CUB,0,0,0,0
Darius Dimaviius,LTU,1,0,0,1
Darius Draudvila,LTU,0,0,0,0
Darius Grigalionis,LTU,0,0,0,0
Darius Karnulis,LTU,0,0,0,0
Darius Lukminas,LTU,1,0,0,1
Darius Maskolinas,LTU,1,0,0,1
Darius Smith,PUR,0,0,0,0
Darius Songaila,LTU,1,0,0,1
Darius Young,USA,0,0,0,0
Dariusz Adamczuk,POL,1,0,1,0
Dariusz Adamus,POL,0,0,0,0
Dariusz Baranowski,POL,0,0,0,0
Dariusz Biakowski,POL,2,0,0,2
Dariusz Godziak,POL,1,1,0,0
Dariusz Grzywiski,POL,0,0,0,0
Dariusz Gsior,POL,1,0,1,0
Dariusz Jaboski,POL,0,0,0,0
Dariusz Koszykowski,POL,0,0,0,0
Dariusz Kowaluk,POL,1,1,0,0
Dariusz Ku,POL,0,0,0,0
Dariusz Ludwig,POL,0,0,0,0
Dariusz Maecki,POL,0,0,0,0
Dariusz Marcinkowski,POL,0,0,0,0
Dariusz Nowak,POL,0,0,0,0
Dariusz Nowakowski,POL,0,0,0,0
Dariusz Osuch,POL,0,0,0,0
Dariusz Popiela,POL,0,0,0,0
Dariusz Radosz,POL,0,0,0,0
Dariusz Snarski,POL,0,0,0,0
Dariusz Trafas,POL,0,0,0,0
Dariusz Wierczewski,POL,0,0,0,0
Dariusz Wolny,POL,0,0,0,0
Dariusz Zelig,POL,0,0,0,0
Dariya Derkach,ITA,0,0,0,0
Darja Varfolomeev,GER,1,1,0,0
Darja Varfolomyeyeva,UKR,0,0,0,0
Darjan Petri,YUG,0,0,0,0
Darju Lavrinovi,LTU,0,0,0,0
Darkhan Assadilov,KAZ,1,0,0,1
Darkhan Bayakhmetov,KAZ,0,0,0,0
Darko Brguljan,MNE,0,0,0,0
Darko Cingesar,SLO,0,0,0,0
Darko Duki,YUG,0,0,0,0
