Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals
Kristen Tsai,CAN,Badminton,0,0,1,0,0
Michelle Li,CAN,Badminton,0,0,1,0,0
Michelle Li,CAN,Badminton,0,0,2,0,0
Nyl Yakura,CAN,Badminton,0,0,1,0,0
Nyl Yakura,CAN,Badminton,0,0,2,0,0
Rachel Honderich,CAN,Badminton,0,0,1,0,0
Rachel Honderich,CAN,Badminton,0,0,1,0,0
Danielle Lawrie,CAN,Baseball/Softball,1,0,0,0,1
Danielle Lawrie,CAN,Baseball/Softball,1,0,0,0,1
Emma Entzminger,CAN,Baseball/Softball,1,0,0,0,1
Emma Entzminger,CAN,Baseball/Softball,1,0,0,0,1
Erika Polidori,CAN,Baseball/Softball,1,0,0,0,1
Erika Polidori,CAN,Baseball/Softball,1,0,0,0,1
Janet Leung,CAN,Baseball/Softball,1,0,0,0,1
Janet Leung,CAN,Baseball/Softball,1,0,0,0,1
Jen Gilbert,CAN,Baseball/Softball,1,0,0,0,1
Jen Gilbert,CAN,Baseball/Softball,1,0,0,0,1
Jenn Salling,CAN,Baseball/Softball,1,0,0,0,1
Jenn Salling,CAN,Baseball/Softball,1,0,0,0,1
Jenna Caira,CAN,Baseball/Softball,1,0,0,0,1
Jenna Caira,CAN,Baseball/Softball,1,0,0,0,1
Joey Lye,CAN,Baseball/Softball,1,0,0,0,1
Joey Lye,CAN,Baseball/Softball,1,0,0,0,1
Kaleigh Rafter,CAN,Baseball/Softball,1,0,0,0,1
Kaleigh Rafter,CAN,Baseball/Softball,1,0,0,0,1
Kelsey Harshman,CAN,Baseball/Softball,1,0,0,0,1
Kelsey Harshman,CAN,Baseball/Softball,1,0,0,0,1
Larissa Franklin,CAN,Baseball/Softball,1,0,0,0,1
Larissa Franklin,CAN,Baseball/Softball,1,0,0,0,1
Lauren Regula,CAN,Baseball/Softball,1,0,0,0,1
Lauren Regula,CAN,Baseball/Softball,1,0,0,0,1
Natalie Wideman,CAN,Baseball/Softball,1,0,0,0,1
Natalie Wideman,CAN,Baseball/Softball,1,0,0,0,1
Sara Groenewegen,CAN,Baseball/Softball,1,0,0,0,1
Sara Groenewegen,CAN,Baseball/Softball,1,0,0,0,1
Victoria Hayward,CAN,Baseball/Softball,1,0,0,0,1
Victoria Hayward,CAN,Baseball/Softball,1,0,0,0,1
Aaliyah Edwards,CAN,Basketball,0,0,1,0,0
Aaliyah Edwards,CAN,Basketball,0,0,2,0,0
Andrew Nembhard,CAN,Basketball,0,0,1,0,0
Bridget Carleton,CAN,Basketball,0,0,1,0,0
Bridget Carleton,CAN,Basketball,0,0,2,0,0
Cassandre Prosper,CAN,Basketball,0,0,1,0,0
Dillon Brooks,CAN,Basketball,0,0,1,0,0
Dwight Powell,CAN,Basketball,0,0,1,0,0
Jamal Murray,CAN,Basketball,0,0,1,0,0
Katherine Plouffe,CAN,Basketball,0,0,1,0,0
Katherine Plouffe,CAN,Basketball,0,0,1,0,0
Kayla Alexander,CAN,Basketball,0,0,1,0,0
Kayla Alexander,CAN,Basketball,0,0,2,0,0
Kelly Olynyk,CAN,Basketball,0,0,1,0,0
Khem Birch,CAN,Basketball,0,0,1,0,0
Kia Nurse,CAN,Basketball,0,0,2,0,0
Kia Nurse,CAN,Basketball,0,0,3,0,0
Kim Gaucher,CAN,Basketball,0,0,1,0,0
Kim Gaucher,CAN,Basketball,0,0,1,0,0
Laeticia Amihere,CAN,Basketball,0,0,1,0,0
Laeticia Amihere,CAN,Basketball,0,0,2,0,0
Luguentz Dort,CAN,Basketball,0,0,1,0,0
Melvin Ejim,CAN,Basketball,0,0,1,0,0
Michelle Plouffe,CAN,Basketball,0,0,2,0,0
Michelle Plouffe,CAN,Basketball,0,0,2,0,0
Miranda Ayim,CAN,Basketball,0,0,3,0,0
Miranda Ayim,CAN,Basketball,0,0,3,0,0
Natalie Achonwa,CAN,Basketball,0,0,3,0,0
Natalie Achonwa,CAN,Basketball,0,0,4,0,0
Nayo Raincock-ekunwe,CAN,Basketball,0,0,1,0,0
Nayo Raincock-ekunwe,CAN,Basketball,0,0,1,0,0
Nickeil Alexander-walker,CAN,Basketball,0,0,1,0,0
Nirra Fields,CAN,Basketball,0,0,2,0,0
Nirra Fields,CAN,Basketball,0,0,3,0,0
Rj Barrett,CAN,Basketball,0,0,1,0,0
Sami Hill,CAN,Basketball,0,0,1,0,0
Shai Gilgeous-alexander,CAN,Basketball,0,0,1,0,0
Shaina Pellington,CAN,Basketball,0,0,1,0,0
Shaina Pellington,CAN,Basketball,0,0,1,0,0
Shay Colley,CAN,Basketball,0,0,1,0,0
Shay Colley,CAN,Basketball,0,0,2,0,0
Syla Swords,CAN,Basketball,0,0,1,0,0
Trey Lyles,CAN,Basketball,0,0,1,0,0
Yvonne Ejim,CAN,Basketball,0,0,1,0,0
Brandie Wilkerson,CAN,Beach Volleyball,0,0,1,0,0
Brandie Wilkerson,CAN,Beach Volleyball,0,0,1,1,1
Daniel Dearing,CAN,Beach Volleyball,0,0,1,0,0
Heather Bansley,CAN,Beach Volleyball,0,0,2,0,0
Heather Bansley,CAN,Beach Volleyball,0,0,3,0,0
Melissa Humana-paredes,CAN,Beach Volleyball,0,0,1,0,0
Melissa Humana-paredes,CAN,Beach Volleyball,0,0,1,1,1
Sarah Pavan,CAN,Beach Volleyball,0,0,2,0,0
Sarah Pavan,CAN,Beach Volleyball,0,0,2,0,0
Sophie Bukovec,CAN,Beach Volleyball,0,0,1,0,0
Caroline Veyre,CAN,Boxing,0,0,1,0,0
Caroline Veyre,CAN,Boxing,0,0,1,0,0
Christopher Ius,CAN,Boxing,0,0,2,0,0
Christopher Ius,CAN,Boxing,0,0,2,0,0
Mandy Bujold,CAN,Boxing,0,0,2,0,0
Mandy Bujold,CAN,Boxing,0,0,2,0,0
Tammara Thibeault,CAN,Boxing,0,0,1,0,0
Tammara Thibeault,CAN,Boxing,0,0,1,0,0
Wyatt Sanford,CAN,Boxing,0,0,1,0,0
Wyatt Sanford,CAN,Boxing,1,0,1,0,1
da Myriam,CAN,Boxing,0,0,1,0,0
da Myriam,CAN,Boxing,0,0,1,0,0
Wizard Phil,CAN,Breaking,0,1,0,0,1
Alex Baldoni,CAN,Canoe Slalom,0,0,3,0,0
Cameron Smedley,CAN,Canoe Slalom,0,0,1,0,0
Cameron Smedley,CAN,Canoe Slalom,0,0,1,0,0
Florence Maheu,CAN,Canoe Slalom,0,0,1,0,0
Florence Maheu,CAN,Canoe Slalom,0,0,1,0,0
Haley Daniels,CAN,Canoe Slalom,0,0,1,0,0
Haley Daniels,CAN,Canoe Slalom,0,0,1,0,0
Lois Betteridge,CAN,Canoe Slalom,0,0,3,0,0
Michael Tayler,CAN,Canoe Slalom,0,0,1,0,0
Michael Tayler,CAN,Canoe Slalom,0,0,1,0,0
Alanna Bray-lougheed,CAN,Canoe Sprint,0,0,2,0,0
Alanna Bray-lougheed,CAN,Canoe Sprint,0,0,2,0,0
Andreanne Langlois,CAN,Canoe Sprint,0,0,2,0,0
Andreanne Langlois,CAN,Canoe Sprint,0,0,2,0,0
Brian Malfesi,CAN,Canoe Sprint,0,0,1,0,0
Brian Malfesi,CAN,Canoe Sprint,0,0,1,0,0
Connor Fitzpatrick,CAN,Canoe Sprint,0,0,2,0,0
Connor Fitzpatrick,CAN,Canoe Sprint,0,0,3,0,0
Courtney Stott,CAN,Canoe Sprint,0,0,2,0,0
Katie Vincent,CAN,Canoe Sprint,1,0,1,0,1
Katie Vincent,CAN,Canoe Sprint,2,1,1,0,3
Laurence Vincent-lapointe,CAN,Canoe Sprint,1,0,0,1,2
Laurence Vincent-lapointe,CAN,Canoe Sprint,1,0,0,1,2
Laurent Lavigne,CAN,Canoe Sprint,0,0,1,0,0
Madeline Schmidt,CAN,Canoe Sprint,0,0,2,0,0
Madeline Schmidt,CAN,Canoe Sprint,0,0,2,0,0
McTAVISH Simon,CAN,Canoe Sprint,0,0,2,0,0
McTAVISH Simon,CAN,Canoe Sprint,0,0,4,0,0
Michelle Russell,CAN,Canoe Sprint,0,0,3,0,0
Michelle Russell,CAN,Canoe Sprint,0,0,4,0,0
Natalie Davison,CAN,Canoe Sprint,0,0,2,0,0
Nicholas Matveev,CAN,Canoe Sprint,0,0,2,0,0
Nicholas Matveev,CAN,Canoe Sprint,0,0,3,0,0
Pierre-luc Poulin,CAN,Canoe Sprint,0,0,1,0,0
Pierre-luc Poulin,CAN,Canoe Sprint,0,0,3,0,0
Riley Melanson,CAN,Canoe Sprint,0,0,2,0,0
Roland Varga,CAN,Canoe Sprint,0,0,2,0,0
Roland Varga,CAN,Canoe Sprint,0,0,2,0,0
Sloan Mackenzie,CAN,Canoe Sprint,1,0,0,0,1
Sophia Jensen,CAN,Canoe Sprint,0,0,1,0,0
Toshka Besharah-hrebacka,CAN,Canoe Sprint,0,0,1,0,0
Vincent Jourdenais,CAN,Canoe Sprint,0,0,1,0,0
Vincent Jourdenais,CAN,Canoe Sprint,0,0,1,0,0
Cameron Smedley,CAN,Canoeing,0,0,1,0,0
Cameron Smedley,CAN,Canoeing,0,0,1,0,0
Michael Tayler,CAN,Canoeing,0,0,2,0,0
Michael Tayler,CAN,Canoeing,0,0,2,0,0
Allison Beveridge,CAN,Cycling,1,0,1,0,1
Allison Beveridge,CAN,Cycling,1,0,1,0,1
Catharine Pendrel,CAN,Cycling,1,0,2,0,1
Catharine Pendrel,CAN,Cycling,1,0,2,0,1
Georgia Simmerling,CAN,Cycling,1,0,0,0,1
Georgia Simmerling,CAN,Cycling,1,0,0,0,1
Hugo Barrette,CAN,Cycling,0,0,1,0,0
Hugo Barrette,CAN,Cycling,0,0,1,0,0
Hugo Houle,CAN,Cycling,0,0,2,0,0
Hugo Houle,CAN,Cycling,0,0,2,0,0
John Millman,CAN,Cycling,0,0,1,0,0
John Millman,CAN,Cycling,0,0,1,0,0
Leah Kirchmann,CAN,Cycling,0,0,1,0,0
Leah Kirchmann,CAN,Cycling,0,0,1,0,0
Michael Woods,CAN,Cycling,0,0,1,0,0
Michael Woods,CAN,Cycling,0,0,1,0,0
Jeffrey Whaley,CAN,Cycling BMX Freestyle,0,0,1,0,0
Drew Mechielsen,CAN,Cycling BMX Racing,0,0,1,0,0
Drew Mechielsen,CAN,Cycling BMX Racing,0,0,1,0,0
Molly Simpson,CAN,Cycling BMX Racing,0,0,1,0,0
Catharine Pendrel,CAN,Cycling Mountain Bike,0,0,1,0,0
Catharine Pendrel,CAN,Cycling Mountain Bike,0,0,1,0,0
Gunnar Holmgren,CAN,Cycling Mountain Bike,0,0,1,0,0
Haley Smith,CAN,Cycling Mountain Bike,0,0,1,0,0
Haley Smith,CAN,Cycling Mountain Bike,0,0,1,0,0
Isabella Holmgren,CAN,Cycling Mountain Bike,0,0,1,0,0
Peter Disera,CAN,Cycling Mountain Bike,0,0,1,0,0
Peter Disera,CAN,Cycling Mountain Bike,0,0,1,0,0
Alison Jackson,CAN,Cycling Road,0,0,1,0,0
Alison Jackson,CAN,Cycling Road,0,0,2,0,0
Derek Gee,CAN,Cycling Road,0,0,2,0,0
Guillaume Boivin,CAN,Cycling Road,0,0,1,0,0
Guillaume Boivin,CAN,Cycling Road,0,0,1,0,0
Hugo Houle,CAN,Cycling Road,0,0,2,0,0
Hugo Houle,CAN,Cycling Road,0,0,2,0,0
Karol-ann Canuel,CAN,Cycling Road,0,0,2,0,0
Karol-ann Canuel,CAN,Cycling Road,0,0,2,0,0
Leah Kirchmann,CAN,Cycling Road,0,0,2,0,0
Leah Kirchmann,CAN,Cycling Road,0,0,2,0,0
Michael Woods,CAN,Cycling Road,0,0,1,0,0
Michael Woods,CAN,Cycling Road,0,0,2,0,0
Olivia Baril,CAN,Cycling Road,0,0,2,0,0
Adam Jamieson,CAN,Cycling Track,0,0,1,0,0
Adam Jamieson,CAN,Cycling Track,0,0,1,0,0
Allison Beveridge,CAN,Cycling Track,0,0,2,0,0
Allison Beveridge,CAN,Cycling Track,0,0,2,0,0
Annie Foreman-mackey,CAN,Cycling Track,0,0,1,0,0
Annie Foreman-mackey,CAN,Cycling Track,0,0,1,0,0
Ariane Bonhomme,CAN,Cycling Track,0,0,1,0,0
Ariane Bonhomme,CAN,Cycling Track,0,0,3,0,0
Carson Mattern,CAN,Cycling Track,0,0,1,0,0
Derek Gee,CAN,Cycling Track,0,0,2,0,0
Derek Gee,CAN,Cycling Track,0,0,2,0,0
Dylan Bibic,CAN,Cycling Track,0,0,3,0,0
Erin Attwell,CAN,Cycling Track,0,0,2,0,0
Georgia Simmerling,CAN,Cycling Track,0,0,1,0,0
Georgia Simmerling,CAN,Cycling Track,0,0,1,0,0
Hugo Barrette,CAN,Cycling Track,0,0,2,0,0
Hugo Barrette,CAN,Cycling Track,0,0,2,0,0
James Hedgcock,CAN,Cycling Track,0,0,3,0,0
Jasmin Duehring,CAN,Cycling Track,0,0,1,0,0
Jasmin Duehring,CAN,Cycling Track,0,0,1,0,0
Jay Lamoureux,CAN,Cycling Track,0,0,1,0,0
Jay Lamoureux,CAN,Cycling Track,0,0,1,0,0
Kelsey Mitchell,CAN,Cycling Track,0,1,1,0,1
Kelsey Mitchell,CAN,Cycling Track,0,1,4,0,1
Lauriane Genest,CAN,Cycling Track,1,0,1,0,1
Lauriane Genest,CAN,Cycling Track,1,0,4,0,1
Maggie Coles-lyster,CAN,Cycling Track,0,0,3,0,0
Mathias Guillemette,CAN,Cycling Track,0,0,3,0,0
Michael Foley,CAN,Cycling Track,0,0,2,0,0
Michael Foley,CAN,Cycling Track,0,0,4,0,0
Nick Wammes,CAN,Cycling Track,0,0,2,0,0
Nick Wammes,CAN,Cycling Track,0,0,5,0,0
Ryan Dodyk,CAN,Cycling Track,0,0,1,0,0
Sarah Orban,CAN,Cycling Track,0,0,1,0,0
Sarah Orban,CAN,Cycling Track,0,0,4,0,0
Sean Richardson,CAN,Cycling Track,0,0,1,0,0
Tyler Rorke,CAN,Cycling Track,0,0,3,0,0
van Sarah,CAN,Cycling Track,0,0,2,0,0
Cedric Fofana,CAN,Diving,0,0,1,0,0
Cedric Fofana,CAN,Diving,0,0,1,0,0
Celina Toth,CAN,Diving,0,0,1,0,0
Celina Toth,CAN,Diving,0,0,1,0,0
Jennifer Abel,CAN,Diving,1,0,5,1,2
Jennifer Abel,CAN,Diving,1,0,5,1,2
Kate Miller,CAN,Diving,0,0,2,0,0
Margo Erlam,CAN,Diving,0,0,1,0,0
McKAY Caeli,CAN,Diving,0,0,1,0,0
McKAY Caeli,CAN,Diving,0,0,3,0,0
Meaghan Benfeito,CAN,Diving,3,0,4,0,3
Meaghan Benfeito,CAN,Diving,3,0,4,0,3
Melissa Citrini,CAN,Diving,0,0,0,1,1
Melissa Citrini,CAN,Diving,0,0,0,1,1
Nathan Zsombor-murray,CAN,Diving,0,0,2,0,0
Nathan Zsombor-murray,CAN,Diving,1,0,3,0,1
Pamela Ware,CAN,Diving,0,0,3,0,0
Pamela Ware,CAN,Diving,0,0,3,0,0
Rylan Wiens,CAN,Diving,0,0,1,0,0
Rylan Wiens,CAN,Diving,1,0,2,0,1
Vincent Riendeau,CAN,Diving,0,0,2,0,0
Vincent Riendeau,CAN,Diving,0,0,2,0,0
Amy Millar,CAN,Equestrian,0,0,2,0,0
Brittany Fraser-beaulieu,CAN,Equestrian,0,0,2,0,0
Brittany Fraser-beaulieu,CAN,Equestrian,0,0,2,0,0
Camille Carier,CAN,Equestrian,0,0,2,0,0
Colleen Loach,CAN,Equestrian,0,0,1,0,0
Colleen Loach,CAN,Equestrian,0,0,3,0,0
Erynn Ballard,CAN,Equestrian,0,0,2,0,0
Jessica Phoenix,CAN,Equestrian,0,0,1,0,0
Jessica Phoenix,CAN,Equestrian,0,0,3,0,0
Jill Irving,CAN,Equestrian,0,0,2,0,0
Lindsay Kellock,CAN,Equestrian,0,0,2,0,0
Lindsay Kellock,CAN,Equestrian,0,0,2,0,0
Mario Deslauriers,CAN,Equestrian,0,0,1,0,0
Mario Deslauriers,CAN,Equestrian,0,0,3,0,0
Michael Winter,CAN,Equestrian,0,0,2,0,0
Naima Moreira,CAN,Equestrian,0,0,2,0,0
Naima Moreira,CAN,Equestrian,0,0,4,0,0
Tiffany Foster,CAN,Equestrian,0,0,2,0,0
Amy Millar,CAN,Equestrianism,0,0,2,0,0
Amy Millar,CAN,Equestrianism,0,0,2,0,0
Colleen Loach,CAN,Equestrianism,0,0,2,0,0
Colleen Loach,CAN,Equestrianism,0,0,2,0,0
Jessica Phoenix,CAN,Equestrianism,0,0,4,0,0
Jessica Phoenix,CAN,Equestrianism,0,0,4,0,0
Mario Deslauriers,CAN,Equestrianism,0,0,4,0,0
Mario Deslauriers,CAN,Equestrianism,0,0,4,0,0
Michael Winter,CAN,Equestrianism,0,0,4,0,0
Michael Winter,CAN,Equestrianism,0,0,4,0,0
Tiffany Foster,CAN,Equestrianism,0,0,4,0,0
Tiffany Foster,CAN,Equestrianism,0,0,4,0,0
Alanna Goldie,CAN,Fencing,0,0,1,0,0
Alanna Goldie,CAN,Fencing,0,0,1,0,0
Alex Cai,CAN,Fencing,0,0,2,0,0
Alex Cai,CAN,Fencing,0,0,2,0,0
Blake Broszus,CAN,Fencing,0,0,1,0,0
Blake Broszus,CAN,Fencing,0,0,3,0,0
Bogdan Hamilton,CAN,Fencing,0,0,1,0,0
Daniel Gu,CAN,Fencing,0,0,2,0,0
Eleanor Harvey,CAN,Fencing,0,0,3,0,0
Eleanor Harvey,CAN,Fencing,1,0,4,0,1
Eli Schenkel,CAN,Fencing,0,0,1,0,0
Eli Schenkel,CAN,Fencing,0,0,1,0,0
Fares Arfa,CAN,Fencing,0,0,2,0,0
Francois Cauchon,CAN,Fencing,0,0,2,0,0
Gabriella Page,CAN,Fencing,0,0,1,0,0
Gabriella Page,CAN,Fencing,0,0,1,0,0
Jia Guo,CAN,Fencing,0,0,2,0,0
Jia Guo,CAN,Fencing,0,0,4,0,0
Kelleigh Ryan,CAN,Fencing,0,0,2,0,0
Kelleigh Ryan,CAN,Fencing,0,0,2,0,0
Marc-antoine Blais-belanger,CAN,Fencing,0,0,1,0,0
Marc-antoine Blais-belanger,CAN,Fencing,0,0,1,0,0
Nicholas Zhang,CAN,Fencing,0,0,1,0,0
Olivier Desrosiers,CAN,Fencing,0,0,1,0,0
Pamela Brind'amour,CAN,Fencing,0,0,1,0,0
Ruien Xiao,CAN,Fencing,0,0,1,0,0
Sabrina Fang,CAN,Fencing,0,0,1,0,0
Shaul Gordon,CAN,Fencing,0,0,1,0,0
Shaul Gordon,CAN,Fencing,0,0,3,0,0
Yunjia Zhang,CAN,Fencing,0,0,2,0,0
Adriana Leon,CAN,Football,0,1,0,0,1
Adriana Leon,CAN,Football,0,1,1,0,1
Allysha Chapman,CAN,Football,1,1,0,0,2
Allysha Chapman,CAN,Football,1,1,0,0,2
Ashley Lawrence,CAN,Football,1,1,0,0,2
Ashley Lawrence,CAN,Football,1,1,1,0,2
Christine Sinclair,CAN,Football,2,1,1,0,3
Christine Sinclair,CAN,Football,2,1,1,0,3
Cloe Lacasse,CAN,Football,0,0,1,0,0
Deanne Rose,CAN,Football,1,1,0,0,2
Deanne Rose,CAN,Football,1,1,0,0,2
Desiree Scott,CAN,Football,2,1,0,0,3
Desiree Scott,CAN,Football,2,1,0,0,3
Evelyne Viens,CAN,Football,0,1,0,0,1
Evelyne Viens,CAN,Football,0,1,1,0,1
Gabrielle Carle,CAN,Football,0,1,0,0,1
Gabrielle Carle,CAN,Football,0,1,1,0,1
Jade Rose,CAN,Football,0,0,1,0,0
Janine Beckie,CAN,Football,1,1,0,0,2
Janine Beckie,CAN,Football,1,1,1,0,2
Jayde Riviere,CAN,Football,0,1,0,0,1
Jayde Riviere,CAN,Football,0,1,1,0,1
Jessie Fleming,CAN,Football,1,1,0,0,2
Jessie Fleming,CAN,Football,1,1,1,0,2
Jordyn Huitema,CAN,Football,0,1,0,0,1
Jordyn Huitema,CAN,Football,0,1,1,0,1
Julia Grosso,CAN,Football,0,1,0,0,1
Julia Grosso,CAN,Football,0,1,1,0,1
Kadeisha Buchanan,CAN,Football,1,1,0,0,2
Kadeisha Buchanan,CAN,Football,1,1,1,0,2
Kailen Sheridan,CAN,Football,0,1,0,0,1
Kailen Sheridan,CAN,Football,0,1,1,0,1
McLEOD Erin,CAN,Football,0,1,0,0,1
McLEOD Erin,CAN,Football,0,1,0,0,1
Nichelle Prince,CAN,Football,1,1,0,0,2
Nichelle Prince,CAN,Football,1,1,1,0,2
QUINN,CAN,Football,0,1,0,0,1
QUINN,CAN,Football,0,1,1,0,1
Sabrina D'angelo,CAN,Football,1,0,0,0,1
Sabrina D'angelo,CAN,Football,1,0,1,0,1
Shelina Zadorsky,CAN,Football,1,1,0,0,2
Shelina Zadorsky,CAN,Football,1,1,1,0,2
Simi Awujo,CAN,Football,0,0,1,0,0
Sophie Schmidt,CAN,Football,2,1,1,0,3
Sophie Schmidt,CAN,Football,2,1,1,0,3
Stephanie Labbe,CAN,Football,0,1,0,0,1
Stephanie Labbe,CAN,Football,0,1,0,0,1
Vanessa Gilles,CAN,Football,0,1,0,0,1
Vanessa Gilles,CAN,Football,0,1,1,0,1
Alena Sharp,CAN,Golf,0,0,2,0,0
Alena Sharp,CAN,Golf,0,0,3,0,0
Brooke Henderson,CAN,Golf,0,0,2,0,0
Brooke Henderson,CAN,Golf,0,0,2,0,0
Corey Conners,CAN,Golf,0,0,1,0,0
Corey Conners,CAN,Golf,0,0,2,0,0
M Henderson,CAN,Golf,0,0,1,0,0
Mackenzie Hughes,CAN,Golf,0,0,1,0,0
Mackenzie Hughes,CAN,Golf,0,0,1,0,0
Nick Taylor,CAN,Golf,0,0,1,0,0
Elsabeth Black,CAN,Gymnastics,0,0,10,0,0
Elsabeth Black,CAN,Gymnastics,0,0,10,0,0
Shallon Olsen,CAN,Gymnastics,0,0,3,0,0
Shallon Olsen,CAN,Gymnastics,0,0,3,0,0
Anthony Pereira,CAN,Hockey,0,0,1,0,0
Anthony Pereira,CAN,Hockey,0,0,1,0,0
Barrie Smythe,CAN,Hockey,0,0,1,0,0
Barrie Smythe,CAN,Hockey,0,0,1,0,0
Brandon Sarmento,CAN,Hockey,0,0,1,0,0
Brandon Sarmento,CAN,Hockey,0,0,1,0,0
Brendan Guraliuk,CAN,Hockey,0,0,1,0,0
Brendan Guraliuk,CAN,Hockey,0,0,1,0,0
Burns Wallace,CAN,Hockey,0,0,1,0,0
Burns Wallace,CAN,Hockey,0,0,1,0,0
Hammond Boothroyd,CAN,Hockey,0,0,1,0,0
Hammond Boothroyd,CAN,Hockey,0,0,1,0,0
John Pearson,CAN,Hockey,0,0,1,0,0
John Pearson,CAN,Hockey,0,0,1,0,0
Nelson Bissett,CAN,Hockey,0,0,1,0,0
Nelson Bissett,CAN,Hockey,0,0,1,0,0
Paget Kirkpatrick,CAN,Hockey,0,0,1,0,0
Paget Kirkpatrick,CAN,Hockey,0,0,1,0,0
Pawel Kindler,CAN,Hockey,0,0,1,0,0
Pawel Kindler,CAN,Hockey,0,0,1,0,0
Reginald Pereira,CAN,Hockey,0,0,1,0,0
Reginald Pereira,CAN,Hockey,0,0,1,0,0
Singh Panesar,CAN,Hockey,0,0,1,0,0
Singh Panesar,CAN,Hockey,0,0,1,0,0
Westermark Curran,CAN,Hockey,0,0,1,0,0
Westermark Curran,CAN,Hockey,0,0,1,0,0
William Scholfield,CAN,Hockey,0,0,1,0,0
William Scholfield,CAN,Hockey,0,0,1,0,0
Wing-chuen Ho-garcia,CAN,Hockey,0,0,1,0,0
Wing-chuen Ho-garcia,CAN,Hockey,0,0,1,0,0
van Frederik,CAN,Hockey,0,0,1,0,0
van Frederik,CAN,Hockey,0,0,1,0,0
Antoine Valois-fortier,CAN,Judo,1,0,2,0,1
Antoine Valois-fortier,CAN,Judo,1,0,2,0,1
Arthur Margelidon,CAN,Judo,0,0,1,0,0
Arthur Margelidon,CAN,Judo,0,0,3,0,0
Catherine Beauchemin-pinard,CAN,Judo,1,0,1,0,1
Catherine Beauchemin-pinard,CAN,Judo,1,0,3,0,1
Christa Deguchi,CAN,Judo,0,1,1,0,1
Ecaterina Guica,CAN,Judo,0,0,2,0,0
Ecaterina Guica,CAN,Judo,0,0,2,0,0
Francois Gauthier,CAN,Judo,0,0,2,0,0
Jessica Klimkait,CAN,Judo,1,0,0,0,1
Jessica Klimkait,CAN,Judo,1,0,0,0,1
Kelly Deguchi,CAN,Judo,0,0,2,0,0
Laura Portuondo,CAN,Judo,0,0,2,0,0
Shady Elnahas,CAN,Judo,0,0,1,0,0
Shady Elnahas,CAN,Judo,0,0,3,0,0
Daniel Gaysinsky,CAN,Karate,0,0,1,0,0
Daniel Gaysinsky,CAN,Karate,0,0,1,0,0
Emma Finlin,CAN,Marathon Swimming,0,0,1,0,0
Hau-li Fan,CAN,Marathon Swimming,0,0,1,0,0
Hau-li Fan,CAN,Marathon Swimming,0,0,1,0,0
Kate Sanderson,CAN,Marathon Swimming,0,0,1,0,0
Kate Sanderson,CAN,Marathon Swimming,0,0,1,0,0
Abby Dent,CAN,Rowing,0,0,0,1,1
Andrea Proske,CAN,Rowing,0,1,0,0,1
Andrea Proske,CAN,Rowing,0,1,0,0,1
Avalon Wasteneys,CAN,Rowing,0,1,0,0,1
Avalon Wasteneys,CAN,Rowing,0,1,0,1,2
Caileigh Filmer,CAN,Rowing,1,0,1,0,1
Caileigh Filmer,CAN,Rowing,1,0,1,1,2
Carling Zeeman,CAN,Rowing,0,0,2,0,0
Carling Zeeman,CAN,Rowing,0,0,2,0,0
Christine Roper,CAN,Rowing,0,1,1,0,1
Christine Roper,CAN,Rowing,0,1,1,0,1
Gabrielle Smith,CAN,Rowing,0,0,1,0,0
Gabrielle Smith,CAN,Rowing,0,0,1,0,0
Gavin Stone,CAN,Rowing,0,0,1,0,0
Gavin Stone,CAN,Rowing,0,0,1,0,0
Hillary Janssens,CAN,Rowing,1,0,0,0,1
Hillary Janssens,CAN,Rowing,1,0,0,0,1
Jakub Buczek,CAN,Rowing,0,0,1,0,0
Jakub Buczek,CAN,Rowing,0,0,1,0,0
Jennifer Casson,CAN,Rowing,0,0,1,0,0
Jennifer Casson,CAN,Rowing,0,0,1,0,0
Jennifer Martins,CAN,Rowing,0,0,2,0,0
Jennifer Martins,CAN,Rowing,0,0,2,0,0
Jessica Sevick,CAN,Rowing,0,0,1,0,0
Jessica Sevick,CAN,Rowing,0,0,1,1,1
Jill Moffatt,CAN,Rowing,0,0,1,0,0
Jill Moffatt,CAN,Rowing,0,0,2,0,0
Kai Langerfeld,CAN,Rowing,0,0,2,0,0
Kai Langerfeld,CAN,Rowing,0,0,2,0,0
Kasia Gruchalla-wesierski,CAN,Rowing,0,1,0,0,1
Kasia Gruchalla-wesierski,CAN,Rowing,0,1,0,1,2
Kristen Kit,CAN,Rowing,0,1,0,0,1
Kristen Kit,CAN,Rowing,0,1,0,1,2
Kristina Walker,CAN,Rowing,0,0,1,0,0
Kristina Walker,CAN,Rowing,0,0,1,1,1
Lisa Roman,CAN,Rowing,0,1,1,0,1
Lisa Roman,CAN,Rowing,0,1,1,0,1
Luke Gadsdon,CAN,Rowing,0,0,1,0,0
Luke Gadsdon,CAN,Rowing,0,0,1,0,0
Madison Mailey,CAN,Rowing,0,1,0,0,1
Madison Mailey,CAN,Rowing,0,1,0,0,1
Maxwell Lattimer,CAN,Rowing,0,0,2,0,0
Maxwell Lattimer,CAN,Rowing,0,0,2,0,0
Maya Meschkuleit,CAN,Rowing,0,0,0,1,1
McCABE Conlin,CAN,Rowing,0,0,1,0,0
McCABE Conlin,CAN,Rowing,0,0,1,0,0
Nicole Hare,CAN,Rowing,0,0,2,0,0
