Name,NOC,Sport,Bronze_Medals,Gold_Medals,No Medals,Silve_Medals,Tota_Medals,Participation Count,Cutoff Year,TOPSIS Score,TOPSIS Rank,Birth_Year,Age_in_2028
Rani Vincke,BEL,Athletics,0,0,1,0,0,1,2024,0,22629,2000,28
Robin Hendrix,BEL,Athletics,0,0,1,0,0,1,2020,0,22629,1995,33
Robin Vanderbemden,BEL,Athletics,0,0,1,0,0,1,2020,0,22629,1994,34
Lianne Tan,BEL,Badminton,0,0,3,0,0,3,2020,0.002327667,8721,1990,38
Julien Carraggi,BEL,Badminton,0,0,1,0,0,1,2024,0,22629,2000,28
Antonia Delaere,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,1994,34
Becky Massey,BEL,Basketball,0,0,1,0,0,1,2024,0,22629,2000,28
Bethy Mununga,BEL,Basketball,0,0,1,0,0,1,2024,0,22629,1997,31
Billie Massey,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,2000,28
Elise Ramette,BEL,Basketball,0,0,1,0,0,1,2024,0,22629,1998,30
Emma Meesseman,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,1993,35
Hanne Mestdagh,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,1993,35
Heleen Nauwelaers,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,1996,32
Ine Joris,BEL,Basketball,0,0,1,0,0,1,2024,0,22629,2001,27
Jana Raman,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,1991,37
Julie Allemand,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,1996,32
Julie Vanloo,BEL,Basketball,0,0,1,0,0,1,2020,0,22629,1993,35
Vasile Usturoi,BEL,Boxing,0,0,1,0,0,1,2024,0,22629,1997,31
Victor Schelstraete,BEL,Boxing,0,0,1,0,0,1,2024,0,22629,1996,32
Hermien Peters,BEL,Canoe Sprint,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Lize Broekx,BEL,Canoe Sprint,0,0,2,0,0,2,2020,0.001165157,11953,1992,36
Artuur Peters,BEL,Canoe Sprint,0,0,1,0,0,1,2020,0,22629,1996,32
Aiko Gommers,BEL,Cycling BMX Racing,0,0,1,0,0,1,2024,0,22629,2004,24
Ruben Gommers,BEL,Cycling BMX Racing,0,0,1,0,0,1,2024,0,22629,1998,30
Valerie Vossen,BEL,Cycling BMX Racing,0,0,1,0,0,1,2024,0,22629,2004,24
Wannes Magdelijns,BEL,Cycling BMX Racing,0,0,1,0,0,1,2024,0,22629,2004,24
Emeline Detilleux,BEL,Cycling Mountain Bike,0,0,1,0,0,1,2024,0,22629,1999,29
van Wout,BEL,Cycling Road,0,0,1,1,1,2,2020,0.08611725,1957,1994,34
Remco Evenepoel,BEL,Cycling Road,0,0,2,0,0,2,2020,0.001165157,11953,2000,28
Jasper Stuyven,BEL,Cycling Road,0,0,1,0,0,1,2024,0,22629,1992,36
Justine Ghekiere,BEL,Cycling Road,0,0,1,0,0,1,2024,0,22629,1996,32
Mauri Vansevenant,BEL,Cycling Road,0,0,1,0,0,1,2020,0,22629,1999,29
Margot Vanpachtenbeke,BEL,Cycling Road,0,0,1,0,0,1,2024,0,22629,1999,29
Tiesj Benoot,BEL,Cycling Road,0,0,1,0,0,1,2020,0,22629,1994,34
Julie Nicolaes,BEL,Cycling Track,0,0,2,0,0,2,2024,0.001165157,11953,2004,24
Noah Vandenbranden,BEL,Cycling Track,0,0,2,0,0,2,2024,0.001165157,11953,2002,26
Nicky Degrendele,BEL,Cycling Track,0,0,2,0,0,2,2024,0.001165157,11953,1996,32
de Katrijn,BEL,Cycling Track,0,0,2,0,0,2,2024,0.001165157,11953,2002,26
Helene Hesters,BEL,Cycling Track,0,0,1,0,0,1,2024,0,22629,2005,23
Lani Wittevrongel,BEL,Cycling Track,0,0,1,0,0,1,2024,0,22629,2004,24
Robbe Ghys,BEL,Cycling Track,0,0,1,0,0,1,2020,0,22629,1997,31
Shari Bossuyt,BEL,Cycling Track,0,0,1,0,0,1,2020,0,22629,2000,28
Tuur Dens,BEL,Cycling Track,0,0,1,0,0,1,2024,0,22629,2000,28
Alexa Fairchild,BEL,Equestrian,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Gilles Thomas,BEL,Equestrian,0,0,2,0,0,2,2024,0.001165157,11953,1998,30
Laurence Roos,BEL,Equestrian,0,0,2,0,0,2,2020,0.001165157,11953,1993,35
Tine Magnus,BEL,Equestrian,0,0,2,0,0,2,2024,0.001165157,11953,1991,37
Charlotte Defalque,BEL,Equestrian,0,0,1,0,0,1,2024,0,22629,1995,33
Neisser Loyola,BEL,Fencing,0,0,1,0,0,1,2024,0,22629,1998,30
Thomas Pieters,BEL,Golf,0,0,2,0,0,2,2020,0.001165157,11953,1992,36
Thomas Detry,BEL,Golf,0,0,1,0,0,1,2020,0,22629,1993,35
Gauthier Boccard,BEL,Hockey,0,1,1,1,2,3,2020,0.125251367,833,1991,37
Felix Denayer,BEL,Hockey,0,0,2,1,1,3,2020,0.086139666,1640,1990,38
Tom Boon,BEL,Hockey,0,0,1,1,1,2,2020,0.08611725,1957,1990,38
Alain Boon,BEL,Hockey,0,1,0,0,1,1,2020,0.080611276,4224,1990,38
J Meurmans,BEL,Hockey,0,1,0,0,1,1,2020,0.080611276,4224,1997,31
T Kina,BEL,Hockey,0,1,0,0,1,1,2020,0.080611276,4224,1996,32
Sebastien Dockier,BEL,Hockey,0,1,0,0,1,1,2020,0.080611276,4224,1989,39
B Wegnez,BEL,Hockey,0,1,0,0,1,1,2020,0.080611276,4224,1995,33
B. Denayer,BEL,Hockey,0,1,0,0,1,1,2020,0.080611276,4224,1990,38
Alexander Hendrickx,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1993,35
Abigail Raye,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1991,37
Aisling D'hooghe,BEL,Hockey,0,0,1,0,0,1,2020,0,22629,1994,34
Charlotte Englebert,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2001,27
Camille Belis,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2004,24
Barbara Nelen,BEL,Hockey,0,0,1,0,0,1,2020,0,22629,1991,37
Delphine-daphne Marien,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2002,26
Emma Puvrez,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1997,31
Antoine Kina,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1996,32
Ambre Ballenghien,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2000,28
Alix Gerniers,BEL,Hockey,0,0,1,0,0,1,2020,0,22629,1993,35
Helene Brasseur,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2002,26
Elodie Picard,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1997,31
Emily White,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2004,24
John-john Dohmen,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1988,40
Loick Luypaert,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1991,37
Judith Vandermeiren,BEL,Hockey,0,0,1,0,0,1,2020,0,22629,1994,34
Justine Rasir,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2001,27
Lien Hillewaert,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1997,31
Nelson Onana,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2000,28
Michelle Struijk,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1998,30
Lucie Breyne,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2000,28
Stephanie Vanden,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1997,31
Thibeau Stockbroekx,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2000,28
Vanessa Blockmans,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,2002,26
Victor Wegnez,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1995,33
van Loic,BEL,Hockey,0,0,1,0,0,1,2024,0,22629,1996,32
Gabriella Willems,BEL,Judo,1,0,0,0,1,1,2024,0.079861291,6185,1997,31
Matthias Casse,BEL,Judo,1,0,0,0,1,1,2020,0.079861291,6185,1997,31
Toma Nikiforov,BEL,Judo,0,0,2,0,0,2,2020,0.001165157,11953,1993,35
Jorre Verstraeten,BEL,Judo,0,0,1,0,0,1,2020,0,22629,1997,31
Tibo Vyvey,BEL,Rowing,0,0,1,0,0,1,2024,0,22629,2000,28
Tim Brys,BEL,Rowing,0,0,1,0,0,1,2020,0,22629,1992,36
Anouk Geurts,BEL,Sailing,0,0,1,0,0,1,2020,0,22629,2000,28
Eline Verstraelen,BEL,Sailing,0,0,1,0,0,1,2024,0,22629,2002,26
Emma Plasschaert,BEL,Sailing,0,0,1,0,0,1,2020,0,22629,1993,35
Isaura Maenhaut,BEL,Sailing,0,0,1,0,0,1,2020,0,22629,1998,30
Jan Heuninck,BEL,Sailing,0,0,1,0,0,1,2024,0,22629,2000,28
Lucas Claeyssens,BEL,Sailing,0,0,1,0,0,1,2024,0,22629,2003,25
Yannick Lefebvre,BEL,Sailing,0,0,1,0,0,1,2024,0,22629,1988,40
Fanny Lecluyse,BEL,Swimming,0,0,5,0,0,5,2020,0.004644761,7393,1992,36
Louis Croenen,BEL,Swimming,0,0,5,0,0,5,2020,0.004644761,7393,1994,34
Lucas Henveaux,BEL,Swimming,0,0,3,0,0,3,2024,0.002327667,8721,2000,28
Roos Vanotterdijk,BEL,Swimming,0,0,2,0,0,2,2024,0.001165157,11953,2005,23
Cedric Nuytinck,BEL,Table Tennis,0,0,1,0,0,1,2024,0,22629,1993,35
Martin Allegro,BEL,Table Tennis,0,0,1,0,0,1,2024,0,22629,1996,32
Sarah Chaari,BEL,Taekwondo,1,0,0,0,1,1,2024,0.079861291,6185,2005,23
Elise Mertens,BEL,Tennis,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
van Alison,BEL,Tennis,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Joran Vliegen,BEL,Tennis,0,0,1,0,0,1,2020,0,22629,1993,35
Claire Michel,BEL,Triathlon,0,0,3,0,0,3,2020,0.002327667,8721,1988,40
Jelle Geens,BEL,Triathlon,0,0,2,0,0,2,2020,0.001165157,11953,1993,35
Valerie Barthelemy,BEL,Triathlon,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Jolien Vermeylen,BEL,Triathlon,0,0,1,0,0,1,2024,0,22629,1994,34
A Vanbellinghen,BEL,Weightlifting,0,0,1,0,0,1,2020,0,22629,1994,34
Didier Kiki,BEN,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Odile Ahouanwanou,BEN,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Valentin Houinato,BEN,Judo,0,0,1,0,0,1,2024,0,22629,1996,32
Dodji Kpade,BEN,Swimming,0,0,1,0,0,1,2024,0,22629,2005,23
Eliane Douillet,BEN,Swimming,0,0,1,0,0,1,2024,0,22629,2007,21
Jah-nhai Perinchief,BER,Athletics,0,0,1,0,0,1,2024,0,22629,1997,31
Dara Alizadeh,BER,Rowing,0,0,1,0,0,1,2020,0,22629,1993,35
Emma Harvey,BER,Swimming,0,0,1,0,0,1,2024,0,22629,2001,27
Erica Hawley,BER,Triathlon,0,0,1,0,0,1,2024,0,22629,1998,30
Tyler Smith,BER,Triathlon,0,0,1,0,0,1,2024,0,22629,2002,26
KARMA,BHU,Archery,0,0,1,0,0,1,2020,0,22629,1990,38
Kinzang Lhamo,BHU,Athletics,0,0,1,0,0,1,2024,0,22629,1998,30
Sangay Tenzin,BHU,Swimming,0,0,1,0,0,1,2020,0,22629,2003,25
Amel Tuka,BIH,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Aleksandra Samardzic,BIH,Judo,0,0,1,0,0,1,2024,0,22629,1997,31
Larisa Ceric,BIH,Judo,0,0,1,0,0,1,2020,0,22629,1991,37
Emir Muratovic,BIH,Swimming,0,0,2,0,0,2,2020,0.001165157,11953,1996,32
Jovan Lekic,BIH,Swimming,0,0,1,0,0,1,2024,0,22629,2003,25
Samantha Dirks,BIZ,Athletics,0,0,1,0,0,1,2020,0,22629,1992,36
Angela Castro,BOL,Athletics,0,0,1,0,0,1,2020,0,22629,1993,35
Bruno Rojas,BOL,Athletics,0,0,1,0,0,1,2020,0,22629,1993,35
Gabriel Castillo,BOL,Swimming,0,0,1,0,0,1,2020,0,22629,2001,27
Karen Torrez,BOL,Swimming,0,0,1,0,0,1,2020,0,22629,1992,36
Letsile Tebogo,BOT,Athletics,0,1,1,1,2,3,2024,0.125251367,833,2003,25
Nijel Amos,BOT,Athletics,0,0,2,1,1,3,2020,0.086139666,1640,1994,34
Collen Kebinatshipi,BOT,Athletics,0,0,1,1,1,2,2024,0.08611725,1957,2004,24
Anthony Pesela,BOT,Athletics,0,0,0,1,1,1,2024,0.086108042,2712,2002,26
Bhekempilo Eppie,BOT,Athletics,0,0,0,1,1,1,2024,0.086108042,2712,1999,29
Baboloki Thebe,BOT,Athletics,1,0,1,0,1,2,2020,0.079870749,5334,1997,31
Leungo Scotch,BOT,Athletics,1,0,0,0,1,1,2020,0.079861291,6185,1996,32
Zibane Ngozi,BOT,Athletics,1,0,0,0,1,1,2020,0.079861291,6185,1992,36
Bayapo Ndori,BOT,Athletics,1,0,0,0,1,1,2020,0.079861291,6185,1999,29
Christine Botlogetswe,BOT,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Kethobogile Haingura,BOT,Athletics,0,0,1,0,0,1,2024,0,22629,1998,30
Boitumelo Masilo,BOT,Athletics,0,0,1,0,0,1,2020,0,22629,1995,33
Adrian Robinson,BOT,Swimming,0,0,1,0,0,1,2024,0,22629,2000,28
Maxine Egner,BOT,Swimming,0,0,1,0,0,1,2024,0,22629,2004,24
Marcus D'almeida,BRA,Archery,0,0,4,0,0,4,2020,0.003487533,7794,1998,30
Luiza Sliachticas,BRA,Archery,0,0,2,0,0,2,2024,0.001165157,11953,2002,26
Rebeca Andrade,BRA,Artistic Gymnastics,0,1,3,1,2,5,2020,0.125313893,772,1999,29
Julia Soares,BRA,Artistic Gymnastics,1,0,5,0,1,6,2024,0.080050158,4757,2005,23
Arthur Mariano,BRA,Artistic Gymnastics,0,0,8,0,0,8,2020,0.008100656,6917,1993,35
Caio Souza,BRA,Artistic Gymnastics,0,0,8,0,0,8,2020,0.008100656,6917,1993,35
Francisco Barretto,BRA,Artistic Gymnastics,0,0,8,0,0,8,2020,0.008100656,6917,1989,39
Diogo Soares,BRA,Artistic Gymnastics,0,0,8,0,0,8,2020,0.008100656,6917,2002,26
Flavia Saraiva,BRA,Artistic Gymnastics,0,0,5,0,0,5,2020,0.004644761,7393,1999,29
Thiago Braz,BRA,Athletics,1,0,0,0,1,1,2020,0.079861291,6185,1993,35
dos Alison,BRA,Athletics,1,0,0,0,1,1,2020,0.079861291,6185,2000,28
Rosangela Santos,BRA,Athletics,0,0,7,0,0,7,2020,0.006951319,7022,1990,38
Caio Bonfim,BRA,Athletics,0,0,4,0,0,4,2020,0.003487533,7794,1991,37
Jorge Vides,BRA,Athletics,0,0,4,0,0,4,2020,0.003487533,7794,1992,36
Geisa Arcanjo,BRA,Athletics,0,0,3,0,0,3,2020,0.002327667,8721,1991,37
Erik Cardoso,BRA,Athletics,0,0,2,0,0,2,2024,0.001165157,11953,2000,28
Altobeli Silva,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1990,38
Carolina Azevedo,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1998,30
Felipe Bardi,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1998,30
Matheus Lima,BRA,Athletics,0,0,2,0,0,2,2024,0.001165157,11953,2003,25
Renan Correa,BRA,Athletics,0,0,2,0,0,2,2024,0.001165157,11953,2004,24
Viviane Lyra,BRA,Athletics,0,0,2,0,0,2,2024,0.001165157,11953,1993,35
Rodrigo Do,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Marcio Teles,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Darlan Romani,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Tiffani Marinho,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1999,29
Thiago Andre,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Andre Camilo,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1998,30
Alexsandro Melo,BRA,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Claudia Lemos,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1988,40
Caroline Silva,BRA,Athletics,0,0,1,0,0,1,2024,0,22629,2001,27
Aldemir Junior,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1992,36
Douglas Hernandes,BRA,Athletics,0,0,1,0,0,1,2024,0,22629,2001,27
Anderson Henriques,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1992,36
Augusto Dutra,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1990,38
Lorraine Martins,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,2000,28
Livia Avancini,BRA,Athletics,0,0,1,0,0,1,2024,0,22629,1992,36
Ketiley Batista,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1999,29
Joao Falcao,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1999,29
Gabriele Santos,BRA,Athletics,0,0,1,0,0,1,2024,0,22629,1995,33
Jessica Farias,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1992,36
Fernando Ferreira,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1994,34
Gabriel Constantino,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1995,33
Derick Silva,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1998,30
Erick Soares,BRA,Athletics,0,0,1,0,0,1,2024,0,22629,2003,25
Mateus De,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1995,33
Matheus Correa,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1999,29
Maysa Campos,BRA,Athletics,0,0,1,0,0,1,2024,0,22629,2002,26
Lucas Vilar,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,2001,27
Lucas Mazzo,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1994,34
Lucas Carvalho,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1993,35
Samory Fraga,BRA,Athletics,0,0,1,0,0,1,2020,0,22629,1996,32
Fabiana Silva,BRA,Badminton,0,0,1,0,0,1,2020,0,22629,1988,40
Juliana Viana,BRA,Badminton,0,0,1,0,0,1,2024,0,22629,2004,24
Raul Neto,BRA,Basketball,0,0,2,0,0,2,2020,0.001165157,11953,1992,36
Carlos Nascimento,BRA,Basketball,0,0,1,0,0,1,2020,0,22629,1994,34
Bruno Caboclo,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,1995,33
Cristiano Felicio,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,1992,36
Didi Louzada,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,1999,29
Leo Meindl,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,1993,35
Gui Santos,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,2002,26
Lucas Dias,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,1995,33
Vitor Benite,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,1990,38
Yago Santos,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,2003,25
de Georginho,BRA,Basketball,0,0,1,0,0,1,2024,0,22629,1996,32
Andre Loyola,BRA,Beach Volleyball,0,0,1,0,0,1,2024,0,22629,1994,34
Arthur Diego,BRA,Beach Volleyball,0,0,1,0,0,1,2024,0,22629,1996,32
Eduarda Santos,BRA,Beach Volleyball,0,0,1,0,0,1,2020,0,22629,1998,30
Evandro Goncalves,BRA,Beach Volleyball,0,0,1,0,0,1,2020,0,22629,1990,38
George Souto,BRA,Beach Volleyball,0,0,1,0,0,1,2024,0,22629,1996,32
Patricia Silva,BRA,Beach Volleyball,0,0,1,0,0,1,2020,0,22629,2001,27
Rebecca Silva,BRA,Beach Volleyball,0,0,1,0,0,1,2020,0,22629,1988,40
Beatriz Ferreira,BRA,Boxing,0,0,0,1,1,1,2020,0.086108042,2712,1992,36
Hebert Sousa,BRA,Boxing,0,1,0,0,1,1,2020,0.080611276,4224,1998,30
Iasmin Soares,BRA,Boxing,1,0,0,0,1,1,2024,0.079861291,6185,1992,36
Abner Teixeira,BRA,Boxing,1,0,0,0,1,1,2020,0.079861291,6185,1996,32
Graziele Sousa,BRA,Boxing,0,0,1,0,0,1,2020,0,22629,1991,37
Gabriel Oliveira,BRA,Boxing,0,0,1,0,0,1,2024,0,22629,2001,27
Jucielen Cerqueira,BRA,Boxing,0,0,1,0,0,1,2024,0,22629,1996,32
Jucielen Romeu,BRA,Boxing,0,0,1,0,0,1,2020,0,22629,1996,32
Keno Machado,BRA,Boxing,0,0,1,0,0,1,2020,0,22629,2000,28
Marley Machado,BRA,Boxing,0,0,1,0,0,1,2024,0,22629,2000,28
Ana Satila,BRA,Canoe Slalom,0,0,2,0,0,2,2020,0.001165157,11953,1996,32
Pedro Goncalves,BRA,Canoe Slalom,0,0,1,0,0,1,2020,0,22629,1998,30
Isaquias Queiroz,BRA,Canoe Sprint,0,1,1,0,1,2,2020,0.08062117,3590,1994,34
Jamael Nascimento,BRA,Canoe Sprint,0,0,2,0,0,2,2020,0.001165157,11953,1999,29
Junior Souta,BRA,Canoe Sprint,0,0,1,0,0,1,2020,0,22629,1991,37
Paula Vergutz,BRA,Canoe Sprint,0,0,1,0,0,1,2024,0,22629,1989,39
Valdenice Conceicao,BRA,Canoe Sprint,0,0,1,0,0,1,2024,0,22629,1989,39
Gustavo Batista,BRA,Cycling BMX Freestyle,0,0,1,0,0,1,2024,0,22629,1996,32
Andreia Stevaux,BRA,Cycling BMX Racing,0,0,1,0,0,1,2020,0,22629,1993,35
Henrique Cocuzzi,BRA,Cycling Mountain Bike,0,0,1,0,0,1,2020,0,22629,1993,35
Raiza Goulao,BRA,Cycling Mountain Bike,0,0,1,0,0,1,2024,0,22629,1991,37
Vinicius Rangel,BRA,Cycling Road,0,0,1,0,0,1,2024,0,22629,2001,27
Vitoria Magalhaes,BRA,Cycling Road,0,0,1,0,0,1,2024,0,22629,2000,28
Ingrid Oliveira,BRA,Diving,0,0,3,0,0,3,2020,0.002327667,8721,1996,32
Marlon Modolo,BRA,Equestrian,0,0,2,0,0,2,2020,0.001165157,11953,1988,40
Rafael Mamprin,BRA,Equestrian,0,0,2,0,0,2,2020,0.001165157,11953,1997,31
Victor Marcari,BRA,Equestrian,0,0,1,0,0,1,2020,0,22629,1996,32
Guilherme Toldo,BRA,Fencing,0,0,4,0,0,4,2020,0.003487533,7794,1992,36
Mariana Pistoia,BRA,Fencing,0,0,1,0,0,1,2024,0,22629,1998,30
ADRIANA,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,1991,37
ANTONIA,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,1994,34
Portilho Gabi,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,1995,33
Nunes Gabi,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,1997,31
YASMIM,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,1996,32
TARCIANE,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,2003,25
JHENIFFER,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,2001,27
LORENA,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,1999,29
KEROLIN,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,1999,29
Rafael Silva,BRA,Football,0,0,0,1,1,1,2020,0.086108042,2712,1992,36
Sampaio Duda,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,2001,27
Vitoria Ana,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,2000,28
PRISCILA,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,2004,24
Yaya Vitoria,BRA,Football,0,0,0,1,1,1,2024,0.086108042,2712,2002,26
ANTONY,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,2000,28
ABNER,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,2000,28
BRENNO,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,1999,29
Gabriel Martinelli,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,2001,27
Luiz Douglas,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,1998,30
Bruno Guimaraes,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,1997,31
Bruno Fuchs,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,1999,29
Henrique Matheus,BRA,Football,0,1,0,0,1,1,2020,0.080611276,4224,1997,31
Henrique Teixeira,BRA,Handball,0,0,2,0,0,2,2020,0.001165157,11953,1989,39
Haniel Langaro,BRA,Handball,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Fabio Chiuffa,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1989,39
Gabriela Bitolo,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1999,29
Adriana Cardoso,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1990,38
Claudia Bolzan,BRA,Handball,0,0,1,0,0,1,2024,0,22629,1996,32
Giulia Guarieiro,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1995,33
Gabriela Moreschi,BRA,Handball,0,0,1,0,0,1,2024,0,22629,1994,34
Guilherme Torriani,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1999,29
Guilherme Toledo,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1994,34
Gustavo Rodrigues,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1995,33
Jessica Quintino,BRA,Handball,0,0,1,0,0,1,2024,0,22629,1991,37
Jhennifer Lopes,BRA,Handball,0,0,1,0,0,1,2024,0,22629,2000,28
Kelly Rosa,BRA,Handball,0,0,1,0,0,1,2024,0,22629,2004,24
Larissa Araujo,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1992,36
Leonardo Dutra,BRA,Handball,0,0,1,0,0,1,2020,0,22629,1996,32
Marcela Arounian,BRA,Handball,0,0,1,0,0,1,2024,0,22629,2000,28
Willian Lima,BRA,Judo,1,0,0,1,2,2,2024,0.122817166,1169,2000,28
Beatriz Souza,BRA,Judo,1,1,0,0,2,2,2024,0.120052988,1338,1998,30
Rafaela Silva,BRA,Judo,0,1,1,0,1,2,2020,0.08062117,3590,1992,36
Daniel Cargnin,BRA,Judo,1,0,1,0,1,2,2020,0.079870749,5334,1997,31
Guilherme Schimidt,BRA,Judo,1,0,1,0,1,2,2024,0.079870749,5334,2000,28
Leonardo Goncalves,BRA,Judo,1,0,1,0,1,2,2024,0.079870749,5334,1996,32
Mayra Aguiar,BRA,Judo,1,0,1,0,1,2,2020,0.079870749,5334,1991,37
Maria Portela,BRA,Judo,0,0,4,0,0,4,2020,0.003487533,7794,1988,40
Rafael Buzacarini,BRA,Judo,0,0,3,0,0,3,2020,0.002327667,8721,1991,37
Eduardo Barbosa,BRA,Judo,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Suelen Altheman,BRA,Judo,0,0,2,0,0,2,2020,0.001165157,11953,1988,40
Yudy Santos,BRA,Judo,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Larissa Pimenta,BRA,Judo,0,0,2,0,0,2,2020,0.001165157,11953,1999,29
Marcela Cunha,BRA,Marathon Swimming,0,1,0,0,1,1,2020,0.080611276,4224,1992,36
Ieda Guimaraes,BRA,Modern Pentathlon,0,0,1,0,0,1,2020,0,22629,2000,28
