Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count,Cutoff Year
Madalina Heghes,ROU,Rowing,0,0,1,0,0,1,2020
Magdalena Rusu,ROU,Rowing,0,0,1,0,0,1,2020
Maria Tivodariu,ROU,Rowing,0,0,1,0,0,1,2020
Marian Enache,ROU,Rowing,0,0,1,0,0,1,2020
Marius Cozmiuc,ROU,Rowing,0,0,2,1,1,3,2020
Mihaita Tiganescu,ROU,Rowing,0,0,0,1,1,1,2020
Roxana Anghel,ROU,Rowing,0,0,1,0,0,1,2020
Sergiu Bejan,ROU,Rowing,0,0,1,0,0,1,2020
Simona Radis,ROU,Rowing,0,1,0,0,1,1,2020
Stefan Berariu,ROU,Rowing,0,0,0,1,1,1,2020
Vasile Semciuc,ROU,Rowing,0,0,0,1,1,1,2020
Viviana Bejinariu,ROU,Rowing,0,0,1,0,0,1,2020
Vlad Aicoboae,ROU,Rowing,0,0,1,0,0,1,2020
Laura-georgeta Ilie,ROU,Shooting,0,0,1,0,0,1,2020
Bianca-andreea Costea,ROU,Swimming,0,0,2,0,0,2,2020
Daniel Martin,ROU,Swimming,0,0,2,0,0,2,2020
David Popovici,ROU,Swimming,0,0,3,0,0,3,2020
Robert Glinta,ROU,Swimming,0,0,2,0,0,2,2020
Bernadette Szocs,ROU,Table Tennis,0,0,3,0,0,3,2020
Daniela Dodean,ROU,Table Tennis,0,0,6,0,0,6,2020
Elizabeta Samara,ROU,Table Tennis,0,0,7,0,0,7,2020
Ovidiu Ionescu,ROU,Table Tennis,0,0,3,0,0,3,2020
Mihaela Buzarnescu,ROU,Tennis,0,0,1,0,0,1,2020
Monica Niculescu,ROU,Tennis,0,0,3,0,0,3,2020
Raluca Olaru,ROU,Tennis,0,0,1,0,0,1,2020
Felix Duchampt,ROU,Triathlon,0,0,1,0,0,1,2020
Albert Saritov,ROU,Wrestling,1,0,1,0,1,2,2020
Alin Alexuc,ROU,Wrestling,0,0,1,0,0,1,2020
Alina Vuc,ROU,Wrestling,0,0,1,0,0,1,2020
Beatrice Ana,ROU,Wrestling,0,0,1,0,0,1,2020
Tunde Incze,ROU,Wrestling,0,0,1,0,0,1,2020
Caitlin Rooskrantz,RSA,Artistic Gymnastics,0,0,5,0,0,5,2020
Naveen Daries,RSA,Artistic Gymnastics,0,0,5,0,0,5,2020
Clarissa Johnston,RSA,Artistic Swimming,0,0,1,0,0,1,2020
Laura Strugnell,RSA,Artistic Swimming,0,0,1,0,0,1,2020
Akani Simbine,RSA,Athletics,0,0,3,0,0,3,2020
Anaso Jobodwana,RSA,Athletics,0,0,3,0,0,3,2020
Antonio Alkana,RSA,Athletics,0,0,2,0,0,2,2020
Cheswill Johnson,RSA,Athletics,0,0,1,0,0,1,2020
Clarence Munyai,RSA,Athletics,0,0,3,0,0,3,2020
Dominique Scott,RSA,Athletics,0,0,3,0,0,3,2020
Elroy Gelant,RSA,Athletics,0,0,2,0,0,2,2020
Galaletsang Ramorwa,RSA,Athletics,0,0,1,0,0,1,2020
Gerda Steyn,RSA,Athletics,0,0,1,0,0,1,2020
Gift Leotlela,RSA,Athletics,0,0,1,0,0,1,2020
Kyle Blignaut,RSA,Athletics,0,0,1,0,0,1,2020
Lesiba Mashele,RSA,Athletics,0,0,1,0,0,1,2020
Lythe Pillay,RSA,Athletics,0,0,1,0,0,1,2020
Marc Mundell,RSA,Athletics,0,0,3,0,0,3,2020
Marvin Dikgale,RSA,Athletics,0,0,1,0,0,1,2020
Pheeha Mokgobo,RSA,Athletics,0,0,1,0,0,1,2020
Pieter Conradie,RSA,Athletics,0,0,1,0,0,1,2020
Ruswahl Samaai,RSA,Athletics,0,0,2,0,0,2,2020
Shaun Maswanganyi,RSA,Athletics,0,0,3,0,0,3,2020
Sokwakhana Zazini,RSA,Athletics,0,0,1,0,0,1,2020
Stephen Mokoka,RSA,Athletics,0,0,3,0,0,3,2020
Thapelo Phora,RSA,Athletics,0,0,2,0,0,2,2020
Wayne Snyman,RSA,Athletics,0,0,2,0,0,2,2020
Wenda Nel,RSA,Athletics,0,0,1,0,0,1,2020
Zakithi Nene,RSA,Athletics,0,0,2,0,0,2,2020
van Ane,RSA,Athletics,0,0,1,0,0,1,2020
van Chederick,RSA,Athletics,0,0,1,0,0,1,2020
van Irvette,RSA,Athletics,0,0,1,0,0,1,2020
van Jason,RSA,Athletics,0,0,1,0,0,1,2020
van Rocco,RSA,Athletics,0,0,1,0,0,1,2020
van Wayde,RSA,Athletics,0,0,3,0,0,3,2020
Alan Hatherly,RSA,Cycling,0,0,1,0,0,1,2020
Ashleigh Moolman-pasio,RSA,Cycling,0,0,4,0,0,4,2020
Alex Limberg,RSA,Cycling BMX Racing,0,0,1,0,0,1,2020
Alan Hatherly,RSA,Cycling Mountain Bike,0,0,1,0,0,1,2020
Candice Lill,RSA,Cycling Mountain Bike,0,0,1,0,0,1,2020
Ashleigh Moolman-pasio,RSA,Cycling Road,0,0,2,0,0,2,2020
Carla Oberholzer,RSA,Cycling Road,0,0,1,0,0,1,2020
Nicholas Dlamini,RSA,Cycling Road,0,0,1,0,0,1,2020
Ryan Gibbons,RSA,Cycling Road,0,0,1,0,0,1,2020
de Stefan,RSA,Cycling Road,0,0,2,0,0,2,2020
David Maree,RSA,Cycling Track,0,0,1,0,0,1,2020
Jean Spies,RSA,Cycling Track,0,0,2,0,0,2,2020
du Charlene,RSA,Cycling Track,0,0,2,0,0,2,2020
Julia Vincent,RSA,Diving,0,0,2,0,0,2,2020
Micaela Bouter,RSA,Diving,0,0,1,0,0,1,2020
Victoria Scott-legendre,RSA,Equestrian,0,0,1,0,0,1,2020
Alexander Peternell,RSA,Equestrianism,0,0,1,0,0,1,2020
Evidence Makgopa,RSA,Football,0,0,1,0,0,1,2020
Goodman Mosele,RSA,Football,0,0,1,0,0,1,2020
James Monyane,RSA,Football,0,0,1,0,0,1,2020
Kamohelo Mahlatsi,RSA,Football,0,0,1,0,0,1,2020
Katlego Mohamme,RSA,Football,0,0,1,0,0,1,2020
Kobamelo Kodisang,RSA,Football,0,0,1,0,0,1,2020
Luke Fleurs,RSA,Football,0,0,1,0,0,1,2020
Luther Singh,RSA,Football,0,0,1,0,0,1,2020
Mcbeth Mahlangu,RSA,Football,0,0,1,0,0,1,2020
Mondli Mpoto,RSA,Football,0,0,1,0,0,1,2020
Nkosingiphile Ngcobo,RSA,Football,0,0,1,0,0,1,2020
Reeve Frosler,RSA,Football,0,0,1,0,0,1,2020
Repo Malepe,RSA,Football,0,0,2,0,0,2,2020
Ronwen Williams,RSA,Football,0,0,1,0,0,1,2020
Sibusiso Mabiliso,RSA,Football,0,0,1,0,0,1,2020
Sifiso Mlungwana,RSA,Football,0,0,1,0,0,1,2020
Teboho Mokoena,RSA,Football,0,0,1,0,0,1,2020
Thabo Cele,RSA,Football,0,0,1,0,0,1,2020
Thendo Mukumela,RSA,Football,0,0,1,0,0,1,2020
Christiaan Bezuidenhout,RSA,Golf,0,0,1,0,0,1,2020
Garrick Higgo,RSA,Golf,0,0,1,0,0,1,2020
Paula Reto,RSA,Golf,0,0,1,0,0,1,2020
Balfour Spooner,RSA,Hockey,0,0,1,0,0,1,2020
Beatrice Seerane,RSA,Hockey,0,0,1,0,0,1,2020
Charles Smith,RSA,Hockey,0,0,1,0,0,1,2020
Charne Maddocks,RSA,Hockey,0,0,1,0,0,1,2020
Christie Glasby,RSA,Hockey,0,0,1,0,0,1,2020
Cowen Julius,RSA,Hockey,0,0,1,0,0,1,2020
Craig Horne,RSA,Hockey,0,0,1,0,0,1,2020
Daniel Bell,RSA,Hockey,0,0,1,0,0,1,2020
Dayaan Cassiem,RSA,Hockey,0,0,1,0,0,1,2020
Dirkie Chamberlain,RSA,Hockey,0,0,1,0,0,1,2020
Edith Molikoe,RSA,Hockey,0,0,1,0,0,1,2020
Erasmus Pieterse,RSA,Hockey,0,0,2,0,0,2,2020
Erin Hunter,RSA,Hockey,0,0,1,0,0,1,2020
John Abrahams,RSA,Hockey,0,0,1,0,0,1,2020
Kristen Paton,RSA,Hockey,0,0,1,0,0,1,2020
Lerato Mahole,RSA,Hockey,0,0,1,0,0,1,2020
Lisa-marie Deetlefs,RSA,Hockey,0,0,1,0,0,1,2020
Luphumlo Mbande,RSA,Hockey,0,0,1,0,0,1,2020
Mansuet Ntuli,RSA,Hockey,0,0,1,0,0,1,2020
Marizen Marais,RSA,Hockey,0,0,1,0,0,1,2020
Matthew Guise-brown,RSA,Hockey,0,0,1,0,0,1,2020
Michael Kok,RSA,Hockey,0,0,1,0,0,1,2020
Mustaphaa Cassiem,RSA,Hockey,0,0,1,0,0,1,2020
Nicole Walraven,RSA,Hockey,0,0,1,0,0,1,2020
Nomnikelo Veto,RSA,Hockey,0,0,1,0,0,1,2020
Onthatile Zulu,RSA,Hockey,0,0,1,0,0,1,2020
Peabo Lembethe,RSA,Hockey,0,0,1,0,0,1,2020
Quanita Bobbs,RSA,Hockey,0,0,1,0,0,1,2020
Ray Eustice,RSA,Hockey,0,0,1,0,0,1,2020
Robyn Johnson,RSA,Hockey,0,0,1,0,0,1,2020
Samkelo Mvimbi,RSA,Hockey,0,0,1,0,0,1,2020
Taine Paton,RSA,Hockey,0,0,2,0,0,2,2020
Taryn Mallett,RSA,Hockey,0,0,1,0,0,1,2020
Timothy Drummond,RSA,Hockey,0,0,2,0,0,2,2020
Toni Marks,RSA,Hockey,0,0,1,0,0,1,2020
Tyson Dlungwana,RSA,Hockey,0,0,1,0,0,1,2020
du Joy,RSA,Hockey,0,0,1,0,0,1,2020
Geronay Whitebooi,RSA,Judo,0,0,1,0,0,1,2020
McGLYNN Michael,RSA,Marathon Swimming,0,0,1,0,0,1,2020
Michelle Weber,RSA,Marathon Swimming,0,0,1,0,0,1,2020
Jake Green,RSA,Rowing,0,0,2,0,0,2,2020
John Smith,RSA,Rowing,0,1,2,0,1,3,2020
Kyle Schoonbee,RSA,Rowing,0,0,1,0,0,1,2020
Lawrence Brittain,RSA,Rowing,0,0,1,1,1,2,2020
Luc Daffarn,RSA,Rowing,0,0,1,0,0,1,2020
Sandro Torrente,RSA,Rowing,0,0,1,0,0,1,2020
Angelo Davids,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Chris Dry,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Impi Visser,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Jc Pretorius,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Justin Geduld,RSA,Rugby Sevens,1,0,1,0,1,2,2020
Kurt-lee Arendse,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Ronald Brown,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Sakoyisa Makata,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Selvyn Davids,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Siviwe Soyizwapi,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Stedman Gans,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Zain Davids,RSA,Rugby Sevens,0,0,1,0,0,1,2020
du Branco,RSA,Rugby Sevens,0,0,1,0,0,1,2020
Alex Burger,RSA,Sailing,0,0,1,0,0,1,2020
Benjamin Daniel,RSA,Sailing,0,0,1,0,0,1,2020
Leo Davis,RSA,Sailing,0,0,1,0,0,1,2020
David Smith,RSA,Shooting,0,0,6,1,1,7,2020
Brandon Valjalo,RSA,Skateboarding,0,0,1,0,0,1,2020
Dallas Oberholzer,RSA,Skateboarding,0,0,1,0,0,1,2020
Melissa Williams,RSA,Skateboarding,0,0,1,0,0,1,2020
Christopher Cosser,RSA,Sport Climbing,0,0,1,0,0,1,2020
Erin Sterkenburg,RSA,Sport Climbing,0,0,1,0,0,1,2020
Bianca Buitendag,RSA,Surfing,0,0,0,1,1,1,2020
Aimee Canny,RSA,Swimming,0,0,2,0,0,2,2020
Bradley Tandy,RSA,Swimming,0,0,2,0,0,2,2020
Dune Coetzee,RSA,Swimming,0,0,1,0,0,1,2020
Emma Chelius,RSA,Swimming,0,0,1,0,0,1,2020
Erin Gallagher,RSA,Swimming,0,0,4,0,0,4,2020
Kaylene Corbett,RSA,Swimming,0,0,1,0,0,1,2020
Mariella Venter,RSA,Swimming,0,0,1,0,0,1,2020
Martin Binedell,RSA,Swimming,0,0,1,0,0,1,2020
Matthew Sates,RSA,Swimming,0,0,2,0,0,2,2020
Michael Houlie,RSA,Swimming,0,0,1,0,0,1,2020
Michelle Weber,RSA,Swimming,0,0,1,0,0,1,2020
Pieter Coetze,RSA,Swimming,0,0,1,0,0,1,2020
Rebecca Meder,RSA,Swimming,0,0,2,0,0,2,2020
Tatjana Schoenmaker,RSA,Swimming,0,1,1,1,2,3,2020
du Ethan,RSA,Swimming,0,0,1,0,0,1,2020
le Chad,RSA,Swimming,0,0,2,0,0,2,2020
Gillian Sanders,RSA,Triathlon,0,0,3,0,0,3,2020
Henri Schoeman,RSA,Triathlon,1,0,1,0,1,2,2020
Richard Murray,RSA,Triathlon,0,0,2,0,0,2,2020
Simone Ackermann,RSA,Triathlon,0,0,1,0,0,1,2020
Amica Hallendorff,RSA,Water Polo,0,0,1,0,0,1,2020
Ashleigh Vaughan,RSA,Water Polo,0,0,1,0,0,1,2020
Bain Laurenson,RSA,Water Polo,0,0,1,0,0,1,2020
Boati Motau,RSA,Water Polo,0,0,1,0,0,1,2020
Chloe Meecham,RSA,Water Polo,0,0,1,0,0,1,2020
Devon Card,RSA,Water Polo,0,0,1,0,0,1,2020
Donn Stewart,RSA,Water Polo,0,0,1,0,0,1,2020
Farouk Mayman,RSA,Water Polo,0,0,1,0,0,1,2020
Gareth May,RSA,Water Polo,0,0,1,0,0,1,2020
Georgia Moir,RSA,Water Polo,0,0,1,0,0,1,2020
Hanna Muller,RSA,Water Polo,0,0,1,0,0,1,2020
Hannah Calvert,RSA,Water Polo,0,0,1,0,0,1,2020
Jason Evezard,RSA,Water Polo,0,0,1,0,0,1,2020
Jordan Wedderburn,RSA,Water Polo,0,0,1,0,0,1,2020
Liam Neill,RSA,Water Polo,0,0,1,0,0,1,2020
Lwazi Madi,RSA,Water Polo,0,0,1,0,0,1,2020
Megan Sileno,RSA,Water Polo,0,0,1,0,0,1,2020
Meghan Maartens,RSA,Water Polo,0,0,1,0,0,1,2020
Nardus Badenhorst,RSA,Water Polo,0,0,1,0,0,1,2020
Nicholas Rodda,RSA,Water Polo,0,0,1,0,0,1,2020
Nicola Macleod,RSA,Water Polo,0,0,1,0,0,1,2020
Ross Stone,RSA,Water Polo,0,0,1,0,0,1,2020
Shakira January,RSA,Water Polo,0,0,1,0,0,1,2020
Timothy Rezelman,RSA,Water Polo,0,0,1,0,0,1,2020
Yanah Gerber,RSA,Water Polo,0,0,1,0,0,1,2020
Yaseen Margro,RSA,Water Polo,0,0,1,0,0,1,2020
Shaun Williams,RSA,Wrestling,0,0,1,0,0,1,2020
Darya Klishina,RUS,Athletics,0,0,1,0,0,1,2020
Ilya Shkurenyov,RUS,Athletics,0,0,1,0,0,1,2020
Sergey Shubenkov,RUS,Athletics,0,0,1,0,0,1,2020
Anastasiya Prokopenko,RUS,Badminton,0,0,1,0,0,1,2020
Ivan Sozonov,RUS,Badminton,0,0,2,0,0,2,2020
Vladimir Ivanov,RUS,Badminton,0,0,3,0,0,3,2020
Kira Stepanova,RUS,Canoeing,0,0,1,0,0,1,2020
Roman Anoshkin,RUS,Canoeing,1,0,1,0,1,2,2020
Viktor Melantev,RUS,Canoeing,0,0,1,0,0,1,2020
Anton Sintsov,RUS,Cycling,0,0,1,0,0,1,2020
Nataliya Goncharova,RUS,Diving,0,0,1,1,1,2,2020
Andrey Mitin,RUS,Equestrianism,0,0,2,0,0,2,2020
Mikhail Nastenko,RUS,Equestrianism,0,0,1,0,0,1,2020
Inna Deriglazova,RUS,Fencing,0,1,1,1,2,3,2020
Larisa Korobeynikova,RUS,Fencing,0,0,0,1,1,1,2020
Pavel Sukhov,RUS,Fencing,0,0,3,0,0,3,2020
Sergey Khodos,RUS,Fencing,0,0,1,0,0,1,2020
Timur Safin,RUS,Fencing,1,1,0,0,2,2,2020
Veniamin Reshetnikov,RUS,Fencing,0,0,2,0,0,2,2020
Violetta Kolobova,RUS,Fencing,1,0,3,0,1,4,2020
Mikhail Yakovlev,RUS,Football,0,0,1,0,0,1,2020
Angelina Melnikova,RUS,Gymnastics,0,0,4,1,1,5,2020
Anna Sedoykina,RUS,Handball,0,1,1,0,1,2,2020
Anna Sen,RUS,Handball,0,1,0,0,1,1,2020
Anna Vyakhireva,RUS,Handball,0,1,0,0,1,1,2020
Vladlena Bobrovnikova,RUS,Handball,0,1,0,0,1,1,2020
Irina Dolgova,RUS,Judo,0,0,1,0,0,1,2020
Musa Mogushkov,RUS,Judo,0,0,1,0,0,1,2020
Gulnaz Gubaydullina,RUS,Modern Pentathlon,0,0,1,0,0,1,2020
Denis Gribanov,RUS,Sailing,0,0,1,0,0,1,2020
Pavel Sozykin,RUS,Sailing,0,0,1,0,0,1,2020
Vitalina Batsarashkina,RUS,Shooting,0,0,1,1,1,2,2020
Vladimir Maslennikov,RUS,Shooting,1,0,0,0,1,1,2020
Aleksandr Krasnykh,RUS,Swimming,0,0,3,0,0,3,2020
Anton Chupkov,RUS,Swimming,1,0,1,0,1,2,2020
Grigory Tarasevich,RUS,Swimming,0,0,2,0,0,2,2020
Kirill Prigoda,RUS,Swimming,0,0,1,0,0,1,2020
Mikhail Dovgalyuk,RUS,Swimming,0,0,1,0,0,1,2020
Svetlana Chimrova,RUS,Swimming,0,0,2,0,0,2,2020
Vladimir Morozov,RUS,Swimming,1,0,6,0,1,7,2020
Aleksandra Patskevich,RUS,Synchronized Swimming,0,2,0,0,2,2,2020
Alla Shishkina,RUS,Synchronized Swimming,0,2,0,0,2,2,2020
Svetlana Kolesnichenko,RUS,Synchronized Swimming,0,1,0,0,1,1,2020
Svetlana Romashina,RUS,Synchronized Swimming,0,5,0,0,5,5,2020
Kirill Skachkov,RUS,Table Tennis,0,0,1,0,0,1,2020
Yana Noskova,RUS,Table Tennis,0,0,1,0,0,1,2020
Andrey Yudin,RUS,Trampolining,0,0,1,0,0,1,2020
Dmitry Volkov,RUS,Volleyball,0,0,1,0,0,1,2020
Igor Kobzar,RUS,Volleyball,0,0,1,0,0,1,2020
Irina Fetisova,RUS,Volleyball,0,0,1,0,0,1,2020
Irina Voronkova,RUS,Volleyball,0,0,1,0,0,1,2020
Anna Karnaukh,RUS,Water Polo,1,0,1,0,1,2,2020
Elvina Karimova,RUS,Water Polo,1,0,0,0,1,1,2020
John Hakizimana,RWA,Athletics,0,0,1,0,0,1,2020
Marthe Yankurije,RWA,Athletics,0,0,1,0,0,1,2020
Moise Mugisha,RWA,Cycling Road,0,0,1,0,0,1,2020
Alphonsine Agahozo,RWA,Swimming,0,0,2,0,0,2,2020
Eloi Maniraguha,RWA,Swimming,0,0,1,0,0,1,2020
Alex Rose,SAM,Athletics,0,0,2,0,0,2,2020
Faustino Ah,SAM,Boxing,0,0,1,0,0,1,2020
Leau Plodzicki-faoagali,SAM,Boxing,0,0,1,0,0,1,2020
Anne Cairns,SAM,Canoe Sprint,0,0,2,0,0,2,2020
Rudolf Williams,SAM,Canoe Sprint,0,0,3,0,0,3,2020
Tuva'a Clifton,SAM,Canoe Sprint,0,0,3,0,0,3,2020
Anne Cairns,SAM,Canoeing,0,0,2,0,0,2,2020
Peniamina Percival,SAM,Judo,0,0,1,0,0,1,2020
Eroni Leilua,SAM,Sailing,0,0,1,0,0,1,2020
Francois Mendy,SEN,Athletics,0,0,1,0,0,1,2020
Pierre Bourhis,SEN,Canoe Slalom,0,0,1,0,0,1,2020
Binta Diongue,SEN,Fencing,0,0,1,0,0,1,2020
Mbagnick Ndiaye,SEN,Judo,0,0,1,0,0,1,2020
Chiara Costa,SEN,Shooting,0,0,1,0,0,1,2020
Jeanne Boutbien,SEN,Swimming,0,0,1,0,0,1,2020
Steven Aimable,SEN,Swimming,0,0,1,0,0,1,2020
Ibrahima Diaw,SEN,Table Tennis,0,0,1,0,0,1,2020
Adama Diatta,SEN,Wrestling,0,0,3,0,0,3,2020
Ned Azemia,SEY,Athletics,0,0,2,0,0,2,2020
Nantenaina Finesse,SEY,Judo,0,0,1,0,0,1,2020
Rodney Govinden,SEY,Sailing,0,0,2,0,0,2,2020
Felicity Passon,SEY,Swimming,0,0,2,0,0,2,2020
Simon Bachmann,SEY,Swimming,0,0,1,0,0,1,2020
En Tan,SGP,Artistic Gymnastics,0,0,2,0,0,2,2020
Shanti Pereira,SGP,Athletics,0,0,1,0,0,1,2020
Min Yeo,SGP,Badminton,0,0,1,0,0,1,2020
Yew Loh,SGP,Badminton,0,0,1,0,0,1,2020
Wei Lee,SGP,Canoeing,0,0,2,0,0,2,2020
Freida Lim,SGP,Diving,0,0,1,0,0,1,2020
Jonathan Chan,SGP,Diving,0,0,1,0,0,1,2020
Caroline Chew,SGP,Equestrian,0,0,1,0,0,1,2020
Amita Berthier,SGP,Fencing,0,0,1,0,0,1,2020
Tikanah Abdul,SGP,Fencing,0,0,1,0,0,1,2020
Chantal Liew,SGP,Marathon Swimming,0,0,1,0,0,1,2020
Joan Poh,SGP,Rowing,0,0,1,0,0,1,2020
Amanda Ng,SGP,Sailing,0,0,1,0,0,1,2020
Cecilia Low,SGP,Sailing,0,0,1,0,0,1,2020
James Cooke,SGP,Sailing,0,0,1,0,0,1,2020
Min Lim,SGP,Sailing,0,0,1,0,0,1,2020
Ryan Lo,SGP,Sailing,0,0,1,0,0,1,2020
Adele Tan,SGP,Shooting,0,0,1,0,0,1,2020
Joseph Schooling,SGP,Swimming,0,1,5,0,1,6,2020
Wen Quah,SGP,Swimming,0,0,5,0,0,5,2020
Clarence Chew,SGP,Table Tennis,0,0,1,0,0,1,2020
Mengyu Yu,SGP,Table Tennis,0,0,2,0,0,2,2020
Tianwei Feng,SGP,Table Tennis,0,0,2,0,0,2,2020
Ye Lin,SGP,Table Tennis,0,0,1,0,0,1,2020
Amya Clarke,SKN,Athletics,0,0,1,0,0,1,2020
Jason Rogers,SKN,Athletics,0,0,4,0,0,4,2020
Vanessa Barrie,SLE,Athletics,0,0,1,0,0,1,2020
Frederick Harris,SLE,Judo,0,0,1,0,0,1,2020
Joshua Wyse,SLE,Swimming,0,0,1,0,0,1,2020
Tity Dumbuya,SLE,Swimming,0,0,1,0,0,1,2020
Ziga Ravnikar,SLO,Archery,0,0,1,0,0,1,2020
Anita Horvat,SLO,Athletics,0,0,1,0,0,1,2020
Klara Lukan,SLO,Athletics,0,0,1,0,0,1,2020
Kristjan Ceh,SLO,Athletics,0,0,1,0,0,1,2020
Luka Janezic,SLO,Athletics,0,0,1,0,0,1,2020
Maja Mihalinec,SLO,Athletics,0,0,3,0,0,3,2020
Marusa Mismas-zrimsek,SLO,Athletics,0,0,1,0,0,1,2020
Tina Sutej,SLO,Athletics,0,0,1,0,0,1,2020
Aleksej Nikolic,SLO,Basketball,0,0,1,0,0,1,2020
Edo Muric,SLO,Basketball,0,0,1,0,0,1,2020
Gregor Hrovat,SLO,Basketball,0,0,1,0,0,1,2020
Jaka Blazic,SLO,Basketball,0,0,1,0,0,1,2020
Jakob Cebasek,SLO,Basketball,0,0,1,0,0,1,2020
Klemen Prepelic,SLO,Basketball,0,0,1,0,0,1,2020
Luka Doncic,SLO,Basketball,0,0,1,0,0,1,2020
Luka Rupnik,SLO,Basketball,0,0,1,0,0,1,2020
Mike Tobey,SLO,Basketball,0,0,1,0,0,1,2020
Vlatko Cancar,SLO,Basketball,0,0,1,0,0,1,2020
Ziga Dimec,SLO,Basketball,0,0,1,0,0,1,2020
Zoran Dragic,SLO,Basketball,0,0,1,0,0,1,2020
Alja Kozorog,SLO,Canoe Slalom,0,0,1,0,0,1,2020
Benjamin Savsek,SLO,Canoe Slalom,0,1,0,0,1,1,2020
Eva Tercelj,SLO,Canoe Slalom,0,0,1,0,0,1,2020
Peter Kauzer,SLO,Canoe Slalom,0,0,1,0,0,1,2020
Anja Osterman,SLO,Canoe Sprint,0,0,2,0,0,2,2020
Spela Ponomarenko,SLO,Canoe Sprint,0,0,2,0,0,2,2020
Peter Kauzer,SLO,Canoeing,0,0,2,1,1,3,2020
Jan Polanc,SLO,Cycling,0,0,1,0,0,1,2020
Tanja Zakelj,SLO,Cycling Mountain Bike,0,0,1,0,0,1,2020
Eugenia Bujak,SLO,Cycling Road,0,0,1,0,0,1,2020
Jan Polanc,SLO,Cycling Road,0,0,1,0,0,1,2020
Jan Tratnik,SLO,Cycling Road,0,0,1,0,0,1,2020
Primoz Roglic,SLO,Cycling Road,0,1,1,0,1,2,2020
Tadej Pogacar,SLO,Cycling Road,1,0,0,0,1,1,2020
Pia Babnik,SLO,Golf,0,0,1,0,0,1,2020
Jure Dolenec,SLO,Handball,0,0,1,0,0,1,2020
Matej Gaber,SLO,Handball,0,0,1,0,0,1,2020
Miha Zarabec,SLO,Handball,0,0,1,0,0,1,2020
Urban Lesjak,SLO,Handball,0,0,1,0,0,1,2020
Adrian Gomboc,SLO,Judo,0,0,2,0,0,2,2020
Anamari Velensek,SLO,Judo,0,0,1,0,0,1,2020
Kaja Kajzer,SLO,Judo,0,0,1,0,0,1,2020
Marusa Stangar,SLO,Judo,0,0,1,0,0,1,2020
Tina Trstenjak,SLO,Judo,0,1,0,1,2,2,2020
Spela Perse,SLO,Marathon Swimming,0,0,1,0,0,1,2020
Ekaterina Vedeneeva,SLO,Rhythmic Gymnastics,0,0,1,0,0,1,2020
Luka Zelko,SLO,Sailing,0,0,1,0,0,1,2020
Tina Mrak,SLO,Sailing,0,0,3,0,0,3,2020
Veronika Macarol,SLO,Sailing,0,0,2,0,0,2,2020
Ziva Dvorsak,SLO,Shooting,0,0,2,0,0,2,2020
Janja Garnbret,SLO,Sport Climbing,0,1,0,0,1,1,2020
Mia Krampl,SLO,Sport Climbing,0,0,1,0,0,1,2020
Janja Segel,SLO,Swimming,0,0,2,0,0,2,2020
Katja Fain,SLO,Swimming,0,0,3,0,0,3,2020
Martin Bau,SLO,Swimming,0,0,3,0,0,3,2020
Bojan Tokic,SLO,Table Tennis,0,0,2,0,0,2,2020
Darko Jorgic,SLO,Table Tennis,0,0,2,0,0,2,2020
Deni Kozul,SLO,Table Tennis,0,0,1,0,0,1,2020
Konrad Trajkovic,SLO,Taekwondo,0,0,1,0,0,1,2020
Paolo Persoglia,SMR,Judo,0,0,1,0,0,1,2020
Alessandra Perilli,SMR,Shooting,1,0,2,1,2,4,2020
Marco Berti,SMR,Shooting,0,0,1,1,1,2,2020
Arianna Valloni,SMR,Swimming,0,0,2,0,0,2,2020
Nazem Amine,SMR,Wrestling,1,0,0,0,1,1,2020
Sharon Firisua,SOL,Athletics,0,0,2,0,0,2,2020
Richardson Iro,SOL,Swimming,0,0,1,0,0,1,2020
Kini Lifu,SOL,Weightlifting,0,0,1,0,0,1,2020
Idow Hassan,SOM,Athletics,0,0,1,0,0,1,2020
Mohamed Mohamed,SOM,Athletics,0,0,2,0,0,2,2020
Ahmed Ali,SOM,Boxing,0,0,1,0,0,1,2020
Aleksandar Ratkov,SRB,3x3 Basketball,1,0,0,0,1,1,2020
Dejan Majstorovic,SRB,3x3 Basketball,1,0,0,0,1,1,2020
Dusan Domovic,SRB,3x3 Basketball,1,0,0,0,1,1,2020
Mihailo Vasic,SRB,3x3 Basketball,1,0,0,0,1,1,2020
Armin Sinancevic,SRB,Athletics,0,0,1,0,0,1,2020
Asmir Kolasinac,SRB,Athletics,0,0,1,0,0,1,2020
Dragana Tomasevic,SRB,Athletics,0,0,1,0,0,1,2020
Ivana Spanovic,SRB,Athletics,0,0,1,0,0,1,2020
Marija Vucenovic,SRB,Athletics,0,0,1,0,0,1,2020
