NOC,Sport,Participant Count
KAZ,Archery,3
KAZ,Artistic Gymnastics,2
KAZ,Athletics,7
KAZ,Badminton,1
KAZ,Boxing,10
KAZ,Breaking,1
KAZ,Canoe Sprint,6
KAZ,Cycling Road,2
KAZ,Cycling Track,1
KAZ,Fencing,5
KAZ,Judo,8
KAZ,Modern Pentathlon,2
KAZ,Rhythmic Gymnastics,1
KAZ,Rowing,1
KAZ,Shooting,9
KAZ,Sport Climbing,1
KAZ,Swimming,2
KAZ,Table Tennis,1
KAZ,Taekwondo,2
KAZ,Tennis,4
KAZ,Trampoline Gymnastics,1
KAZ,Triathlon,1
KAZ,Wrestling,8
KEN,Athletics,44
KEN,Fencing,1
KEN,Judo,1
KEN,Rugby Sevens,13
KEN,Swimming,2
KEN,Volleyball,13
KGZ,Athletics,1
KGZ,Boxing,1
KGZ,Judo,2
KGZ,Swimming,2
KGZ,Wrestling,10
KIR,Athletics,1
KIR,Judo,1
KIR,Weightlifting,1
KOR,Archery,6
KOR,Artistic Gymnastics,8
KOR,Artistic Swimming,2
KOR,Athletics,3
KOR,Badminton,12
KOR,Boxing,2
KOR,Breaking,1
KOR,Cycling Road,2
KOR,Diving,6
KOR,Equestrian,1
KOR,Fencing,14
KOR,Golf,5
KOR,Handball,17
KOR,Judo,11
KOR,Modern Pentathlon,4
KOR,Sailing,1
KOR,Shooting,16
KOR,Sport Climbing,3
KOR,Swimming,15
KOR,Table Tennis,6
KOR,Taekwondo,4
KOR,Weightlifting,5
KOR,Wrestling,3
KOS,Athletics,1
KOS,Boxing,1
KOS,Judo,5
KOS,Swimming,2
KSA,Athletics,2
KSA,Equestrian,3
KSA,Swimming,2
KSA,Taekwondo,1
KUW,Athletics,2
KUW,Fencing,1
KUW,Rowing,1
KUW,Sailing,1
KUW,Shooting,2
KUW,Swimming,2
LAO,Athletics,1
LAO,Rhythmic Gymnastics,1
LAO,Swimming,2
LAT,3x3 Basketball,4
LAT,Athletics,8
LAT,Beach Volleyball,2
LAT,Cycling BMX Freestyle,1
LAT,Cycling BMX Racing,2
LAT,Cycling Mountain Bike,1
LAT,Cycling Road,2
LAT,Diving,1
LAT,Equestrian,1
LAT,Modern Pentathlon,1
LAT,Shooting,2
LAT,Swimming,2
LAT,Tennis,1
LAT,Weightlifting,1
LBA,Athletics,1
LBA,Rowing,1
LBA,Shooting,1
LBA,Swimming,2
LBA,Weightlifting,1
LBN,Fencing,1
LBN,Judo,1
LBN,Shooting,1
LBN,Swimming,2
LBN,Table Tennis,1
LBN,Taekwondo,1
LBN,Tennis,2
LBR,Athletics,8
LCA,Athletics,2
LCA,Sailing,1
LCA,Swimming,1
LES,Athletics,2
LES,Taekwondo,1
LIE,Cycling Mountain Bike,1
LTU,3x3 Basketball,4
LTU,Artistic Gymnastics,1
LTU,Athletics,11
LTU,Beach Volleyball,2
LTU,Breaking,1
LTU,Canoe Sprint,5
LTU,Cycling Road,1
LTU,Cycling Track,2
LTU,Equestrian,2
LTU,Modern Pentathlon,2
LTU,Rowing,8
LTU,Sailing,2
LTU,Swimming,7
LTU,Wrestling,3
LUX,Archery,1
LUX,Athletics,4
LUX,Cycling Road,2
LUX,Equestrian,1
LUX,Swimming,1
LUX,Table Tennis,3
LUX,Triathlon,1
MAD,Athletics,2
MAD,Judo,1
MAD,Swimming,2
MAD,Table Tennis,1
MAD,Weightlifting,1
MAR,Athletics,13
MAR,Beach Volleyball,2
MAR,Boxing,3
MAR,Breaking,2
MAR,Canoe Slalom,1
MAR,Canoe Sprint,1
MAR,Cycling BMX Racing,1
MAR,Cycling Road,1
MAR,Equestrian,2
MAR,Fencing,2
MAR,Football,19
MAR,Golf,1
MAR,Judo,3
MAR,Rowing,1
MAR,Shooting,1
MAR,Skateboarding,1
MAR,Surfing,1
MAR,Swimming,2
MAR,Taekwondo,2
MAR,Triathlon,1
MAR,Wrestling,1
MAS,Archery,3
MAS,Athletics,1
MAS,Badminton,8
MAS,Cycling Road,1
MAS,Cycling Track,3
MAS,Diving,2
MAS,Golf,2
MAS,Sailing,2
MAS,Shooting,1
MAS,Swimming,2
MAS,Weightlifting,1
MAW,Athletics,1
MAW,Swimming,2
MDA,Archery,2
MDA,Athletics,5
MDA,Canoe Sprint,3
MDA,Equestrian,1
MDA,Judo,3
MDA,Shooting,1
MDA,Swimming,2
MDA,Table Tennis,1
MDA,Weightlifting,1
MDA,Wrestling,7
MDV,Athletics,1
MDV,Badminton,1
MDV,Swimming,2
MDV,Table Tennis,1
MEX,Archery,6
MEX,Artistic Gymnastics,3
MEX,Artistic Swimming,9
MEX,Athletics,18
MEX,Badminton,1
MEX,Boxing,4
MEX,Canoe Slalom,1
MEX,Canoe Sprint,2
MEX,Cycling Mountain Bike,2
MEX,Cycling Road,1
MEX,Cycling Track,5
MEX,Diving,9
MEX,Equestrian,3
MEX,Fencing,1
MEX,Golf,4
MEX,Judo,2
MEX,Marathon Swimming,2
MEX,Modern Pentathlon,4
MEX,Rhythmic Gymnastics,5
MEX,Rowing,3
MEX,Sailing,2
MEX,Shooting,5
MEX,Surfing,1
MEX,Swimming,4
MEX,Table Tennis,2
MEX,Taekwondo,2
MEX,Triathlon,4
MEX,Weightlifting,1
MEX,Wrestling,2
MGL,Archery,1
MGL,Athletics,3
MGL,Boxing,2
MGL,Cycling Road,1
MGL,Judo,10
MGL,Shooting,3
MGL,Swimming,2
MGL,Weightlifting,1
MGL,Wrestling,9
MHL,Athletics,1
MHL,Swimming,2
MHL,Weightlifting,1
MKD,Athletics,1
MKD,Judo,1
MKD,Shooting,1
MKD,Swimming,1
MKD,Taekwondo,1
MKD,Wrestling,1
MLI,Athletics,1
MLI,Boxing,1
MLI,Football,19
MLI,Swimming,2
MLI,Taekwondo,1
MLT,Athletics,1
MLT,Judo,1
MLT,Shooting,1
MLT,Swimming,2
MNE,Athletics,1
MNE,Boxing,1
MNE,Sailing,1
MNE,Swimming,2
MNE,Tennis,1
MNE,Water Polo,13
MON,Athletics,1
MON,Judo,1
MON,Marathon Swimming,1
MON,Rowing,1
MON,Swimming,1
MON,Table Tennis,1
MOZ,Athletics,1
MOZ,Boxing,2
MOZ,Judo,1
MOZ,Sailing,1
MOZ,Swimming,2
MRI,Athletics,2
MRI,Badminton,2
MRI,Cycling Road,2
MRI,Judo,1
MRI,Sailing,2
MRI,Swimming,2
MRI,Triathlon,1
MTN,Athletics,1
MTN,Swimming,1
MYA,Badminton,1
MYA,Swimming,1
NAM,Athletics,1
NAM,Cycling Mountain Bike,1
NAM,Cycling Road,1
NAM,Marathon Swimming,1
NCA,Athletics,1
NCA,Judo,1
NCA,Rowing,1
NCA,Shooting,1
NCA,Surfing,1
NCA,Swimming,2
NED,3x3 Basketball,4
NED,Archery,4
NED,Artistic Gymnastics,10
NED,Artistic Swimming,2
NED,Athletics,46
NED,Badminton,2
NED,Beach Volleyball,6
NED,Boxing,1
NED,Breaking,3
NED,Canoe Slalom,3
NED,Canoe Sprint,2
NED,Cycling BMX Racing,6
NED,Cycling Mountain Bike,2
NED,Cycling Road,7
NED,Cycling Track,12
NED,Diving,1
NED,Equestrian,12
NED,Fencing,1
NED,Golf,1
NED,Handball,17
NED,Hockey,35
NED,Judo,10
NED,Marathon Swimming,1
NED,Rowing,33
NED,Sailing,11
NED,Skateboarding,2
NED,Swimming,19
NED,Table Tennis,1
NED,Tennis,6
NED,Triathlon,4
NED,Volleyball,13
NED,Water Polo,13
NEP,Athletics,1
NEP,Badminton,1
NEP,Judo,1
NEP,Shooting,1
NEP,Swimming,2
NEP,Table Tennis,1
NGR,Athletics,35
NGR,Badminton,1
NGR,Basketball,12
NGR,Boxing,2
NGR,Canoe Sprint,2
NGR,"Cycling Road, Cycling Track",1
NGR,Football,18
NGR,Swimming,2
NGR,Table Tennis,4
NGR,Taekwondo,1
NGR,Weightlifting,2
NGR,Wrestling,6
NIG,Athletics,1
NIG,Fencing,1
NIG,Judo,1
NIG,Swimming,2
NIG,Taekwondo,2
NOR,Athletics,25
NOR,Beach Volleyball,2
NOR,Boxing,2
NOR,Canoe Sprint,4
NOR,Cycling Mountain Bike,1
NOR,Cycling Road,4
NOR,Cycling Track,1
NOR,Diving,1
NOR,Equestrian,2
NOR,Golf,4
NOR,Handball,31
NOR,"Marathon Swimming, Swimming",1
NOR,Rowing,10
NOR,Sailing,5
NOR,Shooting,6
NOR,Swimming,2
NOR,Taekwondo,1
NOR,Tennis,1
NOR,Triathlon,4
NOR,Weightlifting,1
NOR,Wrestling,1
NRU,Athletics,1
NZL,Artistic Gymnastics,1
NZL,Artistic Swimming,2
NZL,Athletics,17
NZL,Canoe Slalom,2
NZL,Canoe Sprint,10
NZL,Cycling BMX Racing,3
NZL,Cycling Mountain Bike,2
NZL,Cycling Road,4
NZL,Cycling Track,15
NZL,Diving,1
NZL,Equestrian,5
NZL,Football,40
NZL,Golf,3
NZL,Hockey,19
NZL,Judo,2
NZL,Rowing,20
NZL,Rugby Sevens,25
NZL,Sailing,12
NZL,Shooting,2
NZL,Sport Climbing,2
NZL,Surfing,2
NZL,Swimming,9
NZL,Tennis,2
NZL,Trampoline Gymnastics,2
NZL,Triathlon,4
NZL,Weightlifting,1
NZL,Wrestling,1
OMA,Athletics,2
OMA,Shooting,1
OMA,Swimming,1
PAK,Athletics,2
PAK,Shooting,3
PAK,Swimming,2
PAN,Artistic Gymnastics,1
PAN,Athletics,2
PAN,Boxing,1
PAN,Cycling Road,1
PAN,Judo,1
PAN,Swimming,2
PAR,Athletics,2
PAR,Beach Volleyball,2
PAR,Football,19
PAR,Golf,1
PAR,Judo,1
PAR,Rowing,2
PAR,Swimming,2
PER,Athletics,9
PER,Badminton,1
PER,Fencing,1
PER,Judo,1
PER,Marathon Swimming,1
PER,Rowing,3
PER,Sailing,3
PER,Shooting,2
PER,Surfing,3
PER,Swimming,2
PHI,Artistic Gymnastics,4
PHI,Athletics,3
PHI,Boxing,5
PHI,Fencing,1
PHI,Golf,2
PHI,Judo,1
PHI,Rowing,1
PHI,Swimming,2
PHI,Weightlifting,3
PLE,Athletics,2
PLE,Boxing,1
PLE,Judo,1
PLE,Shooting,1
PLE,Swimming,2
PLE,Taekwondo,1
PLW,Athletics,1
PLW,Swimming,2
PNG,Athletics,1
PNG,Boxing,1
PNG,Swimming,2
PNG,Taekwondo,2
PNG,Weightlifting,1
POL,3x3 Basketball,4
POL,Archery,1
POL,Athletics,62
POL,Beach Volleyball,2
POL,Boxing,5
POL,Canoe Slalom,3
POL,Canoe Sprint,12
POL,Cycling Mountain Bike,2
POL,Cycling Road,5
POL,Cycling Track,9
POL,Diving,1
POL,Equestrian,11
POL,Fencing,12
POL,Golf,1
POL,Judo,4
POL,Marathon Swimming,1
POL,Modern Pentathlon,4
POL,Rowing,6
POL,Sailing,10
POL,Shooting,7
POL,Sport Climbing,2
POL,Swimming,20
POL,Table Tennis,5
POL,Tennis,4
POL,Triathlon,1
POL,Volleyball,26
POL,Weightlifting,1
POL,Wrestling,5
POR,Artistic Gymnastics,1
POR,Athletics,22
POR,Breaking,1
POR,Canoe Sprint,4
POR,Cycling Mountain Bike,1
POR,Cycling Road,3
POR,Cycling Track,4
POR,Equestrian,6
POR,Judo,7
POR,Marathon Swimming,1
POR,Sailing,4
POR,Shooting,1
POR,Skateboarding,2
POR,Surfing,2
POR,Swimming,4
POR,Table Tennis,5
POR,Tennis,2
POR,Trampoline Gymnastics,1
POR,Triathlon,4
PRK,Artistic Gymnastics,1
PRK,Athletics,1
PRK,Boxing,2
PRK,Diving,3
PRK,Judo,1
PRK,Table Tennis,3
PRK,Wrestling,3
PUR,Archery,1
PUR,Athletics,8
PUR,Basketball,24
PUR,Boxing,2
PUR,Diving,1
PUR,Golf,1
PUR,Judo,2
PUR,Sailing,1
PUR,Shooting,1
PUR,Skateboarding,1
PUR,Swimming,2
PUR,Table Tennis,3
PUR,Wrestling,4
QAT,Athletics,7
QAT,Beach Volleyball,2
QAT,Shooting,2
QAT,Swimming,1
QAT,Weightlifting,1
ROU,Archery,1
ROU,Artistic Gymnastics,6
ROU,Athletics,12
ROU,Boxing,1
ROU,Canoe Sprint,3
ROU,Cycling Mountain Bike,1
ROU,Fencing,1
ROU,Judo,1
ROU,Rhythmic Gymnastics,1
ROU,Rowing,35
ROU,Sailing,1
ROU,Swimming,3
ROU,Table Tennis,5
ROU,Tennis,4
ROU,Triathlon,1
ROU,Water Polo,13
ROU,Weightlifting,2
ROU,Wrestling,5
RSA,Archery,1
RSA,Artistic Gymnastics,1
RSA,Athletics,34
RSA,Badminton,1
RSA,Canoe Sprint,4
RSA,Cycling BMX Freestyle,1
RSA,Cycling BMX Racing,1
RSA,Cycling Mountain Bike,2
RSA,Cycling Road,3
RSA,Cycling Track,1
RSA,Diving,1
RSA,Equestrian,1
RSA,Fencing,1
RSA,Golf,4
RSA,Hockey,33
RSA,Judo,1
RSA,Rowing,3
RSA,Rugby Sevens,26
RSA,Skateboarding,3
RSA,Sport Climbing,4
RSA,Surfing,3
RSA,Swimming,8
RSA,Triathlon,3
RSA,Wrestling,1
RWA,Athletics,2
RWA,Cycling Road,2
RWA,Fencing,1
RWA,Swimming,2
SAM,Athletics,1
SAM,Boxing,1
SAM,Canoe Sprint,2
SAM,Judo,1
SAM,Rugby Sevens,12
SAM,Sailing,2
SAM,Swimming,2
SAM,Weightlifting,2
SAM,Wrestling,1
SEN,Athletics,3
SEN,Canoe Slalom,1
SEN,Canoe Sprint,1
SEN,Fencing,1
SEN,Judo,1
SEN,Swimming,2
SEN,Table Tennis,1
SEN,Taekwondo,1
SEY,Athletics,1
SEY,Swimming,2
SGP,Athletics,2
SGP,Badminton,4
SGP,Canoe Sprint,1
SGP,Equestrian,1
SGP,Fencing,2
SGP,Golf,1
SGP,Rowing,1
SGP,Sailing,2
SGP,Shooting,1
SGP,Swimming,5
SGP,Table Tennis,3
SKN,Athletics,2
SKN,Swimming,1
SLE,Athletics,1
SLE,Judo,1
SLE,Swimming,2
SLO,Archery,2
SLO,Artistic Gymnastics,1
SLO,Athletics,7
SLO,Canoe Slalom,4
SLO,Cycling Mountain Bike,1
SLO,Cycling Road,6
SLO,Golf,2
SLO,Handball,32
SLO,Judo,6
SLO,Rhythmic Gymnastics,1
SLO,Rowing,2
SLO,Sailing,6
SLO,Sport Climbing,3
SLO,Swimming,5
SLO,Table Tennis,3
SLO,Taekwondo,1
SLO,Volleyball,13
SMR,Archery,1
SMR,Athletics,1
SMR,Shooting,1
SMR,Swimming,1
SMR,Wrestling,1
SOL,Athletics,1
SOL,Swimming,1
SOM,Athletics,1
SRB,3x3 Basketball,4
SRB,Athletics,6
SRB,Basketball,24
SRB,Boxing,3
SRB,Canoe Sprint,8
SRB,Cycling Road,2
SRB,Judo,6
SRB,Rowing,3
SRB,Shooting,3
SRB,Swimming,5
SRB,Table Tennis,1
SRB,Taekwondo,3
SRB,Tennis,2
SRB,Volleyball,26
SRB,Water Polo,13
SRB,Wrestling,5
SRI,Athletics,3
SRI,Badminton,1
SRI,Swimming,2
SSD,Athletics,2
SSD,Basketball,12
STP,Athletics,1
STP,Canoe Sprint,1
STP,Judo,1
SUD,Athletics,1
SUD,Rowing,1
SUD,Swimming,2
SUI,Artistic Gymnastics,6
SUI,Athletics,36
SUI,Badminton,2
SUI,Beach Volleyball,4
SUI,Canoe Slalom,2
SUI,Cycling BMX Freestyle,1
SUI,Cycling BMX Racing,6
SUI,Cycling Mountain Bike,4
SUI,Cycling Road,7
SUI,Cycling Track,4
SUI,Equestrian,9
SUI,Fencing,2
SUI,Golf,3
SUI,Judo,3
SUI,Modern Pentathlon,2
SUI,Rowing,17
SUI,Sailing,7
SUI,Shooting,5
SUI,Sport Climbing,1
SUI,Swimming,8
SUI,Tennis,2
SUI,Triathlon,6
SUR,Athletics,1
SUR,Badminton,1
SUR,Cycling Track,1
SUR,Swimming,2
SVK,Archery,1
SVK,Athletics,6
SVK,Boxing,1
SVK,Canoe Slalom,4
SVK,Cycling Road,2
SVK,Judo,1
SVK,Sailing,1
SVK,Shooting,6
SVK,Skateboarding,1
SVK,Swimming,2
SVK,Table Tennis,1
SVK,Tennis,1
SVK,Wrestling,1
SWE,Athletics,22
SWE,Beach Volleyball,2
SWE,Boxing,2
SWE,Canoe Slalom,1
SWE,Canoe Sprint,4
SWE,Cycling Mountain Bike,1
SWE,Cycling Road,2
SWE,Diving,1
SWE,Equestrian,12
SWE,Golf,4
SWE,Handball,33
SWE,Judo,2
SWE,"Marathon Swimming, Swimming",1
SWE,Modern Pentathlon,1
SWE,Sailing,8
SWE,Shooting,7
SWE,Skateboarding,1
SWE,Swimming,12
SWE,Table Tennis,6
SWE,Triathlon,1
SWE,Wrestling,2
SWZ,Athletics,1
SWZ,Swimming,2
SYR,Artistic Gymnastics,1
SYR,Athletics,1
SYR,Equestrian,1
SYR,Judo,1
SYR,Swimming,1
SYR,Weightlifting,1
TAN,Athletics,4
TAN,Judo,1
TAN,Swimming,2
TGA,Athletics,1
TGA,Boxing,1
TGA,Swimming,2
THA,Athletics,2
THA,Badminton,9
THA,Boxing,8
THA,Cycling BMX Racing,2
THA,Cycling Road,2
THA,Cycling Track,1
THA,Equestrian,1
THA,Golf,4
THA,Judo,1
THA,Modern Pentathlon,1
THA,Rowing,1
THA,Sailing,4
THA,Shooting,3
THA,Skateboarding,1
THA,Swimming,2
THA,Table Tennis,3
THA,Taekwondo,3
THA,Weightlifting,4
TJK,Athletics,1
TJK,Boxing,3
TJK,Judo,6
TJK,Swimming,2
TJK,Taekwondo,1
TJK,Wrestling,1
TKM,Athletics,1
TKM,Judo,2
TKM,Swimming,2
TKM,Weightlifting,1
TLS,Athletics,1
TLS,Swimming,2
TLS,Taekwondo,1
TOG,Athletics,1
TOG,Rowing,1
TOG,Swimming,2
TOG,Triathlon,1
TPE,Archery,6
TPE,Artistic Gymnastics,2
TPE,Athletics,4
TPE,Badminton,6
TPE,Boxing,6
TPE,Breaking,1
TPE,Canoe Slalom,2
TPE,Canoe Sprint,1
TPE,Fencing,1
TPE,Golf,4
TPE,Judo,3
TPE,Shooting,8
TPE,Swimming,2
TPE,Table Tennis,6
TPE,Taekwondo,1
TPE,Tennis,4
TPE,Weightlifting,3
TTO,Athletics,13
TTO,Cycling Track,2
TTO,Swimming,2
TUN,Archery,1
TUN,Athletics,3
TUN,Boxing,1
TUN,Canoe Slalom,1
TUN,Canoe Sprint,1
TUN,Fencing,2
TUN,Judo,2
TUN,"Marathon Swimming, Swimming",1
TUN,Rowing,3
TUN,Shooting,1
TUN,Swimming,1
TUN,Taekwondo,4
TUN,Tennis,1
TUN,Weightlifting,1
TUN,Wrestling,3
TUR,Archery,4
TUR,Artistic Gymnastics,5
TUR,Athletics,16
TUR,Badminton,1
TUR,Boxing,7
TUR,Cycling Road,1
TUR,Fencing,2
TUR,Judo,8
TUR,"Marathon Swimming, Swimming",2
TUR,Modern Pentathlon,2
TUR,Rowing,1
TUR,Sailing,8
TUR,Shooting,7
TUR,Swimming,6
TUR,Table Tennis,1
TUR,Taekwondo,5
TUR,Volleyball,13
TUR,Weightlifting,1
TUR,Wrestling,11
TUV,Athletics,2
UAE,Athletics,1
UAE,Cycling Road,1
UAE,Equestrian,3
UAE,Judo,6
UAE,Swimming,2
UGA,Athletics,21
UGA,Cycling Road,1
UGA,Rowing,1
UGA,Swimming,2
UKR,Archery,2
UKR,Artistic Gymnastics,6
UKR,Artistic Swimming,2
UKR,Athletics,26
UKR,Badminton,1
UKR,Boxing,3
UKR,Breaking,3
UKR,Canoe Slalom,1
UKR,Canoe Sprint,8
UKR,Cycling Mountain Bike,2
UKR,Cycling Road,2
UKR,Diving,8
UKR,Fencing,8
UKR,Football,18
UKR,Judo,5
UKR,Modern Pentathlon,3
UKR,Rhythmic Gymnastics,6
UKR,Rowing,6
UKR,Shooting,6
UKR,Sport Climbing,2
UKR,Swimming,5
UKR,Table Tennis,3
UKR,Tennis,5
UKR,Weightlifting,1
UKR,Wrestling,9
URU,Athletics,3
URU,Canoe Sprint,1
URU,Cycling Road,1
URU,Judo,1
URU,Rowing,1
URU,Rugby Sevens,14
URU,Sailing,3
URU,Swimming,2
URU,Taekwondo,1
USA,3x3 Basketball,8
USA,Archery,4
USA,Artistic Gymnastics,10
USA,Artistic Swimming,9
USA,Athletics,126
USA,Badminton,7
USA,Basketball,24
USA,Beach Volleyball,8
USA,Boxing,8
USA,Breaking,4
USA,Canoe Slalom,2
USA,Canoe Sprint,3
USA,Cycling BMX Freestyle,4
USA,Cycling BMX Racing,7
USA,Cycling Mountain Bike,4
USA,Cycling Road,3
USA,"Cycling Road, Cycling Track",2
USA,"Cycling Road, Triathlon",1
USA,Cycling Track,5
USA,Diving,11
USA,Equestrian,12
USA,Fencing,20
USA,Football,39
USA,Golf,7
USA,Hockey,16
USA,Judo,4
USA,Marathon Swimming,2
USA,"Marathon Swimming, Swimming",1
USA,Modern Pentathlon,1
USA,Rhythmic Gymnastics,1
USA,Rowing,42
USA,Rugby Sevens,26
USA,Sailing,13
USA,Shooting,17
USA,Skateboarding,12
USA,Sport Climbing,8
USA,Surfing,5
USA,Swimming,45
USA,Table Tennis,4
USA,Taekwondo,4
USA,Tennis,11
USA,Trampoline Gymnastics,2
USA,Triathlon,4
USA,Volleyball,26
USA,Water Polo,26
USA,Weightlifting,5
USA,Wrestling,16
UZB,Archery,2
UZB,Artistic Gymnastics,3
UZB,Athletics,4
UZB,Boxing,11
UZB,Canoe Sprint,3
UZB,Cycling Road,3
UZB,Diving,1
UZB,Fencing,1
UZB,Football,21
UZB,Judo,12
UZB,Modern Pentathlon,1
UZB,Rhythmic Gymnastics,6
UZB,Rowing,3
UZB,Swimming,2
UZB,Taekwondo,5
UZB,Weightlifting,3
UZB,Wrestling,7
VAN,Athletics,1
VAN,Judo,1
VAN,Swimming,2
VAN,Table Tennis,1
VAN,Weightlifting,1
VEN,Athletics,6
VEN,Boxing,2
VEN,Equestrian,2
VEN,Fencing,5
VEN,Judo,1
VEN,Shooting,2
VEN,Swimming,3
VEN,Taekwondo,1
VEN,Weightlifting,5
VEN,Wrestling,4
VIE,Archery,2
VIE,Athletics,1
VIE,Badminton,2
VIE,Boxing,2
VIE,Canoe Sprint,1
VIE,Cycling Road,1
VIE,Judo,1
VIE,Rowing,1
VIE,Shooting,2
VIE,Swimming,2
VIE,Weightlifting,1
VIN,Athletics,2
VIN,Swimming,2
YEM,Athletics,1
YEM,Judo,1
YEM,Shooting,1
YEM,Swimming,1
ZAM,Athletics,6
ZAM,Boxing,2
ZAM,Football,20
ZAM,Judo,1
ZAM,Swimming,2
ZIM,Athletics,4
ZIM,Rowing,1
ZIM,Swimming,2
