Year,NOC,Sport,Name,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals
2016,ITA,Tennis,Sara Errani,0,0,2,0,0
2016,ITA,Tennis,Sara Errani,0,0,2,0,0
2016,ITA,Volleyball,Alessia Orro,0,0,1,0,0
2016,ITA,Volleyball,Alessia Orro,0,0,1,0,0
2016,ITA,Volleyball,Anna Danesi,0,0,1,0,0
2016,ITA,Volleyball,Anna Danesi,0,0,1,0,0
2016,ITA,Volleyball,Cristina Chirichella,0,0,1,0,0
2016,ITA,Volleyball,Cristina Chirichella,0,0,1,0,0
2016,ITA,Volleyball,Ivan Zaytsev,0,0,0,1,1
2016,ITA,Volleyball,Ivan Zaytsev,0,0,0,1,1
2016,ITA,Volleyball,Luca Vettori,0,0,0,1,1
2016,ITA,Volleyball,Luca Vettori,0,0,0,1,1
2016,ITA,Volleyball,Massimo Colaci,0,0,0,1,1
2016,ITA,Volleyball,Massimo Colaci,0,0,0,1,1
2016,ITA,Volleyball,Matteo Piano,0,0,0,1,1
2016,ITA,Volleyball,Matteo Piano,0,0,0,1,1
2016,ITA,Volleyball,Simone Giannelli,0,0,0,1,1
2016,ITA,Volleyball,Simone Giannelli,0,0,0,1,1
2016,ITA,Water Polo,Alessandro Velotto,1,0,0,0,1
2016,ITA,Water Polo,Alessandro Velotto,1,0,0,0,1
2016,ITA,Water Polo,Andrea Fondelli,1,0,0,0,1
2016,ITA,Water Polo,Andrea Fondelli,1,0,0,0,1
2016,ITA,Water Polo,Chiara Tabani,0,0,0,1,1
2016,ITA,Water Polo,Chiara Tabani,0,0,0,1,1
2016,ITA,Water Polo,Matteo Aicardi,1,0,0,0,1
2016,ITA,Water Polo,Matteo Aicardi,1,0,0,0,1
2016,ITA,Water Polo,Nicholas Presciutti,1,0,0,0,1
2016,ITA,Water Polo,Nicholas Presciutti,1,0,0,0,1
2016,ITA,Water Polo,Pietro Figlioli,1,0,0,0,1
2016,ITA,Water Polo,Pietro Figlioli,1,0,0,0,1
2016,ITA,Water Polo,Roberta Bianconi,0,0,0,1,1
2016,ITA,Water Polo,Roberta Bianconi,0,0,0,1,1
2016,ITA,Weightlifting,Giorgia Bordignon,0,0,1,0,0
2016,ITA,Weightlifting,Giorgia Bordignon,0,0,1,0,0
2016,IVB,Swimming,Elinah Phillip,0,0,1,0,0
2016,IVB,Swimming,Elinah Phillip,0,0,1,0,0
2016,JAM,Athletics,Fedrick Dacres,0,0,1,0,0
2016,JAM,Athletics,Fedrick Dacres,0,0,1,0,0
2016,JAM,Athletics,Jaheel Hyde,0,0,1,0,0
2016,JAM,Athletics,Jaheel Hyde,0,0,1,0,0
2016,JAM,Athletics,Janieve Russell,0,0,1,0,0
2016,JAM,Athletics,Janieve Russell,0,0,1,0,0
2016,JAM,Athletics,Jevaughn Minzie,0,1,0,0,1
2016,JAM,Athletics,Jevaughn Minzie,0,1,0,0,1
2016,JAM,Athletics,Kimberly Williams,0,0,1,0,0
2016,JAM,Athletics,Kimberly Williams,0,0,1,0,0
2016,JAM,Athletics,Leah Nugent,0,0,1,0,0
2016,JAM,Athletics,Leah Nugent,0,0,1,0,0
2016,JAM,Athletics,Nathon Allen,0,0,0,1,1
2016,JAM,Athletics,Nathon Allen,0,0,0,1,1
2016,JAM,Athletics,Natoya Goule,0,0,1,0,0
2016,JAM,Athletics,Natoya Goule,0,0,1,0,0
2016,JAM,Athletics,Shadae Lawrence,0,0,1,0,0
2016,JAM,Athletics,Shadae Lawrence,0,0,1,0,0
2016,JAM,Athletics,Shashalee Forbes,0,0,0,1,1
2016,JAM,Athletics,Shashalee Forbes,0,0,0,1,1
2016,JAM,Athletics,Shericka Jackson,1,0,0,1,2
2016,JAM,Athletics,Shericka Jackson,1,0,0,1,2
2016,JAM,Athletics,Yohan Blake,0,1,2,0,1
2016,JAM,Athletics,Yohan Blake,0,1,2,0,1
2016,JAM,Diving,Yona Knight-wisdom,0,0,1,0,0
2016,JAM,Diving,Yona Knight-wisdom,0,0,1,0,0
2016,JAM,Swimming,Alia Atkinson,0,0,1,0,0
2016,JAM,Swimming,Alia Atkinson,0,0,1,0,0
2016,JOR,Boxing,Hussein Iashaish,0,0,1,0,0
2016,JOR,Boxing,Hussein Iashaish,0,0,1,0,0
2016,JOR,Swimming,Talita Baqlah,0,0,1,0,0
2016,JOR,Swimming,Talita Baqlah,0,0,1,0,0
2016,JPN,Archery,Takaharu Furukawa,0,0,1,0,0
2016,JPN,Archery,Takaharu Furukawa,0,0,1,0,0
2016,JPN,Athletics,Ayuko Suzuki,0,0,1,0,0
2016,JPN,Athletics,Ayuko Suzuki,0,0,1,0,0
2016,JPN,Athletics,Eiki Takahashi,0,0,1,0,0
2016,JPN,Athletics,Eiki Takahashi,0,0,1,0,0
2016,JPN,Athletics,Kumiko Okada,0,0,1,0,0
2016,JPN,Athletics,Kumiko Okada,0,0,1,0,0
2016,JPN,Athletics,Ryota Yamagata,0,0,1,1,1
2016,JPN,Athletics,Ryota Yamagata,0,0,1,1,1
2016,JPN,Athletics,Seito Yamamoto,0,0,1,0,0
2016,JPN,Athletics,Seito Yamamoto,0,0,1,0,0
2016,JPN,Athletics,Shota Iizuka,0,0,1,1,1
2016,JPN,Athletics,Shota Iizuka,0,0,1,1,1
2016,JPN,Athletics,Suguru Osako,0,0,2,0,0
2016,JPN,Athletics,Suguru Osako,0,0,2,0,0
2016,JPN,Athletics,Takashi Eto,0,0,1,0,0
2016,JPN,Athletics,Takashi Eto,0,0,1,0,0
2016,JPN,Athletics,Yoshihide Kiryu,0,0,1,1,1
2016,JPN,Athletics,Yoshihide Kiryu,0,0,1,1,1
2016,JPN,Athletics,Yuka Takashima,0,0,1,0,0
2016,JPN,Athletics,Yuka Takashima,0,0,1,0,0
2016,JPN,Badminton,Akane Yamaguchi,0,0,1,0,0
2016,JPN,Badminton,Akane Yamaguchi,0,0,1,0,0
2016,JPN,Badminton,Hiroyuki Endo,0,0,1,0,0
2016,JPN,Badminton,Hiroyuki Endo,0,0,1,0,0
2016,JPN,Badminton,Nozomi Okuhara,1,0,0,0,1
2016,JPN,Badminton,Nozomi Okuhara,1,0,0,0,1
2016,JPN,Basketball,Asami Yoshida,0,0,1,0,0
2016,JPN,Basketball,Asami Yoshida,0,0,1,0,0
2016,JPN,Basketball,Maki Takada,0,0,1,0,0
2016,JPN,Basketball,Maki Takada,0,0,1,0,0
2016,JPN,Basketball,Moeko Nagaoka,0,0,1,0,0
2016,JPN,Basketball,Moeko Nagaoka,0,0,1,0,0
2016,JPN,Basketball,Naho Miyoshi,0,0,1,0,0
2016,JPN,Basketball,Naho Miyoshi,0,0,1,0,0
2016,JPN,Basketball,Rui Machida,0,0,1,0,0
2016,JPN,Basketball,Rui Machida,0,0,1,0,0
2016,JPN,Basketball,Yuki Miyazawa,0,0,1,0,0
2016,JPN,Basketball,Yuki Miyazawa,0,0,1,0,0
2016,JPN,Boxing,Daisuke Narimatsu,0,0,1,0,0
2016,JPN,Boxing,Daisuke Narimatsu,0,0,1,0,0
2016,JPN,Canoeing,Aki Yazawa,0,0,1,0,0
2016,JPN,Canoeing,Aki Yazawa,0,0,1,0,0
2016,JPN,Canoeing,Takuya Haneda,1,0,0,0,1
2016,JPN,Canoeing,Takuya Haneda,1,0,0,0,1
2016,JPN,Cycling,Eri Yonamine,0,0,2,0,0
2016,JPN,Cycling,Eri Yonamine,0,0,2,0,0
2016,JPN,Cycling,Kazushige Kuboki,0,0,1,0,0
2016,JPN,Cycling,Kazushige Kuboki,0,0,1,0,0
2016,JPN,Cycling,Kohei Yamamoto,0,0,1,0,0
2016,JPN,Cycling,Kohei Yamamoto,0,0,1,0,0
2016,JPN,Cycling,Yoshitaku Nagasako,0,0,1,0,0
2016,JPN,Cycling,Yoshitaku Nagasako,0,0,1,0,0
2016,JPN,Cycling,Yukiya Arashiro,0,0,1,0,0
2016,JPN,Cycling,Yukiya Arashiro,0,0,1,0,0
2016,JPN,Cycling,Yuta Wakimoto,0,0,1,0,0
2016,JPN,Cycling,Yuta Wakimoto,0,0,1,0,0
2016,JPN,Diving,Ken Terauchi,0,0,1,0,0
2016,JPN,Diving,Ken Terauchi,0,0,1,0,0
2016,JPN,Diving,Minami Itahashi,0,0,1,0,0
2016,JPN,Diving,Minami Itahashi,0,0,1,0,0
2016,JPN,Diving,Sho Sakai,0,0,1,0,0
2016,JPN,Diving,Sho Sakai,0,0,1,0,0
2016,JPN,Equestrianism,Daisuke Fukushima,0,0,2,0,0
2016,JPN,Equestrianism,Daisuke Fukushima,0,0,2,0,0
2016,JPN,Equestrianism,Masanao Takahashi,0,0,2,0,0
2016,JPN,Equestrianism,Masanao Takahashi,0,0,2,0,0
2016,JPN,Equestrianism,Ryuzo Kitajima,0,0,1,0,0
2016,JPN,Equestrianism,Ryuzo Kitajima,0,0,1,0,0
2016,JPN,Equestrianism,Taizo Sugitani,0,0,2,0,0
2016,JPN,Equestrianism,Taizo Sugitani,0,0,2,0,0
2016,JPN,Equestrianism,Yoshiaki Oiwa,0,0,1,0,0
2016,JPN,Equestrianism,Yoshiaki Oiwa,0,0,1,0,0
2016,JPN,Fencing,Chika Aoki,0,0,1,0,0
2016,JPN,Fencing,Chika Aoki,0,0,1,0,0
2016,JPN,Fencing,Kazuyasu Minobe,0,0,1,0,0
2016,JPN,Fencing,Kazuyasu Minobe,0,0,1,0,0
2016,JPN,Fencing,Kenta Tokunan,0,0,1,0,0
2016,JPN,Fencing,Kenta Tokunan,0,0,1,0,0
2016,JPN,Football,Wataru Endo,0,0,1,0,0
2016,JPN,Football,Wataru Endo,0,0,1,0,0
2016,JPN,Gymnastics,Aiko Sugihara,0,0,5,0,0
2016,JPN,Gymnastics,Aiko Sugihara,0,0,5,0,0
2016,JPN,Gymnastics,Kohei Uchimura,0,2,5,0,2
2016,JPN,Gymnastics,Kohei Uchimura,0,2,5,0,2
2016,JPN,Gymnastics,Mai Murakami,0,0,5,0,0
2016,JPN,Gymnastics,Mai Murakami,0,0,5,0,0
2016,JPN,Hockey,Aki Mitsuhashi,0,0,1,0,0
2016,JPN,Hockey,Aki Mitsuhashi,0,0,1,0,0
2016,JPN,Hockey,Emi Nishikori,0,0,1,0,0
2016,JPN,Hockey,Emi Nishikori,0,0,1,0,0
2016,JPN,Hockey,Hazuki Nagai,0,0,1,0,0
2016,JPN,Hockey,Hazuki Nagai,0,0,1,0,0
2016,JPN,Hockey,Sakiyo Asano,0,0,1,0,0
2016,JPN,Hockey,Sakiyo Asano,0,0,1,0,0
2016,JPN,Hockey,Yukari Mano,0,0,1,0,0
2016,JPN,Hockey,Yukari Mano,0,0,1,0,0
2016,JPN,Hockey,Yuri Nagai,0,0,1,0,0
2016,JPN,Hockey,Yuri Nagai,0,0,1,0,0
2016,JPN,Judo,Hisayoshi Harasawa,0,0,0,1,1
2016,JPN,Judo,Hisayoshi Harasawa,0,0,0,1,1
2016,JPN,Judo,Miku Tashiro,0,0,1,0,0
2016,JPN,Judo,Miku Tashiro,0,0,1,0,0
2016,JPN,Judo,Naohisa Takato,1,0,0,0,1
2016,JPN,Judo,Naohisa Takato,1,0,0,0,1
2016,JPN,Judo,Shohei Ono,0,1,0,0,1
2016,JPN,Judo,Shohei Ono,0,1,0,0,1
2016,JPN,Judo,Takanori Nagase,1,0,0,0,1
2016,JPN,Judo,Takanori Nagase,1,0,0,0,1
2016,JPN,Modern Pentathlon,Shohei Iwamoto,0,0,1,0,0
2016,JPN,Modern Pentathlon,Shohei Iwamoto,0,0,1,0,0
2016,JPN,Rhythmic Gymnastics,Rie Matsubara,0,0,1,0,0
2016,JPN,Rhythmic Gymnastics,Rie Matsubara,0,0,1,0,0
2016,JPN,Rhythmic Gymnastics,Sakura Noshitani,0,0,1,0,0
2016,JPN,Rhythmic Gymnastics,Sakura Noshitani,0,0,1,0,0
2016,JPN,Rhythmic Gymnastics,Sayuri Sugimoto,0,0,1,0,0
2016,JPN,Rhythmic Gymnastics,Sayuri Sugimoto,0,0,1,0,0
2016,JPN,Rowing,Ayami Oishi,0,0,1,0,0
2016,JPN,Rowing,Ayami Oishi,0,0,1,0,0
2016,JPN,Rowing,Chiaki Tomita,0,0,1,0,0
2016,JPN,Rowing,Chiaki Tomita,0,0,1,0,0
2016,JPN,Rugby Sevens,Chiharu Nakamura,0,0,1,0,0
2016,JPN,Rugby Sevens,Chiharu Nakamura,0,0,1,0,0
2016,JPN,Rugby Sevens,Kazuhiro Goya,0,0,1,0,0
2016,JPN,Rugby Sevens,Kazuhiro Goya,0,0,1,0,0
2016,JPN,Rugby Sevens,Kazushi Hano,0,0,1,0,0
2016,JPN,Rugby Sevens,Kazushi Hano,0,0,1,0,0
2016,JPN,Rugby Sevens,Lote Tuqiri,0,0,1,0,0
2016,JPN,Rugby Sevens,Lote Tuqiri,0,0,1,0,0
2016,JPN,Rugby Sevens,Masakatsu Hikosaka,0,0,1,0,0
2016,JPN,Rugby Sevens,Masakatsu Hikosaka,0,0,1,0,0
2016,JPN,Rugby Sevens,Mifuyu Koide,0,0,1,0,0
2016,JPN,Rugby Sevens,Mifuyu Koide,0,0,1,0,0
2016,JPN,Rugby Sevens,Mio Yamanaka,0,0,1,0,0
2016,JPN,Rugby Sevens,Mio Yamanaka,0,0,1,0,0
2016,JPN,Sailing,Makoto Tomizawa,0,0,1,0,0
2016,JPN,Sailing,Makoto Tomizawa,0,0,1,0,0
2016,JPN,Sailing,Manami Doi,0,0,1,0,0
2016,JPN,Sailing,Manami Doi,0,0,1,0,0
2016,JPN,Sailing,Miho Yoshioka,0,0,1,0,0
2016,JPN,Sailing,Miho Yoshioka,0,0,1,0,0
2016,JPN,Sailing,Sena Takano,0,0,1,0,0
2016,JPN,Sailing,Sena Takano,0,0,1,0,0
2016,JPN,Shooting,Naoko Ishihara,0,0,1,0,0
2016,JPN,Shooting,Naoko Ishihara,0,0,1,0,0
2016,JPN,Shooting,Naoya Okada,0,0,1,0,0
2016,JPN,Shooting,Naoya Okada,0,0,1,0,0
2016,JPN,Shooting,Yukie Nakayama,0,0,1,0,0
2016,JPN,Shooting,Yukie Nakayama,0,0,1,0,0
2016,JPN,Swimming,Chihiro Igarashi,0,0,3,0,0
2016,JPN,Swimming,Chihiro Igarashi,0,0,3,0,0
2016,JPN,Swimming,Daiya Seto,1,0,1,0,1
2016,JPN,Swimming,Daiya Seto,1,0,1,0,1
2016,JPN,Swimming,Ippei Watanabe,0,0,2,0,0
2016,JPN,Swimming,Ippei Watanabe,0,0,2,0,0
2016,JPN,Swimming,Kanako Watanabe,0,0,2,0,0
2016,JPN,Swimming,Kanako Watanabe,0,0,2,0,0
2016,JPN,Swimming,Katsumi Nakamura,0,0,4,0,0
2016,JPN,Swimming,Katsumi Nakamura,0,0,4,0,0
2016,JPN,Swimming,Kosuke Hagino,1,1,1,1,3
2016,JPN,Swimming,Kosuke Hagino,1,1,1,1,3
2016,JPN,Swimming,Miho Teramura,0,0,1,0,0
2016,JPN,Swimming,Miho Teramura,0,0,1,0,0
2016,JPN,Swimming,Natsumi Sakai,0,0,3,0,0
2016,JPN,Swimming,Natsumi Sakai,0,0,3,0,0
2016,JPN,Swimming,Rikako Ikee,0,0,7,0,0
2016,JPN,Swimming,Rikako Ikee,0,0,7,0,0
2016,JPN,Swimming,Ryosuke Irie,0,0,3,0,0
2016,JPN,Swimming,Ryosuke Irie,0,0,3,0,0
2016,JPN,Swimming,Satomi Suzuki,0,0,2,0,0
2016,JPN,Swimming,Satomi Suzuki,0,0,2,0,0
2016,JPN,Swimming,Shinri Shioura,0,0,3,0,0
2016,JPN,Swimming,Shinri Shioura,0,0,3,0,0
2016,JPN,Swimming,Suzuka Hasegawa,0,0,1,0,0
2016,JPN,Swimming,Suzuka Hasegawa,0,0,1,0,0
2016,JPN,Swimming,Yumi Kida,0,0,1,0,0
2016,JPN,Swimming,Yumi Kida,0,0,1,0,0
2016,JPN,Synchronized Swimming,Yukiko Inui,2,0,0,0,2
2016,JPN,Synchronized Swimming,Yukiko Inui,2,0,0,0,2
2016,JPN,Table Tennis,Jun Mizutani,1,0,0,1,2
2016,JPN,Table Tennis,Jun Mizutani,1,0,0,1,2
2016,JPN,Table Tennis,Kasumi Ishikawa,1,0,1,0,1
2016,JPN,Table Tennis,Kasumi Ishikawa,1,0,1,0,1
2016,JPN,Table Tennis,Koki Niwa,0,0,1,1,1
2016,JPN,Table Tennis,Koki Niwa,0,0,1,1,1
2016,JPN,Table Tennis,Mima Ito,1,0,0,0,1
2016,JPN,Table Tennis,Mima Ito,1,0,0,0,1
2016,JPN,Taekwondo,Mayu Hamada,0,0,1,0,0
2016,JPN,Taekwondo,Mayu Hamada,0,0,1,0,0
2016,JPN,Tennis,Kei Nishikori,1,0,0,0,1
2016,JPN,Tennis,Kei Nishikori,1,0,0,0,1
2016,JPN,Tennis,Misaki Doi,0,0,2,0,0
2016,JPN,Tennis,Misaki Doi,0,0,2,0,0
2016,JPN,Tennis,Nao Hibino,0,0,1,0,0
2016,JPN,Tennis,Nao Hibino,0,0,1,0,0
2016,JPN,Tennis,Taro Daniel,0,0,1,0,0
2016,JPN,Tennis,Taro Daniel,0,0,1,0,0
2016,JPN,Tennis,Yuichi Sugita,0,0,1,0,0
2016,JPN,Tennis,Yuichi Sugita,0,0,1,0,0
2016,JPN,Volleyball,Erika Araki,0,0,1,0,0
2016,JPN,Volleyball,Erika Araki,0,0,1,0,0
2016,JPN,Volleyball,Haruyo Shimamura,0,0,1,0,0
2016,JPN,Volleyball,Haruyo Shimamura,0,0,1,0,0
2016,JPN,Volleyball,Kanami Tashiro,0,0,1,0,0
2016,JPN,Volleyball,Kanami Tashiro,0,0,1,0,0
2016,JPN,Volleyball,Yuki Ishii,0,0,1,0,0
2016,JPN,Volleyball,Yuki Ishii,0,0,1,0,0
2016,JPN,Water Polo,Atsushi Arai,0,0,1,0,0
2016,JPN,Water Polo,Atsushi Arai,0,0,1,0,0
2016,JPN,Water Polo,Katsuyuki Tanamura,0,0,1,0,0
2016,JPN,Water Polo,Katsuyuki Tanamura,0,0,1,0,0
2016,JPN,Water Polo,Keigo Okawa,0,0,1,0,0
2016,JPN,Water Polo,Keigo Okawa,0,0,1,0,0
2016,JPN,Water Polo,Mitsuaki Shiga,0,0,1,0,0
2016,JPN,Water Polo,Mitsuaki Shiga,0,0,1,0,0
2016,JPN,Water Polo,Seiya Adachi,0,0,1,0,0
2016,JPN,Water Polo,Seiya Adachi,0,0,1,0,0
2016,JPN,Water Polo,Yusuke Shimizu,0,0,1,0,0
2016,JPN,Water Polo,Yusuke Shimizu,0,0,1,0,0
2016,JPN,Weightlifting,Hiromi Miyake,1,0,0,0,1
2016,JPN,Weightlifting,Hiromi Miyake,1,0,0,0,1
2016,JPN,Weightlifting,Kanae Yagi,0,0,1,0,0
2016,JPN,Weightlifting,Kanae Yagi,0,0,1,0,0
2016,JPN,Weightlifting,Yoichi Itokazu,0,0,1,0,0
2016,JPN,Weightlifting,Yoichi Itokazu,0,0,1,0,0
2016,JPN,Wrestling,Rei Higuchi,0,0,0,1,1
2016,JPN,Wrestling,Rei Higuchi,0,0,0,1,1
2016,JPN,Wrestling,Risako Kawai,0,1,0,0,1
2016,JPN,Wrestling,Risako Kawai,0,1,0,0,1
2016,JPN,Wrestling,Sara Dosho,0,1,0,0,1
2016,JPN,Wrestling,Sara Dosho,0,1,0,0,1
2016,JPN,Wrestling,Sohsuke Takatani,0,0,1,0,0
2016,JPN,Wrestling,Sohsuke Takatani,0,0,1,0,0
2016,KAZ,Cycling,Artyom Zakharov,0,0,1,0,0
2016,KAZ,Cycling,Artyom Zakharov,0,0,1,0,0
2016,KAZ,Judo,Didar Khamza,0,0,1,0,0
2016,KAZ,Judo,Didar Khamza,0,0,1,0,0
2016,KAZ,Judo,Yeldos Smetov,0,0,0,1,1
2016,KAZ,Judo,Yeldos Smetov,0,0,0,1,1
2016,KAZ,Judo,Zhansay Smagulov,0,0,1,0,0
2016,KAZ,Judo,Zhansay Smagulov,0,0,1,0,0
2016,KAZ,Modern Pentathlon,Pavel Ilyashenko,0,0,1,0,0
2016,KAZ,Modern Pentathlon,Pavel Ilyashenko,0,0,1,0,0
2016,KAZ,Modern Pentathlon,Yelena Potapenko,0,0,1,0,0
2016,KAZ,Modern Pentathlon,Yelena Potapenko,0,0,1,0,0
2016,KAZ,Rowing,Vladislav Yakovlev,0,0,1,0,0
2016,KAZ,Rowing,Vladislav Yakovlev,0,0,1,0,0
2016,KAZ,Shooting,Mariya Dmitriyenko,0,0,1,0,0
2016,KAZ,Shooting,Mariya Dmitriyenko,0,0,1,0,0
2016,KAZ,Synchronized Swimming,Yekaterina Nemich,0,0,1,0,0
2016,KAZ,Synchronized Swimming,Yekaterina Nemich,0,0,1,0,0
2016,KAZ,Taekwondo,Ruslan Zhaparov,0,0,1,0,0
2016,KAZ,Taekwondo,Ruslan Zhaparov,0,0,1,0,0
2016,KAZ,Tennis,Yaroslava Shvedova,0,0,2,0,0
2016,KAZ,Tennis,Yaroslava Shvedova,0,0,2,0,0
2016,KAZ,Wrestling,Elmira Syzdykova,1,0,0,0,1
2016,KAZ,Wrestling,Elmira Syzdykova,1,0,0,0,1
2016,KAZ,Wrestling,Nurislam Sanayev,0,0,1,0,0
2016,KAZ,Wrestling,Nurislam Sanayev,0,0,1,0,0
2016,KEN,Athletics,Eliud Kipchoge,0,1,0,0,1
2016,KEN,Athletics,Eliud Kipchoge,0,1,0,0,1
2016,KEN,Athletics,Hellen Obiri,0,0,0,1,1
2016,KEN,Athletics,Hellen Obiri,0,0,0,1,1
2016,KEN,Athletics,Julius Yego,0,0,0,1,1
2016,KEN,Athletics,Julius Yego,0,0,0,1,1
2016,KEN,Athletics,Ronald Kwemoi,0,0,1,0,0
2016,KEN,Athletics,Ronald Kwemoi,0,0,1,0,0
2016,KEN,Athletics,Winny Chebet,0,0,1,0,0
2016,KEN,Athletics,Winny Chebet,0,0,1,0,0
2016,KEN,Rugby Sevens,Andrew Amonde,0,0,1,0,0
2016,KEN,Rugby Sevens,Andrew Amonde,0,0,1,0,0
2016,KEN,Rugby Sevens,Billy Odhiambo,0,0,1,0,0
2016,KEN,Rugby Sevens,Billy Odhiambo,0,0,1,0,0
2016,KEN,Rugby Sevens,Collins Injera,0,0,1,0,0
2016,KEN,Rugby Sevens,Collins Injera,0,0,1,0,0
2016,KGZ,Athletics,Darya Maslova,0,0,1,0,0
2016,KGZ,Athletics,Darya Maslova,0,0,1,0,0
2016,KGZ,Swimming,Denis Petrashov,0,0,1,0,0
2016,KGZ,Swimming,Denis Petrashov,0,0,1,0,0
2016,KOS,Athletics,Musa Hajdari,0,0,1,0,0
2016,KOS,Athletics,Musa Hajdari,0,0,1,0,0
2016,KOS,Judo,Majlinda Kelmendi,0,1,0,0,1
2016,KOS,Judo,Majlinda Kelmendi,0,1,0,0,1
2016,KOS,Judo,Nora Gjakova,0,0,1,0,0
2016,KOS,Judo,Nora Gjakova,0,0,1,0,0
2016,KSA,Judo,Sulaiman Hamad,0,0,1,0,0
2016,KSA,Judo,Sulaiman Hamad,0,0,1,0,0
2016,LAO,Judo,Soukphaxay Sithisane,0,0,1,0,0
2016,LAO,Judo,Soukphaxay Sithisane,0,0,1,0,0
2016,LAO,Swimming,Santisouk Inthavong,0,0,1,0,0
2016,LAO,Swimming,Santisouk Inthavong,0,0,1,0,0
2016,LAT,Athletics,Arnis Rumbenieks,0,0,1,0,0
2016,LAT,Athletics,Arnis Rumbenieks,0,0,1,0,0
2016,LAT,Athletics,Madara Palameika,0,0,1,0,0
2016,LAT,Athletics,Madara Palameika,0,0,1,0,0
2016,LAT,Wrestling,Anastasija Grigorjeva,0,0,1,0,0
2016,LAT,Wrestling,Anastasija Grigorjeva,0,0,1,0,0
2016,LBR,Athletics,Emmanuel Matadi,0,0,2,0,0
2016,LBR,Athletics,Emmanuel Matadi,0,0,2,0,0
2016,LCA,Athletics,Levern Spencer,0,0,1,0,0
2016,LCA,Athletics,Levern Spencer,0,0,1,0,0
2016,LIB,Judo,Nacif Elias,0,0,1,0,0
2016,LIB,Judo,Nacif Elias,0,0,1,0,0
2016,LIB,Shooting,Ray Bassil,0,0,1,0,0
2016,LIB,Shooting,Ray Bassil,0,0,1,0,0
2016,LIB,Table Tennis,Mariana Sahakian,0,0,1,0,0
2016,LIB,Table Tennis,Mariana Sahakian,0,0,1,0,0
2016,LIE,Swimming,Christoph Meier,0,0,1,0,0
2016,LIE,Swimming,Christoph Meier,0,0,1,0,0
2016,LIE,Swimming,Julia Hassler,0,0,1,0,0
2016,LIE,Swimming,Julia Hassler,0,0,1,0,0
2016,LTU,Canoeing,Ignas Navakauskas,0,0,1,0,0
2016,LTU,Canoeing,Ignas Navakauskas,0,0,1,0,0
2016,LTU,Gymnastics,Robert Tvorogal,0,0,7,0,0
2016,LTU,Gymnastics,Robert Tvorogal,0,0,7,0,0
2016,LTU,Modern Pentathlon,Justinas Kinderis,0,0,1,0,0
2016,LTU,Modern Pentathlon,Justinas Kinderis,0,0,1,0,0
2016,LTU,Rowing,Armandas Kelmelis,0,0,1,0,0
2016,LTU,Rowing,Armandas Kelmelis,0,0,1,0,0
2016,LTU,Rowing,Saulius Ritter,0,0,0,1,1
2016,LTU,Rowing,Saulius Ritter,0,0,0,1,1
2016,LTU,Sailing,Juozas Bernotas,0,0,1,0,0
2016,LTU,Sailing,Juozas Bernotas,0,0,1,0,0
2016,LTU,Swimming,Giedrius Titenis,0,0,3,0,0
2016,LTU,Swimming,Giedrius Titenis,0,0,3,0,0
2016,LTU,Swimming,Simonas Bilis,0,0,3,0,0
2016,LTU,Swimming,Simonas Bilis,0,0,3,0,0
2016,LUX,Cycling,Christine Majerus,0,0,2,0,0
2016,LUX,Cycling,Christine Majerus,0,0,2,0,0
2016,MAR,Athletics,Rababe Arafi,0,0,2,0,0
2016,MAR,Athletics,Rababe Arafi,0,0,2,0,0
2016,MAR,Athletics,Soufiyan Bouqantar,0,0,1,0,0
2016,MAR,Athletics,Soufiyan Bouqantar,0,0,1,0,0
2016,MAR,Boxing,Mohamed Hamout,0,0,1,0,0
2016,MAR,Boxing,Mohamed Hamout,0,0,1,0,0
2016,MAR,Equestrianism,Abdelkebir Ouaddar,0,0,1,0,0
2016,MAR,Equestrianism,Abdelkebir Ouaddar,0,0,1,0,0
2016,MAR,Fencing,Youssra Zakarani,0,0,1,0,0
2016,MAR,Fencing,Youssra Zakarani,0,0,1,0,0
2016,MAR,Golf,Maha Haddioui,0,0,1,0,0
2016,MAR,Golf,Maha Haddioui,0,0,1,0,0
2016,MAR,Judo,Assmaa Niang,0,0,1,0,0
2016,MAR,Judo,Assmaa Niang,0,0,1,0,0
2016,MAS,Diving,Pandelela Pamg,0,0,1,1,1
2016,MAS,Diving,Pandelela Pamg,0,0,1,1,1
2016,MAS,Golf,Gavin Green,0,0,1,0,0
2016,MAS,Golf,Gavin Green,0,0,1,0,0
2016,MAS,Golf,Kelly Tan,0,0,1,0,0
2016,MAS,Golf,Kelly Tan,0,0,1,0,0
2016,MAS,Swimming,Welson Sim,0,0,3,0,0
2016,MAS,Swimming,Welson Sim,0,0,3,0,0
2016,MAW,Archery,Areneo David,0,0,1,0,0
2016,MAW,Archery,Areneo David,0,0,1,0,0
2016,MDA,Archery,Alexandra Mirca,0,0,1,0,0
2016,MDA,Archery,Alexandra Mirca,0,0,1,0,0
2016,MDA,Athletics,Serghei Marghiev,0,0,1,0,0
2016,MDA,Athletics,Serghei Marghiev,0,0,1,0,0
2016,MDA,Canoeing,Serghei Tarnovschi,0,0,1,0,0
2016,MDA,Canoeing,Serghei Tarnovschi,0,0,1,0,0
2016,MDA,Swimming,Alexei Sancov,0,0,1,0,0
