NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total_Bronze,Total_Gold,Total_No_Medal,Total_Silver,Gold_Ratio,Silver_Ratio,Bronze_Ratio,No_Medal_Ratio
ESP,Archery,0,3,37,0,108,145,2209,130,0.020689655172413793,0.0,0.0,0.016749660479855138
ESP,Art Competitions,0,0,3,0,51,49,3422,56,0.0,0.0,0.0,0.0008766803039158387
ESP,Artistic Gymnastics,0,0,57,1,21,20,1000,20,0.0,0.05,0.0,0.057
ESP,Artistic Swimming,0,0,10,0,10,10,94,10,0.0,0.0,0.0,0.10638297872340426
ESP,Athletics,7,3,679,5,1373,1422,36743,1404,0.002109704641350211,0.0035612535612535613,0.005098324836125273,0.018479710421032577
ESP,Badminton,0,1,12,0,68,62,1446,62,0.016129032258064516,0.0,0.0,0.008298755186721992
ESP,Baseball,0,0,20,0,112,112,558,112,0.0,0.0,0.0,0.035842293906810034
ESP,Basketball,12,0,155,48,380,389,3672,383,0.0,0.12532637075718014,0.031578947368421054,0.042211328976034856
ESP,Basque Pelota,0,2,0,0,0,2,0,0,1.0,0.0,0.0,0.0
ESP,Beach Volleyball,0,0,20,2,28,28,576,28,0.0,0.07142857142857142,0.0,0.034722222222222224
ESP,Boxing,2,0,72,2,467,265,5340,264,0.0,0.007575757575757576,0.004282655246252677,0.01348314606741573
ESP,Canoe Slalom,0,0,3,1,4,4,79,4,0.0,0.25,0.0,0.0379746835443038
ESP,Canoe Sprint,0,0,10,5,22,22,346,22,0.0,0.22727272727272727,0.0,0.028901734104046242
ESP,Canoeing,6,7,168,11,389,388,5006,388,0.01804123711340206,0.028350515463917526,0.015424164524421594,0.033559728326008786
ESP,Cycling,8,5,213,6,414,424,9596,425,0.01179245283018868,0.01411764705882353,0.01932367149758454,0.02219674864526886
ESP,Cycling Mountain Bike,1,0,2,0,2,2,70,2,0.0,0.0,0.5,0.02857142857142857
ESP,Cycling Road,0,0,9,0,4,4,247,4,0.0,0.0,0.0,0.03643724696356275
ESP,Cycling Track,0,0,4,0,29,29,339,29,0.0,0.0,0.0,0.011799410029498525
ESP,Diving,0,0,39,0,155,154,2558,154,0.0,0.0,0.0,0.01524628616106333
ESP,Equestrian,0,0,8,0,14,15,377,14,0.0,0.0,0.0,0.021220159151193633
ESP,Equestrianism,1,3,192,7,319,324,5379,322,0.009259259259259259,0.021739130434782608,0.003134796238244514,0.03569436698271054
ESP,Fencing,1,0,140,0,596,624,9321,613,0.0,0.0,0.0016778523489932886,0.01501984765583092
ESP,Football,0,17,112,57,587,559,5650,557,0.03041144901610018,0.10233393177737882,0.0,0.01982300884955752
ESP,Golf,0,0,8,0,18,17,315,17,0.0,0.0,0.0,0.025396825396825397
ESP,Gymnastics,1,2,629,1,719,791,24451,746,0.0025284450063211127,0.0013404825737265416,0.0013908205841446453,0.025724919226207517
ESP,Handball,76,0,161,0,384,381,2880,388,0.0,0.0,0.19791666666666666,0.05590277777777778
ESP,Hockey,14,15,325,48,548,554,4213,534,0.02707581227436823,0.0898876404494382,0.025547445255474453,0.07714217896985522
ESP,Judo,2,3,76,1,325,162,3668,162,0.018518518518518517,0.006172839506172839,0.006153846153846154,0.020719738276990186
ESP,Karate,0,1,0,1,16,8,49,8,0.125,0.125,0.0,0.0
ESP,Marathon Swimming,0,0,2,0,2,2,45,2,0.0,0.0,0.0,0.044444444444444446
ESP,Modern Pentathlon,0,0,31,0,64,64,1557,64,0.0,0.0,0.0,0.01991008349389852
ESP,Polo,0,0,6,5,20,22,28,25,0.0,0.2,0.0,0.21428571428571427
ESP,Rhythmic Gymnastics,0,6,37,6,50,50,604,50,0.12,0.12,0.0,0.061258278145695365
ESP,Rowing,0,0,139,2,1038,1026,8032,1025,0.0,0.001951219512195122,0.0,0.017305776892430277
ESP,Rugby Sevens,0,0,25,0,51,51,459,50,0.0,0.0,0.0,0.054466230936819175
ESP,Sailing,4,24,177,8,382,465,5659,430,0.05161290322580645,0.018604651162790697,0.010471204188481676,0.03127761088531543
ESP,Shooting,1,2,217,2,425,428,10743,429,0.004672897196261682,0.004662004662004662,0.002352941176470588,0.020199199478730338
ESP,Skateboarding,0,0,4,0,4,4,68,4,0.0,0.0,0.0,0.058823529411764705
ESP,Sport Climbing,0,1,0,0,2,2,34,2,0.5,0.0,0.0,0.0
ESP,Swimming,4,2,450,2,1027,1169,21573,1060,0.001710863986313088,0.0018867924528301887,0.0038948393378773127,0.020859407592824362
ESP,Synchronized Swimming,8,0,29,12,70,74,694,71,0.0,0.16901408450704225,0.11428571428571428,0.04178674351585014
ESP,Table Tennis,0,0,28,0,70,64,2020,64,0.0,0.0,0.0,0.013861386138613862
ESP,Taekwondo,1,1,14,5,80,48,560,48,0.020833333333333332,0.10416666666666667,0.0125,0.025
ESP,Tennis,6,3,122,11,136,114,2788,114,0.02631578947368421,0.09649122807017543,0.04411764705882353,0.04375896700143472
ESP,Triathlon,0,0,35,1,17,17,660,17,0.0,0.058823529411764705,0.0,0.05303030303030303
ESP,Volleyball,0,0,36,0,349,346,2651,346,0.0,0.0,0.0,0.013579781214635987
ESP,Water Polo,0,12,187,37,386,376,2997,373,0.031914893617021274,0.09919571045576407,0.0,0.06239572906239573
ESP,Weightlifting,1,0,37,0,230,231,3446,227,0.0,0.0,0.004347826086956522,0.010737086477074869
ESP,Wrestling,1,0,39,0,504,431,6075,433,0.0,0.0,0.001984126984126984,0.006419753086419753
EST,Archery,0,0,5,0,108,145,2209,130,0.0,0.0,0.0,0.0022634676324128564
EST,Athletics,3,2,126,1,1373,1422,36743,1404,0.0014064697609001407,0.0007122507122507123,0.0021849963583394027,0.003429224614212231
EST,Badminton,0,0,7,0,68,62,1446,62,0.0,0.0,0.0,0.004840940525587829
EST,Basketball,0,0,8,0,380,389,3672,383,0.0,0.0,0.0,0.002178649237472767
EST,Beach Volleyball,0,0,4,0,28,28,576,28,0.0,0.0,0.0,0.006944444444444444
EST,Boxing,0,0,3,1,467,265,5340,264,0.0,0.003787878787878788,0.0,0.0005617977528089888
EST,Canoeing,0,0,6,0,389,388,5006,388,0.0,0.0,0.0,0.0011985617259288853
EST,Cycling,0,1,30,0,414,424,9596,425,0.0023584905660377358,0.0,0.0,0.003126302626094206
EST,Cycling Mountain Bike,0,0,1,0,2,2,70,2,0.0,0.0,0.0,0.014285714285714285
EST,Cycling Road,0,0,3,0,4,4,247,4,0.0,0.0,0.0,0.012145748987854251
EST,Equestrian,0,0,1,0,14,15,377,14,0.0,0.0,0.0,0.002652519893899204
EST,Fencing,1,4,33,0,596,624,9321,613,0.00641025641025641,0.0,0.0016778523489932886,0.003540392661731574
EST,Football,0,0,11,0,587,559,5650,557,0.0,0.0,0.0,0.0019469026548672567
EST,Judo,3,0,7,0,325,162,3668,162,0.0,0.0,0.009230769230769232,0.0019083969465648854
EST,Modern Pentathlon,0,0,3,0,64,64,1557,64,0.0,0.0,0.0,0.0019267822736030828
EST,Rhythmic Gymnastics,0,0,1,0,50,50,604,50,0.0,0.0,0.0,0.0016556291390728477
EST,Rowing,4,0,33,3,1038,1026,8032,1025,0.0,0.002926829268292683,0.0038535645472061657,0.004108565737051793
EST,Sailing,7,0,26,0,382,465,5659,430,0.0,0.0,0.01832460732984293,0.004594451316487012
EST,Shooting,0,0,14,0,425,428,10743,429,0.0,0.0,0.0,0.0013031741599180862
EST,Swimming,0,0,54,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0025031289111389237
EST,Table Tennis,0,0,1,0,70,64,2020,64,0.0,0.0,0.0,0.0004950495049504951
EST,Tennis,0,0,8,0,136,114,2788,114,0.0,0.0,0.0,0.0028694404591104736
EST,Triathlon,0,0,4,0,17,17,660,17,0.0,0.0,0.0,0.006060606060606061
EST,Weightlifting,3,1,13,3,230,231,3446,227,0.004329004329004329,0.013215859030837005,0.013043478260869565,0.0037724898432965758
EST,Wrestling,4,5,43,2,504,431,6075,433,0.01160092807424594,0.004618937644341801,0.007936507936507936,0.007078189300411522
ETH,Athletics,24,23,267,10,1373,1422,36743,1404,0.01617440225035162,0.007122507122507123,0.01747997086671522,0.007266690253925918
ETH,Boxing,0,0,27,0,467,265,5340,264,0.0,0.0,0.0,0.0050561797752808986
ETH,Cycling,0,0,56,0,414,424,9596,425,0.0,0.0,0.0,0.005835764902042517
ETH,Cycling Road,0,0,1,0,4,4,247,4,0.0,0.0,0.0,0.004048582995951417
ETH,Swimming,0,0,5,0,1027,1169,21573,1060,0.0,0.0,0.0,0.00023177119547582625
ETH,Taekwondo,0,0,1,0,80,48,560,48,0.0,0.0,0.0,0.0017857142857142857
EUN,Archery,4,0,8,0,108,145,2209,130,0.0,0.0,0.037037037037037035,0.0036215482118605704
EUN,Athletics,3,12,85,14,1373,1422,36743,1404,0.008438818565400843,0.009971509971509971,0.0021849963583394027,0.0023133658111749176
EUN,Badminton,0,0,2,0,68,62,1446,62,0.0,0.0,0.0,0.0013831258644536654
EUN,Basketball,0,12,12,0,380,389,3672,383,0.030848329048843187,0.0,0.0,0.0032679738562091504
EUN,Boxing,1,0,10,1,467,265,5340,264,0.0,0.003787878787878788,0.0021413276231263384,0.0018726591760299626
EUN,Canoeing,0,2,20,1,389,388,5006,388,0.005154639175257732,0.002577319587628866,0.0,0.003995205753096284
EUN,Cycling,0,0,21,0,414,424,9596,425,0.0,0.0,0.0,0.002188411838265944
EUN,Diving,1,0,5,2,155,154,2558,154,0.0,0.012987012987012988,0.0064516129032258064,0.001954652071931196
EUN,Equestrianism,0,0,15,0,319,324,5379,322,0.0,0.0,0.0,0.002788622420524261
EUN,Fencing,6,5,19,2,596,624,9321,613,0.008012820512820512,0.0032626427406199023,0.010067114093959731,0.002038407896148482
EUN,Gymnastics,4,19,56,5,719,791,24451,746,0.02402022756005057,0.006702412868632708,0.005563282336578581,0.002290294875465216
EUN,Handball,13,12,0,0,384,381,2880,388,0.031496062992125984,0.0,0.033854166666666664,0.0
EUN,Hockey,0,0,15,0,548,554,4213,534,0.0,0.0,0.0,0.0035604082601471635
EUN,Judo,2,2,9,0,325,162,3668,162,0.012345679012345678,0.0,0.006153846153846154,0.0024536532170119957
EUN,Modern Pentathlon,1,0,2,3,64,64,1557,64,0.0,0.046875,0.015625,0.0012845215157353885
EUN,Rhythmic Gymnastics,1,1,0,0,50,50,604,50,0.02,0.0,0.02,0.0
EUN,Rowing,4,0,43,0,1038,1026,8032,1025,0.0,0.0,0.0038535645472061657,0.0053535856573705175
EUN,Sailing,0,0,14,0,382,465,5659,430,0.0,0.0,0.0,0.0024739353242622373
EUN,Shooting,1,5,20,2,425,428,10743,429,0.011682242990654205,0.004662004662004662,0.002352941176470588,0.0018616773713115518
EUN,Swimming,5,11,37,14,1027,1169,21573,1060,0.009409751924721984,0.013207547169811321,0.004868549172346641,0.0017151068465211144
EUN,Synchronized Swimming,0,0,5,0,70,74,694,71,0.0,0.0,0.0,0.007204610951008645
EUN,Table Tennis,0,0,11,0,70,64,2020,64,0.0,0.0,0.0,0.005445544554455445
EUN,Tennis,3,0,4,0,136,114,2788,114,0.0,0.0,0.022058823529411766,0.0014347202295552368
EUN,Volleyball,0,0,12,8,349,346,2651,346,0.0,0.023121387283236993,0.0,0.004526593738211996
EUN,Water Polo,13,0,0,0,386,376,2997,373,0.0,0.0,0.03367875647668394,0.0
EUN,Weightlifting,0,5,1,4,230,231,3446,227,0.021645021645021644,0.01762114537444934,0.0,0.0002901915264074289
EUN,Wrestling,5,6,4,5,504,431,6075,433,0.013921113689095127,0.011547344110854504,0.00992063492063492,0.0006584362139917696
FIJ,Archery,0,0,3,0,108,145,2209,130,0.0,0.0,0.0,0.001358080579447714
FIJ,Athletics,0,0,66,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0017962605122064067
FIJ,Boxing,0,0,5,0,467,265,5340,264,0.0,0.0,0.0,0.0009363295880149813
FIJ,Cycling,0,0,1,0,414,424,9596,425,0.0,0.0,0.0,0.00010421008753647353
FIJ,Football,0,0,16,0,587,559,5650,557,0.0,0.0,0.0,0.002831858407079646
FIJ,Judo,0,0,18,0,325,162,3668,162,0.0,0.0,0.0,0.004907306434023991
FIJ,Rugby Sevens,13,26,13,0,51,51,459,50,0.5098039215686274,0.0,0.2549019607843137,0.02832244008714597
FIJ,Sailing,0,0,23,0,382,465,5659,430,0.0,0.0,0.0,0.004064322318430819
FIJ,Shooting,0,0,4,0,425,428,10743,429,0.0,0.0,0.0,0.00037233547426231036
FIJ,Swimming,0,0,62,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0028739628239002456
FIJ,Table Tennis,0,0,2,0,70,64,2020,64,0.0,0.0,0.0,0.0009900990099009901
FIJ,Weightlifting,0,0,8,0,230,231,3446,227,0.0,0.0,0.0,0.0023215322112594312
FIN,Archery,2,1,40,3,108,145,2209,130,0.006896551724137931,0.023076923076923078,0.018518518518518517,0.01810774105930285
FIN,Art Competitions,1,3,4,1,51,49,3422,56,0.061224489795918366,0.017857142857142856,0.0196078431372549,0.0011689070718877848
FIN,Athletics,32,64,796,42,1373,1422,36743,1404,0.0450070323488045,0.029914529914529916,0.023306627822286964,0.021663990419943935
FIN,Badminton,0,0,15,0,68,62,1446,62,0.0,0.0,0.0,0.01037344398340249
FIN,Basketball,0,0,23,0,380,389,3672,383,0.0,0.0,0.0,0.006263616557734205
FIN,Boxing,13,2,57,1,467,265,5340,264,0.007547169811320755,0.003787878787878788,0.027837259100642397,0.010674157303370787
FIN,Canoeing,5,7,86,2,389,388,5006,388,0.01804123711340206,0.005154639175257732,0.012853470437017995,0.017179384738314023
FIN,Cycling,0,0,123,0,414,424,9596,425,0.0,0.0,0.0,0.012817840766986244
FIN,Diving,0,0,49,0,155,154,2558,154,0.0,0.0,0.0,0.019155590304925724
FIN,Equestrian,0,0,1,0,14,15,377,14,0.0,0.0,0.0,0.002652519893899204
FIN,Equestrianism,0,0,57,0,319,324,5379,322,0.0,0.0,0.0,0.010596765197992191
FIN,Fencing,0,0,61,0,596,624,9321,613,0.0,0.0,0.0,0.006544362192897757
FIN,Figure Skating,0,2,1,0,9,9,27,9,0.2222222222222222,0.0,0.0,0.037037037037037035
FIN,Football,0,0,51,0,587,559,5650,557,0.0,0.0,0.0,0.009026548672566371
FIN,Golf,0,0,8,0,18,17,315,17,0.0,0.0,0.0,0.025396825396825397
FIN,Gymnastics,60,15,615,24,719,791,24451,746,0.018963337547408345,0.032171581769437,0.08344923504867872,0.025152345507341214
FIN,Hockey,0,0,11,0,548,554,4213,534,0.0,0.0,0.0,0.0026109660574412533
FIN,Judo,0,0,27,0,325,162,3668,162,0.0,0.0,0.0,0.007360959651035987
FIN,Modern Pentathlon,10,0,57,1,64,64,1557,64,0.0,0.015625,0.15625,0.036608863198458574
FIN,Rhythmic Gymnastics,0,0,4,0,50,50,604,50,0.0,0.0,0.0,0.006622516556291391
FIN,Rowing,11,3,77,2,1038,1026,8032,1025,0.0029239766081871343,0.001951219512195122,0.010597302504816955,0.009586653386454183
FIN,Sailing,24,3,147,8,382,465,5659,430,0.0064516129032258064,0.018604651162790697,0.06282722513089005,0.02597632090475349
FIN,Shooting,26,4,309,11,425,428,10743,429,0.009345794392523364,0.02564102564102564,0.0611764705882353,0.028762915386763475
FIN,Skateboarding,0,0,1,0,4,4,68,4,0.0,0.0,0.0,0.014705882352941176
FIN,Swimming,4,0,240,1,1027,1169,21573,1060,0.0,0.0009433962264150943,0.0038948393378773127,0.01112501738283966
FIN,Synchronized Swimming,0,0,1,0,70,74,694,71,0.0,0.0,0.0,0.001440922190201729
FIN,Table Tennis,0,0,1,0,70,64,2020,64,0.0,0.0,0.0,0.0004950495049504951
FIN,Taekwondo,0,0,5,0,80,48,560,48,0.0,0.0,0.0,0.008928571428571428
FIN,Tennis,0,0,11,0,136,114,2788,114,0.0,0.0,0.0,0.003945480631276901
FIN,Weightlifting,2,1,62,0,230,231,3446,227,0.004329004329004329,0.0,0.008695652173913044,0.017991874637260593
FIN,Wrestling,29,27,191,29,504,431,6075,433,0.06264501160092807,0.06697459584295612,0.057539682539682536,0.031440329218106994
FRA,3x3 Basketball,0,0,4,0,8,8,40,8,0.0,0.0,0.0,0.1
FRA,Archery,16,7,112,25,108,145,2209,130,0.04827586206896552,0.19230769230769232,0.14814814814814814,0.05070167496604799
FRA,Art Competitions,5,6,351,4,51,49,3422,56,0.12244897959183673,0.07142857142857142,0.09803921568627451,0.10257159555815312
FRA,Artistic Gymnastics,0,0,33,0,21,20,1000,20,0.0,0.0,0.0,0.033
FRA,Artistic Swimming,0,0,2,0,10,10,94,10,0.0,0.0,0.0,0.02127659574468085
FRA,Athletics,62,14,1450,41,1373,1422,36743,1404,0.009845288326300985,0.0292022792022792,0.04515659140568099,0.03946329913180742
FRA,Badminton,0,0,24,0,68,62,1446,62,0.0,0.0,0.0,0.016597510373443983
FRA,Basketball,12,0,109,50,380,389,3672,383,0.0,0.13054830287206268,0.031578947368421054,0.02968409586056645
FRA,Beach Volleyball,0,0,10,0,28,28,576,28,0.0,0.0,0.0,0.017361111111111112
FRA,Boxing,10,6,152,9,467,265,5340,264,0.022641509433962263,0.03409090909090909,0.021413276231263382,0.02846441947565543
FRA,Canoe Slalom,0,0,4,0,4,4,79,4,0.0,0.0,0.0,0.05063291139240506
FRA,Canoe Sprint,0,0,15,0,22,22,346,22,0.0,0.0,0.0,0.04335260115606936
FRA,Canoeing,31,10,227,12,389,388,5006,388,0.02577319587628866,0.030927835051546393,0.07969151670951156,0.04534558529764283
FRA,Cricket,0,0,0,3,0,12,0,12,0.0,0.25,0.0,0.0
FRA,Croquet,2,4,11,2,2,4,11,2,1.0,1.0,1.0,1.0
FRA,Cycling,43,69,528,39,414,424,9596,425,0.16273584905660377,0.09176470588235294,0.10386473429951691,0.05502292621925802
FRA,Cycling BMX Freestyle,0,0,1,0,2,2,12,2,0.0,0.0,0.0,0.08333333333333333
FRA,Cycling BMX Racing,0,0,5,0,2,2,42,2,0.0,0.0,0.0,0.11904761904761904
FRA,Cycling Mountain Bike,0,0,4,0,2,2,70,2,0.0,0.0,0.0,0.05714285714285714
FRA,Cycling Road,0,0,8,0,4,4,247,4,0.0,0.0,0.0,0.032388663967611336
FRA,Cycling Track,7,0,22,0,29,29,339,29,0.0,0.0,0.2413793103448276,0.06489675516224189
FRA,Diving,0,0,82,1,155,154,2558,154,0.0,0.006493506493506494,0.0,0.03205629397967162
FRA,Equestrian,3,0,19,0,14,15,377,14,0.0,0.0,0.21428571428571427,0.050397877984084884
FRA,Equestrianism,21,32,384,26,319,324,5379,322,0.09876543209876543,0.08074534161490683,0.06583072100313479,0.07138873396542109
FRA,Fencing,90,134,688,100,596,624,9321,613,0.21474358974358973,0.1631321370309951,0.15100671140939598,0.07381182276579766
FRA,Figure Skating,0,0,2,0,9,9,27,9,0.0,0.0,0.0,0.07407407407407407
FRA,Football,0,16,201,16,587,559,5650,557,0.028622540250447227,0.02872531418312388,0.0,0.035575221238938054
FRA,Golf,0,0,15,0,18,17,315,17,0.0,0.0,0.0,0.047619047619047616
FRA,Gymnastics,36,5,1518,17,719,791,24451,746,0.006321112515802781,0.022788203753351208,0.05006954102920723,0.062083350374217826
FRA,Handball,16,62,104,31,384,381,2880,388,0.16272965879265092,0.07989690721649484,0.041666666666666664,0.03611111111111111
FRA,Hockey,0,0,135,0,548,554,4213,534,0.0,0.0,0.0,0.03204367434132447
FRA,Ice Hockey,0,0,7,0,8,8,33,11,0.0,0.0,0.0,0.21212121212121213
FRA,Judo,28,26,92,13,325,162,3668,162,0.16049382716049382,0.08024691358024691,0.08615384615384615,0.025081788440567066
FRA,Karate,0,1,2,0,16,8,49,8,0.125,0.0,0.0,0.04081632653061224
FRA,Marathon Swimming,0,0,3,0,2,2,45,2,0.0,0.0,0.0,0.06666666666666667
FRA,Modern Pentathlon,6,0,90,1,64,64,1557,64,0.0,0.015625,0.09375,0.057803468208092484
FRA,Motorboating,0,1,0,0,0,7,10,0,0.14285714285714285,0.0,0.0,0.0
FRA,Polo,3,0,9,1,20,22,28,25,0.0,0.04,0.15,0.32142857142857145
FRA,Rhythmic Gymnastics,0,0,20,0,50,50,604,50,0.0,0.0,0.0,0.033112582781456956
FRA,Rowing,51,22,420,50,1038,1026,8032,1025,0.021442495126705652,0.04878048780487805,0.049132947976878616,0.052290836653386456
FRA,Rugby,0,15,0,34,16,67,0,79,0.22388059701492538,0.43037974683544306,0.0,0.0
FRA,Rugby Sevens,0,0,25,13,51,51,459,50,0.0,0.26,0.0,0.054466230936819175
FRA,Sailing,50,30,376,41,382,465,5659,430,0.06451612903225806,0.09534883720930233,0.13089005235602094,0.06644283442304294
FRA,Shooting,30,13,537,27,425,428,10743,429,0.030373831775700934,0.06293706293706294,0.07058823529411765,0.04998603741971516
FRA,Skateboarding,0,0,5,0,4,4,68,4,0.0,0.0,0.0,0.07352941176470588
FRA,Sport Climbing,0,0,4,0,2,2,34,2,0.0,0.0,0.0,0.11764705882352941
FRA,Surfing,0,0,4,0,2,2,34,2,0.0,0.0,0.0,0.11764705882352941
FRA,Swimming,34,13,855,34,1027,1169,21573,1060,0.011120615911035072,0.03207547169811321,0.033106134371957155,0.03963287442636629
FRA,Synchronized Swimming,2,0,39,0,70,74,694,71,0.0,0.0,0.02857142857142857,0.056195965417867436
FRA,Table Tennis,2,0,53,1,70,64,2020,64,0.0,0.015625,0.02857142857142857,0.026237623762376237
FRA,Taekwondo,5,0,8,3,80,48,560,48,0.0,0.0625,0.0625,0.014285714285714285
FRA,Tennis,15,12,156,11,136,114,2788,114,0.10526315789473684,0.09649122807017543,0.11029411764705882,0.05595408895265423
FRA,Trampoline Gymnastics,0,0,2,0,2,2,26,2,0.0,0.0,0.0,0.07692307692307693
FRA,Trampolining,0,0,6,0,10,10,122,10,0.0,0.0,0.0,0.04918032786885246
FRA,Triathlon,5,0,31,0,17,17,660,17,0.0,0.0,0.29411764705882354,0.04696969696969697
FRA,Tug-Of-War,0,0,0,5,29,43,55,43,0.0,0.11627906976744186,0.0,0.0
FRA,Volleyball,0,12,46,0,349,346,2651,346,0.03468208092485549,0.0,0.0,0.01735194266314598
FRA,Water Polo,23,7,95,0,386,376,2997,373,0.018617021276595744,0.0,0.05958549222797927,0.031698365031698365
FRA,Weightlifting,4,9,117,3,230,231,3446,227,0.03896103896103896,0.013215859030837005,0.017391304347826087,0.033952408589669185
FRA,Wrestling,9,4,181,4,504,431,6075,433,0.009280742459396751,0.009237875288683603,0.017857142857142856,0.029794238683127573
FSM,Athletics,0,0,11,0,1373,1422,36743,1404,0.0,0.0,0.0,0.00029937675203440113
FSM,Boxing,0,0,1,0,467,265,5340,264,0.0,0.0,0.0,0.00018726591760299626
FSM,Swimming,0,0,12,0,1027,1169,21573,1060,0.0,0.0,0.0,0.000556250869141983
FSM,Weightlifting,0,0,4,0,230,231,3446,227,0.0,0.0,0.0,0.0011607661056297156
FSM,Wrestling,0,0,1,0,504,431,6075,433,0.0,0.0,0.0,0.0001646090534979424
GAB,Athletics,0,0,23,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0006259695724355659
GAB,Boxing,0,0,12,0,467,265,5340,264,0.0,0.0,0.0,0.0022471910112359553
GAB,Football,0,0,15,0,587,559,5650,557,0.0,0.0,0.0,0.002654867256637168
GAB,Judo,0,0,11,0,325,162,3668,162,0.0,0.0,0.0,0.0029989094874591058
GAB,Swimming,0,0,3,0,1027,1169,21573,1060,0.0,0.0,0.0,0.00013906271728549575
GAB,Taekwondo,0,0,3,1,80,48,560,48,0.0,0.020833333333333332,0.0,0.005357142857142857
GAM,Athletics,0,0,53,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0014424516234384781
GAM,Boxing,0,0,1,0,467,265,5340,264,0.0,0.0,0.0,0.00018726591760299626
GAM,Judo,0,0,2,0,325,162,3668,162,0.0,0.0,0.0,0.0005452562704471102
GAM,Swimming,0,0,2,0,1027,1169,21573,1060,0.0,0.0,0.0,9.270847819033051e-05
GAM,Wrestling,0,0,3,0,504,431,6075,433,0.0,0.0,0.0,0.0004938271604938272
GBR,Archery,9,2,134,2,108,145,2209,130,0.013793103448275862,0.015384615384615385,0.08333333333333333,0.06066093254866455
GBR,Art Competitions,1,3,330,5,51,49,3422,56,0.061224489795918366,0.08928571428571429,0.0196078431372549,0.09643483343074226
GBR,Artistic Gymnastics,4,1,50,0,21,20,1000,20,0.05,0.0,0.19047619047619047,0.05
GBR,Artistic Swimming,0,0,2,0,10,10,94,10,0.0,0.0,0.0,0.02127659574468085
GBR,Athletics,134,78,1990,141,1373,1422,36743,1404,0.05485232067510549,0.10042735042735043,0.09759650400582666,0.05415997604985984
GBR,Badminton,4,0,85,2,68,62,1446,62,0.0,0.03225806451612903,0.058823529411764705,0.058782849239280774
GBR,Basketball,0,0,37,0,380,389,3672,383,0.0,0.0,0.0,0.010076252723311547
GBR,Beach Volleyball,0,0,6,0,28,28,576,28,0.0,0.0,0.0,0.010416666666666666
GBR,Boxing,27,20,173,15,467,265,5340,264,0.07547169811320754,0.056818181818181816,0.057815845824411134,0.03239700374531835
GBR,Canoe Slalom,0,0,3,1,4,4,79,4,0.0,0.25,0.0,0.0379746835443038
GBR,Canoe Sprint,1,0,5,0,22,22,346,22,0.0,0.0,0.045454545454545456,0.014450867052023121
GBR,Canoeing,6,6,240,10,389,388,5006,388,0.015463917525773196,0.02577319587628866,0.015424164524421594,0.04794246903715541
GBR,Cricket,0,12,0,9,0,12,0,12,1.0,0.75,0.0,0.0
GBR,Cycling,55,59,452,68,414,424,9596,425,0.1391509433962264,0.16,0.13285024154589373,0.04710295956648604
GBR,Cycling BMX Freestyle,1,1,0,0,2,2,12,2,0.5,0.0,0.5,0.0
GBR,Cycling BMX Racing,0,1,0,1,2,2,42,2,0.5,0.5,0.0,0.0
GBR,Cycling Mountain Bike,0,1,1,0,2,2,70,2,0.5,0.0,0.0,0.014285714285714285
GBR,Cycling Road,0,0,9,0,4,4,247,4,0.0,0.0,0.0,0.03643724696356275
GBR,Cycling Track,1,4,16,12,29,29,339,29,0.13793103448275862,0.41379310344827586,0.034482758620689655,0.0471976401179941
GBR,Diving,9,4,220,4,155,154,2558,154,0.025974025974025976,0.025974025974025976,0.05806451612903226,0.08600469116497264
GBR,Equestrian,5,5,12,1,14,15,377,14,0.3333333333333333,0.07142857142857142,0.35714285714285715,0.03183023872679045
GBR,Equestrianism,23,26,295,34,319,324,5379,322,0.08024691358024691,0.10559006211180125,0.07210031347962383,0.0548429076036438
GBR,Fencing,0,1,563,27,596,624,9321,613,0.0016025641025641025,0.04404567699836868,0.0,0.06040124450166291
GBR,Figure Skating,6,1,11,3,9,9,27,9,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.4074074074074074
GBR,Football,1,36,138,8,587,559,5650,557,0.06440071556350627,0.01436265709156194,0.0017035775127768314,0.024424778761061947
GBR,Golf,1,1,12,1,18,17,315,17,0.058823529411764705,0.058823529411764705,0.05555555555555555,0.0380952380952381
GBR,Gymnastics,46,2,1076,3,719,791,24451,746,0.0025284450063211127,0.004021447721179625,0.06397774687065369,0.04400638010715308
GBR,Handball,0,0,28,0,384,381,2880,388,0.0,0.0,0.0,0.009722222222222222
GBR,Hockey,100,57,277,24,548,554,4213,534,0.10288808664259928,0.0449438202247191,0.18248175182481752,0.06574887253738429
GBR,Jeu De Paume,1,0,7,1,1,1,8,1,0.0,1.0,1.0,0.875
GBR,Judo,12,0,97,8,325,162,3668,162,0.0,0.04938271604938271,0.036923076923076927,0.02644492911668484
GBR,Lacrosse,0,0,0,12,12,24,0,24,0.0,0.5,0.0,0.0
GBR,Marathon Swimming,0,0,2,0,2,2,45,2,0.0,0.0,0.0,0.044444444444444446
GBR,Modern Pentathlon,5,6,97,2,64,64,1557,64,0.09375,0.03125,0.078125,0.06229929351316635
