Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Treated,Intervention_Year
Murphy Troy,M,United States,USA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze,1,2016
Foluke Akinradewo,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Michelle Bartsch-hackley,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Andrea Drews,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Micha Hancock,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Kimberly Hill,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Jordan Larson,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Chiaka Ogbogu,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Jordyn Poulter,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Kelsey Robinson,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Jordan Thompson,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Haleigh Washington,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Justine Wong-orantes,F,United States,USA,2020,Tokyo,Volleyball,Women Team,Gold,1,2016
Adenzia Silva,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Thiago Alves,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Oleg Antonov,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Nikolay Apalikov,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Erika Araki,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
William Arjona,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Andrea Bari,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Yury Berezhko,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Emanuele Birarelli,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Emanuele Birarelli,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Dante Boninfante,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Maurcio Silva,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Tijana Bokovi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Jovana Brakoevi-kancian,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Bruno Rezende,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Bruno Rezende,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Bianka Bua,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Simone Buti,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Aleksandr Butko,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Massimo Colaci,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Dante Amaral,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Ding Xia,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Yukiko Ebata,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
der Carbonera,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Srgio Santos,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Srgio Santos,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Fabiana Oliveira,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Fabiana Claudino,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Alessandro Fei,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Fernanda Ferreira,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Fernanda Rodrigues,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Simone Giannelli,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Gilberto Filho,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Andrea Giovi,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Gong Xiangyu,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Sergey Grankin,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Evandro Guerra,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Hui Ruoqi,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Dmitry Ilyinykh,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Kaori Inoue,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Jaqueline Endres,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Osmany Portuondo,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Maiko Kano,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Taras Khtey,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Saori Kimura,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Filippo Lanza,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Michal Lasko,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Lin Li,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Danielle Lins,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Liu Xiaotong,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Ricardo Souza,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Luiz Fonteles,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Tijana Maleevi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Luigi Mastrangelo,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Brankica Mihajlovi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Maksim Mikhaylov,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Murilo Endres,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Dmitry Musersky,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Hitomi Nakamichi,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Natlia Pereira,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Leandro Neves,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Jelena Nikoli,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Aleksey Obmochayev,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Maja Ognjenovi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Ai Otomo-yamamoto,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Samuele Papi,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Simone Parodi,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Paula Pequeno,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Matteo Piano,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Silvija Popovi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Milena Rai,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Ricardo Garcia,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Rodrigo Santana,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Salvatore Rossini,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Lucas Saatkamp,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Lucas Saatkamp,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Saori Sakoda,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Yuko Sano,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Cristian Savani,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Sheilla Blassioli,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Risa Shinnabe,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Sidnei Junior,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Aleksandr Sokolov,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Daniele Sottile,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Douglas Souza,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Maurcio Souza,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Jovana Stevanovi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Yoshie (-egusa),F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Tandara Caixeta,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Sergey Tetyukhin,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Thasa Menezes,F,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Dragan Travica,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Stefana Veljkovi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Luca Vettori,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Aleksandr Volkov,M,Russia,RUS,2012,London,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Wallace Souza,M,Brazil,BRA,2012,London,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Wallace Souza,M,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold,0,2016
Wei Qiuyue,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Xu Yunli,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Mai Yamaguchi,F,Japan,JPN,2012,London,Volleyball,Volleyball Women's Volleyball,Bronze,0,2016
Yan Ni,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Yang Fangxu,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Yuan Xinyue,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Ivan Zaytsev,M,Italy,ITA,2012,London,Volleyball,Volleyball Men's Volleyball,Bronze,0,2016
Ivan Zaytsev,M,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,0,2016
Zhang Changning,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Zhu Ting,F,China,CHN,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold,0,2016
Bojana Ivkovi,F,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,0,2016
Maja Aleksic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Ana Bjelica,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Jelena Blagojevic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Denis Bogdan,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Tijana Boskovic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Stephen Boyer,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Gabriela Braga,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Camila Brait,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Antoine Brizard,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Daryl Bultor,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Bianka Busa,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Tandara Caixeta,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Barthelemy Chinenyeze,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Trevor Clevenot,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Facundo Conte,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Beatriz Correa,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
da Carolina,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Santiago Danani,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
de Luciano,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
de Caroline,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Valentin Golubev,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Jenia Grebennikov,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Ivan Iakovlev,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Egor Kliuka,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Igor Kobzar,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Ilyas Kurkaev,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
le Nicolas,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Bruno Lima,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Agustin Loser,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Yacine Louati,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Nicolas Mendez,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Cris. Menezes,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Brankica Mihajlovic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Maxim Mikhaylov,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Bojana Milenkovic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Sladjana Mirkovic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Rosamaria Montibeller,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Earvin Ngapeth,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Maja Ognjenovic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Ezequiel Palacios,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Pavel Pankov,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Jean Patry,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Natalia Pereira,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Federico Pereyra,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Yaroslav Podlesnykh,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Cristian Poglajen,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Victor Poletaev,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Mina Popovic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Silvija Popovic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Martin Ramos,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Milena Rasic,F,Serbia,SRB,2020,Tokyo,Volleyball,Women Team,Bronze,0,2016
Silva Ratzke,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Fernanda Rodrigues,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Matias Sanchez,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Fernanda Silva,F,Brazil,BRA,2020,Tokyo,Volleyball,Women Team,Silver,0,2016
Sebastian Sole,M,Argentina,ARG,2020,Tokyo,Volleyball,Men Team,Bronze,0,2016
Kevin Tillie,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Benjamin Toniutti,M,France,FRA,2020,Tokyo,Volleyball,Men Team,Gold,0,2016
Dmitry Volkov,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Artem Volvich,M,Russia,ROC,2020,Tokyo,Volleyball,Men Team,Silver,0,2016
Lavinia (-carney),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold,1,1984
Lavinia (-carney),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze,1,1984
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,Silver,1,1984
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,Gold,1,1984
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Balance Beam,Gold,1,1984
Laura Cutina,F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold,1,1984
Aurelia (-mofid),F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Rodica (-kszegi),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Gertrd (-kollar),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Gertrd (-kollar),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,Silver,1,1984
Marius Gherman,M,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,1,1984
Eugenia Golea,F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Cristina Grigora,F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Cristina Grigora,F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold,1,1984
Simona (-rus),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,Bronze,1,1984
Simona (-rus),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold,1,1984
Simona (-rus),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,Gold,1,1984
Celestina Popa,F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Gabriela Potorac,F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Gabriela Potorac,F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Horse Vault,Silver,1,1984
Gabriela Potorac,F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Balance Beam,Bronze,1,1984
Melita (-fleischer),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Melita (-fleischer),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Horse Vault,Bronze,1,1984
Melita (-fleischer),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,Bronze,1,1984
Viorica (-harper),F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,Silver,1,1984
Viorica (-harper),F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Viorica (-harper),F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,Gold,1,1984
Viorica (-harper),F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Horse Vault,Bronze,1,1984
Viorica (-harper),F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,Gold,1,1984
Viorica (-harper),F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Balance Beam,Gold,1,1984
Mihaela Stnule,F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold,1,1984
Ecaterina (-tamas),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,Silver,1,1984
Ecaterina (-tamas),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold,1,1984
Ecaterina (-tamas),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,Gold,1,1984
Ecaterina (-tamas),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Gold,1,1984
Ecaterina (-tamas),F,Romania,ROU,1984,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,Gold,1,1984
Dumitria Turner,F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Camelia Voinea,F,Romania,ROU,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver,1,1984
Nikolay Andrianov,M,Soviet Union,URS,1980,Moskva,Gymnastics,Gymnastics Men's Individual All-Around,Silver,0,1984
Nikolay Andrianov,M,Soviet Union,URS,1980,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Gold,0,1984
Nikolay Andrianov,M,Soviet Union,URS,1980,Moskva,Gymnastics,Gymnastics Men's Floor Exercise,Silver,0,1984
Nikolay Andrianov,M,Soviet Union,URS,1980,Moskva,Gymnastics,Gymnastics Men's Horse Vault,Gold,0,1984
Nikolay Andrianov,M,Soviet Union,URS,1980,Moskva,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,0,1984
Vladimir Artyomov,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Individual All-Around,Gold,0,1984
Vladimir Artyomov,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Gold,0,1984
Vladimir Artyomov,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Silver,0,1984
Vladimir Artyomov,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Parallel Bars,Gold,0,1984
Vladimir Artyomov,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,0,1984
Eduard Azaryan,M,Soviet Union,URS,1980,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Gold,0,1984
Svetlana Baitova,F,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Gold,0,1984
Holger Behrendt,M,East Germany,GER,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Silver,0,1984
Holger Behrendt,M,East Germany,GER,1988,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,0,1984
Holger Behrendt,M,East Germany,GER,1988,Seoul,Gymnastics,Gymnastics Men's Rings,Gold,0,1984
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Silver,0,1984
Dmitry Bilozerchev,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,0,1984
Dmitry Bilozerchev,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Gold,0,1984
Dmitry Bilozerchev,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Rings,Gold,0,1984
Dmitry Bilozerchev,M,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,0,1984
Svetlana Boginskaya,F,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,Bronze,0,1984
Svetlana Boginskaya,F,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Gold,0,1984
Svetlana Boginskaya,F,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,Silver,0,1984
Svetlana Boginskaya,F,Soviet Union,URS,1988,Seoul,Gymnastics,Gymnastics Women's Horse Vault,Gold,0,1984
Zsolt Borkai,M,Hungary,HUN,1988,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,0,1984
Andreas Bronst,M,East Germany,GER,1980,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Silver,0,1984
Roland Brckner,M,East Germany,GER,1980,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Silver,0,1984
Roland Brckner,M,East Germany,GER,1980,Moskva,Gymnastics,Gymnastics Men's Floor Exercise,Gold,0,1984
Roland Brckner,M,East Germany,GER,1980,Moskva,Gymnastics,Gymnastics Men's Horse Vault,Bronze,0,1984
